# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  67               6.41702537E+00   1.70200871E+03   8.38692876E-01   1.60266652E-01   5.39761591E-05   5.11443012E-04   3.15705859E-04   5.98188913E-05   1.87750953E-05   2.16672421E-05  
  68               6.99253460E+00   1.73594591E+03   8.38637373E-01   1.60259377E-01   7.06287009E-05   5.15049994E-04   3.32118339E-04   5.98386593E-05   1.55317839E-05   2.13032896E-05  
  69               7.50397386E+00   1.77390722E+03   8.38559459E-01   1.60251788E-01   9.53012364E-05   5.18337823E-04   3.59644218E-04   5.98836479E-05   1.16993895E-05   2.07074360E-05  
  70               7.92097416E+00   1.79405955E+03   8.38508169E-01   1.60248129E-01   1.10180375E-04   5.20127496E-04   3.80533335E-04   5.99137948E-05   1.01950170E-05   2.03489791E-05  
  71               8.38146927E+00   1.82610555E+03   8.38478238E-01   1.60244441E-01   1.39753057E-04   5.21463936E-04   3.84566893E-04   5.99141378E-05   8.80094362E-06   2.03555749E-05  
  72               8.89364478E+00   1.84938112E+03   8.38444762E-01   1.60240019E-01   1.63649851E-04   5.22183543E-04   3.84693125E-04   5.99122782E-05   8.22515016E-06   2.03611856E-05  
  73               9.31865684E+00   1.87715304E+03   8.38413423E-01   1.60236862E-01   1.98770807E-04   5.22932488E-04   3.84160633E-04   5.99298279E-05   7.30185145E-06   2.03572327E-05  
  74               9.64816729E+00   1.88899695E+03   8.38399633E-01   1.60235604E-01   2.13946937E-04   5.23261465E-04   3.83825533E-04   5.99282841E-05   7.14479620E-06   2.03581228E-05  
  75               1.00214508E+01   1.91276313E+03   8.38366346E-01   1.60232410E-01   2.51113130E-04   5.23802424E-04   3.83220698E-04   5.99253965E-05   6.46812419E-06   2.03479392E-05  
  76               1.04424884E+01   1.92807496E+03   8.38344182E-01   1.60230406E-01   2.75461514E-04   5.24091016E-04   3.82894151E-04   5.99219685E-05   6.27553316E-06   2.03441762E-05  
  77               1.09155118E+01   1.95519793E+03   8.38267416E-01   1.60220389E-01   3.27785139E-04   5.24457858E-04   3.82300414E-04   5.99155636E-05   5.65717690E-06   2.03237727E-05  
  78               1.12741994E+01   1.96643122E+03   8.38247427E-01   1.60218604E-01   3.49277338E-04   5.24801849E-04   3.82230781E-04   5.99632642E-05   5.57347834E-06   2.03185054E-05  
  79               1.15397128E+01   1.98312350E+03   8.38212399E-01   1.60215403E-01   3.87978945E-04   5.24998130E-04   3.81879851E-04   5.99593374E-05   5.20852535E-06   2.03006230E-05  
  80               1.18444628E+01   1.99140300E+03   8.38196302E-01   1.60213998E-01   4.05491604E-04   5.25084345E-04   3.81767810E-04   5.99555650E-05   5.18250708E-06   2.02959952E-05  
  81               1.21929021E+01   2.01103896E+03   8.38149512E-01   1.60209764E-01   4.56852702E-04   5.25365305E-04   3.81447971E-04   5.99502119E-05   4.81600066E-06   2.02711953E-05  
  82               1.25896325E+01   2.02256719E+03   8.38122978E-01   1.60207433E-01   4.85747904E-04   5.25456901E-04   3.81336634E-04   5.99445704E-05   4.75499835E-06   2.02607401E-05  
  83               1.30399872E+01   2.04542085E+03   8.38059758E-01   1.60201772E-01   5.54957021E-04   5.25751604E-04   3.80997341E-04   5.99369375E-05   4.39841060E-06   2.02258452E-05  
  84               1.35490629E+01   2.06048789E+03   8.38018194E-01   1.60198123E-01   6.00249311E-04   5.25838961E-04   3.80871685E-04   5.99283533E-05   4.31123200E-06   2.02066348E-05  
  85               1.41246285E+01   2.08677372E+03   8.37931780E-01   1.60190452E-01   6.94708000E-04   5.26120591E-04   3.80502813E-04   5.99171984E-05   3.97600938E-06   2.01574861E-05  
  86               1.47730215E+01   2.10569446E+03   8.37868091E-01   1.60184870E-01   7.64086216E-04   5.26201550E-04   3.80362837E-04   5.99041681E-05   3.87222873E-06   2.01254746E-05  
  87               1.55012521E+01   2.13549187E+03   8.37749036E-01   1.60174370E-01   8.93996144E-04   5.26447926E-04   3.80008667E-04   5.98885012E-05   3.56806775E-06   2.00575517E-05  
  88               1.63164174E+01   2.15833360E+03   8.37653701E-01   1.60166029E-01   9.97798412E-04   5.26514876E-04   3.79859423E-04   5.98694581E-05   3.45868739E-06   2.00080409E-05  
  89               1.72265230E+01   2.19149493E+03   8.37489911E-01   1.60151650E-01   1.17630168E-03   5.26708839E-04   3.79530266E-04   5.98486567E-05   3.19318684E-06   1.99164433E-05  
  90               1.82396406E+01   2.21820304E+03   8.37350005E-01   1.60139429E-01   1.32857157E-03   5.26751583E-04   3.79376241E-04   5.98223946E-05   3.08719629E-06   1.98442539E-05  
  91               1.93651280E+01   2.25439937E+03   8.37126601E-01   1.60119875E-01   1.57184235E-03   5.26880936E-04   3.79076857E-04   5.97955250E-05   2.86468518E-06   1.97246587E-05  
  92               2.06123818E+01   2.28483857E+03   8.36925095E-01   1.60102293E-01   1.79109011E-03   5.26888832E-04   3.78920786E-04   5.97613137E-05   2.76807237E-06   1.96245691E-05  
  93               2.19926112E+01   2.32359972E+03   8.36622949E-01   1.60075693E-01   2.11776879E-03   5.26943793E-04   3.78657211E-04   5.97261523E-05   2.58964815E-06   1.94741153E-05  
  94               2.35164289E+01   2.35759139E+03   8.36329830E-01   1.60050660E-01   2.42750875E-03   5.26954219E-04   3.84752751E-04   5.96858460E-05   2.46483310E-06   1.93744695E-05  
  95               2.51975482E+01   2.39835497E+03   8.35934557E-01   1.60016176E-01   2.85742454E-03   5.26930649E-04   3.84626085E-04   5.96407531E-05   2.33053695E-06   1.91922501E-05  
  96               2.70500274E+01   2.43575657E+03   8.35539505E-01   1.59981746E-01   3.28702195E-03   5.26838065E-04   3.84546136E-04   5.95877622E-05   2.26020468E-06   1.90224318E-05  
  97               2.90907225E+01   2.47797580E+03   8.35031143E-01   1.59937429E-01   3.83989936E-03   5.26731019E-04   3.84411901E-04   5.95301709E-05   2.16528344E-06   1.88109341E-05  
  98               3.13359717E+01   2.51876094E+03   8.34492018E-01   1.59890452E-01   4.42618035E-03   5.26571961E-04   3.84303475E-04   5.94647985E-05   2.10680166E-06   1.86011522E-05  
  99               3.38072751E+01   2.56181238E+03   8.33856333E-01   1.59835063E-01   5.11747599E-03   5.26376856E-04   3.84173692E-04   5.93923637E-05   2.04866552E-06   1.83662731E-05  
  100              3.65277114E+01   2.60452521E+03   8.33165328E-01   1.59774869E-01   5.86889393E-03   5.26135215E-04   3.84058418E-04   5.93114743E-05   2.01241846E-06   1.81274905E-05  
  101              3.95256925E+01   2.64756259E+03   8.32404347E-01   1.59708590E-01   6.69637503E-03   5.25848603E-04   3.83951837E-04   5.92216434E-05   1.99099514E-06   1.78811251E-05  
