# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  82               6.71496197E+01   1.65628071E+03   8.38282600E-01   1.60398278E-01   6.51086862E-04   3.97026265E-04   1.33749361E-04   5.30640981E-05   1.07423300E-05   2.41364810E-05  
  83               7.42138115E+01   1.70066819E+03   8.38290425E-01   1.60390259E-01   6.47097271E-04   3.73234628E-04   1.57448472E-04   5.30866162E-05   1.56698687E-05   2.31831811E-05  
  84               8.17968791E+01   1.74564081E+03   8.38310672E-01   1.60382592E-01   6.26387170E-04   3.51749604E-04   1.78782667E-04   5.30816583E-05   2.25212242E-05   2.31597533E-05  
  85               8.98916977E+01   1.78927068E+03   8.38325373E-01   1.60375187E-01   6.08071229E-04   3.31874877E-04   1.98489081E-04   5.30721686E-05   3.14028827E-05   2.31203871E-05  
  86               9.84018995E+01   1.83269055E+03   8.38331726E-01   1.60367117E-01   5.92627719E-04   3.12255266E-04   2.17914715E-04   5.30523479E-05   4.30258519E-05   2.30402227E-05  
  87               1.07091725E+02   1.87328194E+03   8.38322101E-01   1.60358167E-01   5.83998967E-04   2.94221529E-04   2.35740215E-04   5.30184600E-05   5.68994757E-05   2.28884593E-05  
  88               1.15629574E+02   1.91134483E+03   8.38294738E-01   1.60347769E-01   5.83960171E-04   2.76221865E-04   2.53522645E-04   5.29601304E-05   7.31457544E-05   2.26299004E-05  
  89               1.24748306E+02   1.94893458E+03   8.38243517E-01   1.60335134E-01   5.95852186E-04   2.57208679E-04   2.72307710E-04   5.29030047E-05   9.27108640E-05   2.22373698E-05  
  90               1.33403676E+02   1.98315153E+03   8.38185475E-01   1.60323170E-01   6.15521837E-04   2.38804533E-04   2.90502258E-04   5.28136897E-05   1.14129600E-04   2.18154933E-05  
  91               1.41211031E+02   2.01200882E+03   8.38177702E-01   1.60318701E-01   6.06749566E-04   2.29822342E-04   2.99282178E-04   5.27163974E-05   1.35127452E-04   2.17954570E-05  
  92               1.49870059E+02   2.04305579E+03   8.38165586E-01   1.60313744E-01   5.97735192E-04   2.20573584E-04   3.08295494E-04   5.26078036E-05   1.61196910E-04   2.17718053E-05  
  93               1.59457865E+02   2.07530491E+03   8.38148079E-01   1.60308552E-01   5.89242398E-04   2.11818890E-04   3.16784782E-04   5.24834079E-05   1.92354266E-04   2.17464784E-05  
  94               1.67511179E+02   2.10149446E+03   8.38119656E-01   1.60302161E-01   5.82706017E-04   2.05058568E-04   3.23306730E-04   5.23830592E-05   2.21132241E-04   2.17240005E-05  
  95               1.73822498E+02   2.12102789E+03   8.38103825E-01   1.60298869E-01   5.78222487E-04   2.00386034E-04   3.27796339E-04   5.22936851E-05   2.44703912E-04   2.17071831E-05  
  96               1.80980435E+02   2.14281069E+03   8.38083818E-01   1.60295030E-01   5.73353056E-04   1.95312380E-04   3.32655635E-04   5.21969071E-05   2.73391026E-04   2.16871444E-05  
  97               1.89078423E+02   2.16631801E+03   8.38059026E-01   1.60290790E-01   5.68521031E-04   1.90235780E-04   3.37487659E-04   5.20837111E-05   3.07203565E-04   2.16651090E-05  
  98               1.98192450E+02   2.19202353E+03   8.38028083E-01   1.60285931E-01   5.63501521E-04   1.84928968E-04   3.42511314E-04   5.19562042E-05   3.47953566E-04   2.16395573E-05  
  99               2.08427274E+02   2.21959075E+03   8.37990099E-01   1.60280494E-01   5.58576410E-04   1.79652530E-04   3.47464421E-04   5.18107329E-05   3.96216888E-04   2.16111297E-05  
  100              2.16422732E+02   2.24037548E+03   8.37927600E-01   1.60270376E-01   5.55055011E-04   1.75901153E-04   3.50938902E-04   5.16962009E-05   4.35953194E-04   2.15878371E-05  
  101              2.22482537E+02   2.25568504E+03   8.37900009E-01   1.60266805E-01   5.52606504E-04   1.73266288E-04   3.53374981E-04   5.16105832E-05   4.67174224E-04   2.15706873E-05  
