# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  78               1.24724181E+02   2.14218719E+03   8.38128668E-01   1.60268140E-01   3.28112805E-04   5.05260530E-04   1.27356581E-04   4.00939726E-04   5.45926960E-05   2.13663506E-05  
  79               1.32862890E+02   2.17594896E+03   8.38048849E-01   1.60255535E-01   3.87534271E-04   4.99909533E-04   1.21710003E-04   4.06285224E-04   5.44599482E-05   2.13305012E-05  
  80               1.39008532E+02   2.20095980E+03   8.38008225E-01   1.60250424E-01   4.37073896E-04   4.96087035E-04   1.17689981E-04   4.10084906E-04   5.43672543E-05   2.13017980E-05  
  81               1.43490729E+02   2.21804826E+03   8.37977744E-01   1.60246797E-01   4.73445354E-04   4.93804671E-04   1.15265644E-04   4.12349866E-04   5.42930650E-05   2.12823290E-05  
  82               1.48828979E+02   2.23858450E+03   8.37938010E-01   1.60242145E-01   5.20608092E-04   4.91014607E-04   1.12299579E-04   4.15118559E-04   5.42098382E-05   2.12568032E-05  
  83               1.55157572E+02   2.26137907E+03   8.37889827E-01   1.60236807E-01   5.76790688E-04   4.88325760E-04   1.09404207E-04   4.17781954E-04   5.41062189E-05   2.12285172E-05  
  84               1.62625012E+02   2.28805246E+03   8.37827587E-01   1.60230069E-01   6.48841396E-04   4.85230094E-04   1.06055692E-04   4.20846809E-04   5.39879987E-05   2.11925584E-05  
  85               1.71394941E+02   2.31731587E+03   8.37749912E-01   1.60221873E-01   7.35214778E-04   4.82328537E-04   1.02857447E-04   4.23710500E-04   5.38439821E-05   2.11522417E-05  
  86               1.81646887E+02   2.35072698E+03   8.37646322E-01   1.60211745E-01   8.44926259E-04   4.84066885E-04   9.85321772E-05   4.27667475E-04   5.36857146E-05   2.11217740E-05  
  87               1.93581106E+02   2.38687151E+03   8.37528657E-01   1.60200318E-01   9.76622218E-04   4.81380851E-04   9.52757420E-05   4.30456231E-04   5.34908272E-05   2.10660832E-05  
  88               2.07420683E+02   2.42726176E+03   8.37379772E-01   1.60186140E-01   1.14236202E-03   4.78623799E-04   9.18606114E-05   4.33310093E-04   5.32695533E-05   2.09983250E-05  
  89               2.23416209E+02   2.47035793E+03   8.37200215E-01   1.60169498E-01   1.34077075E-03   4.76323961E-04   8.88209361E-05   4.35692758E-04   5.30101704E-05   2.09224494E-05  
  90               2.41853195E+02   2.51765044E+03   8.36975693E-01   1.60148983E-01   1.58792286E-03   4.74122189E-04   8.57639174E-05   4.37966050E-04   5.27170871E-05   2.08320465E-05  
  91               2.63069503E+02   2.56751679E+03   8.36707193E-01   1.60124896E-01   1.88203050E-03   4.72501689E-04   8.31685093E-05   4.39645218E-04   5.23780047E-05   2.07318559E-05  
  92               2.87466933E+02   2.62152905E+03   8.36375221E-01   1.60095386E-01   2.24478548E-03   4.71131324E-04   8.06559011E-05   4.41068213E-04   5.19961550E-05   2.06148441E-05  
  93               3.15522919E+02   2.67799265E+03   8.35981950E-01   1.60060841E-01   2.67315822E-03   4.70459338E-04   7.86565859E-05   4.41793436E-04   5.15581942E-05   2.04869735E-05  
  94               3.47811753E+02   2.73863341E+03   8.35500764E-01   1.60018792E-01   3.19655518E-03   4.70178368E-04   7.67954062E-05   4.42140895E-04   5.10659974E-05   2.03404199E-05  
  95               3.85033437E+02   2.80167804E+03   8.34936271E-01   1.59969834E-01   3.80931977E-03   4.70720128E-04   7.54704799E-05   4.41693675E-04   5.05044858E-05   2.01828068E-05  
  96               4.28054223E+02   2.86905502E+03   8.34252437E-01   1.59910688E-01   4.55104668E-03   4.71814221E-04   7.43156139E-05   4.40741811E-04   4.98730706E-05   2.00054136E-05  
  97               4.77960677E+02   2.93912877E+03   8.33454816E-01   1.59842013E-01   5.41509510E-03   4.73862471E-04   7.36766746E-05   4.38904615E-04   4.91543790E-05   1.98167407E-05  
  98               5.36200221E+02   3.01412945E+03   8.32493247E-01   1.59759328E-01   6.45631993E-03   4.76660064E-04   7.32111873E-05   4.36412697E-04   4.83421525E-05   1.96067465E-05  
  99               6.04643172E+02   3.09229647E+03   8.31379073E-01   1.59663819E-01   7.66169652E-03   4.80662843E-04   7.32951316E-05   4.32830405E-04   4.74117024E-05   1.93863095E-05  
  100              6.85108491E+02   3.17569552E+03   8.30051730E-01   1.59550096E-01   9.09737636E-03   4.85671472E-04   7.35761793E-05   4.28373652E-04   4.63560316E-05   1.91447499E-05  
  101              7.79521691E+02   3.26166648E+03   8.28547782E-01   1.59421526E-01   1.07229877E-02   4.92074221E-04   7.44187568E-05   4.22641475E-04   4.51544042E-05   1.88969825E-05  
