# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               H                CH4              N2               H2S             
  69               1.64448530E+01   1.67362855E+03   8.38635881E-01   1.60301992E-01   3.83618107E-04   4.23059771E-04   2.57290578E-05   1.07629328E-04   5.86098224E-05   2.24665213E-05  
  70               1.83442220E+01   1.72420231E+03   8.38635759E-01   1.60293788E-01   3.70617384E-04   4.40637367E-04   3.91991164E-05   8.97179556E-05   5.86115888E-05   2.23303812E-05  
  71               2.02948335E+01   1.77020277E+03   8.38611596E-01   1.60285055E-01   3.69243087E-04   4.54941949E-04   5.61229260E-05   7.53832937E-05   5.86234823E-05   2.20411567E-05  
  72               2.21947823E+01   1.81335198E+03   8.38547773E-01   1.60272507E-01   3.83835013E-04   4.68327625E-04   7.73408594E-05   6.18955071E-05   5.86478170E-05   2.15268834E-05  
  73               2.38838796E+01   1.84773212E+03   8.38459697E-01   1.60261486E-01   4.26100413E-04   4.80172161E-04   9.85612632E-05   4.99259469E-05   5.87091408E-05   2.07631570E-05  
  74               2.52834456E+01   1.87620463E+03   8.38445296E-01   1.60258313E-01   4.22349289E-04   4.84540977E-04   1.19793967E-04   4.55847901E-05   5.87013857E-05   2.07552298E-05  
  75               2.68363221E+01   1.90473005E+03   8.38427232E-01   1.60255199E-01   4.18769092E-04   4.88102306E-04   1.44511012E-04   4.19848012E-05   5.86912076E-05   2.07478450E-05  
  76               2.85524864E+01   1.93625425E+03   8.38390598E-01   1.60249208E-01   4.15108448E-04   4.91710591E-04   1.76841049E-04   3.82862698E-05   5.86785159E-05   2.07354766E-05  
  77               2.99268515E+01   1.95915284E+03   8.38368816E-01   1.60246368E-01   4.12884446E-04   4.93915541E-04   2.03629487E-04   3.60467108E-05   5.86837784E-05   2.07263396E-05  
  78               3.09560591E+01   1.97696488E+03   8.38349612E-01   1.60243952E-01   4.11151112E-04   4.95625509E-04   2.26965654E-04   3.43005846E-05   5.86684661E-05   2.07167280E-05  
  79               3.21227824E+01   1.99512743E+03   8.38327923E-01   1.60241434E-01   4.09672097E-04   4.97082736E-04   2.52623657E-04   3.28068947E-05   5.86506626E-05   2.07072916E-05  
  80               3.34402262E+01   2.01638851E+03   8.38299486E-01   1.60238211E-01   4.07931226E-04   4.98797745E-04   2.86002739E-04   3.10413146E-05   5.86288615E-05   2.06931554E-05  
  81               3.49216833E+01   2.03810204E+03   8.38267101E-01   1.60234757E-01   4.06440634E-04   5.00263749E-04   3.23285485E-04   2.95261227E-05   5.86018666E-05   2.06782723E-05  
  82               3.65780672E+01   2.06280229E+03   8.38195829E-01   1.60224754E-01   4.04781703E-04   5.01875093E-04   3.70828472E-04   2.78267702E-05   5.85693324E-05   2.06568617E-05  
  83               3.78224525E+01   2.07970843E+03   8.38164524E-01   1.60221650E-01   4.03820836E-04   5.02812694E-04   4.06124538E-04   2.68507574E-05   5.85810557E-05   2.06420407E-05  
  84               3.87379744E+01   2.09288657E+03   8.38138121E-01   1.60219014E-01   4.03055288E-04   5.03587745E-04   4.35898457E-04   2.60383106E-05   5.85546640E-05   2.06286687E-05  
  85               3.97877398E+01   2.10643421E+03   8.38109660E-01   1.60216257E-01   4.02379069E-04   5.04237178E-04   4.67783224E-04   2.53507995E-05   5.85314076E-05   2.06150759E-05  
  86               4.09904540E+01   2.12279118E+03   8.38072580E-01   1.60212663E-01   4.01507032E-04   5.05075209E-04   5.09323936E-04   2.44642602E-05   5.85083913E-05   2.05961362E-05  
  87               4.23639229E+01   2.13980561E+03   8.38031518E-01   1.60208777E-01   4.00749901E-04   5.05795747E-04   5.55015265E-04   2.36914478E-05   5.84818754E-05   2.05762167E-05  
  88               4.39272650E+01   2.15973298E+03   8.37979126E-01   1.60203836E-01   3.99836971E-04   5.06663811E-04   6.13251635E-04   2.27599510E-05   5.84526215E-05   2.05497438E-05  
  89               4.57008023E+01   2.18052703E+03   8.37920208E-01   1.60198382E-01   3.99038888E-04   5.07412947E-04   6.78407291E-04   2.19401324E-05   5.84177463E-05   2.05210615E-05  
  90               4.77063343E+01   2.20425154E+03   8.37846322E-01   1.60191577E-01   3.98130723E-04   5.08262385E-04   7.59995607E-04   2.10069832E-05   5.83793990E-05   2.04843391E-05  
  91               4.99670071E+01   2.22898332E+03   8.37762432E-01   1.60183955E-01   3.97339938E-04   5.08988831E-04   8.52283677E-04   2.01862890E-05   5.83338481E-05   2.04439272E-05  
  92               5.25077713E+01   2.25656370E+03   8.37658856E-01   1.60174593E-01   3.96485542E-04   5.09767374E-04   9.66065628E-04   1.92974956E-05   5.82839178E-05   2.03938080E-05  
  93               5.53552688E+01   2.28522667E+03   8.37540639E-01   1.60164012E-01   3.95750553E-04   5.10419259E-04   1.09558558E-03   1.85210275E-05   5.82254680E-05   2.03383457E-05  
  94               5.85385124E+01   2.31657528E+03   8.37394795E-01   1.60150811E-01   3.94992861E-04   5.11079029E-04   1.25301910E-03   1.77154255E-05   5.81611260E-05   2.02714239E-05  
  95               6.20880678E+01   2.34900952E+03   8.37222551E-01   1.60136034E-01   4.00163983E-04   5.11871093E-04   1.43256340E-03   1.67811022E-05   5.80925083E-05   2.02284906E-05  
  96               6.60384063E+01   2.38390235E+03   8.37025184E-01   1.60118619E-01   3.99658886E-04   5.12374728E-04   1.64782207E-03   1.60912309E-05   5.80115605E-05   2.01417592E-05  
  97               7.04273731E+01   2.41984716E+03   8.36800130E-01   1.60098846E-01   3.99259976E-04   5.12749218E-04   1.89302505E-03   1.55060665E-05   5.79195209E-05   2.00465437E-05  
  98               7.52962953E+01   2.45801038E+03   8.36533682E-01   1.60075485E-01   3.98888148E-04   5.13071367E-04   2.18319337E-03   1.49419480E-05   5.78180819E-05   1.99371835E-05  
  99               8.06900230E+01   2.49712155E+03   8.36231527E-01   1.60049067E-01   3.98623316E-04   5.13262941E-04   2.51202479E-03   1.44771095E-05   5.77039005E-05   1.98185928E-05  
  100              8.66597480E+01   2.53821970E+03   8.35878312E-01   1.60018225E-01   3.98403194E-04   5.13383542E-04   2.89630523E-03   1.40440119E-05   5.75781294E-05   1.96853351E-05  
  101              9.32652534E+01   2.58014979E+03   8.35480749E-01   1.59983575E-01   3.98295423E-04   5.13370463E-04   3.32863360E-03   1.37047698E-05   5.74374999E-05   1.95428762E-05  
