# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               H2S             
  64               1.30109330E+01   1.16600213E+03   8.38217849E-01   1.60458295E-01   7.16048570E-04   4.69760595E-04   2.59541299E-08   3.45320387E-05   5.35105207E-05   2.42849017E-05  
  65               1.50776313E+01   1.20869309E+03   8.38219692E-01   1.60456314E-01   7.16042899E-04   4.69755875E-04   5.43788803E-08   3.46402941E-05   5.35101978E-05   2.42841857E-05  
  66               1.74576130E+01   1.25223900E+03   8.38222146E-01   1.60453438E-01   7.16030107E-04   4.69741368E-04   1.09506390E-07   3.50145392E-05   5.35098653E-05   2.42830892E-05  
  67               2.02024654E+01   1.29352688E+03   8.38224545E-01   1.60449898E-01   7.15984560E-04   4.69679073E-04   2.02095501E-07   3.61407628E-05   5.35098097E-05   2.42816302E-05  
  68               2.33621280E+01   1.33606203E+03   8.38226777E-01   1.60445056E-01   7.15796979E-04   4.69417469E-04   3.64625738E-07   3.89914987E-05   5.35103877E-05   2.42795217E-05  
  69               2.69835699E+01   1.37687602E+03   8.38227864E-01   1.60439482E-01   7.15087280E-04   4.68450094E-04   6.16977626E-07   4.48452841E-05   5.35121565E-05   2.42768286E-05  
  70               3.11198942E+01   1.41990617E+03   8.38229546E-01   1.60432482E-01   7.12878342E-04   4.65550873E-04   1.04035768E-06   5.47602065E-05   5.35149393E-05   2.42729749E-05  
  71               3.58654455E+01   1.46221441E+03   8.38234997E-01   1.60425806E-01   7.07300862E-04   4.58662062E-04   1.68011847E-06   6.76776268E-05   5.35173097E-05   2.42679356E-05  
  72               4.13247621E+01   1.50796947E+03   8.38248234E-01   1.60418791E-01   6.96151521E-04   4.45838149E-04   2.74253283E-06   8.41166804E-05   5.35180906E-05   2.42597318E-05  
  73               4.75853752E+01   1.55416725E+03   8.38267539E-01   1.60412522E-01   6.80125383E-04   4.28832829E-04   4.35637869E-06   1.01829849E-04   5.35169469E-05   2.42453144E-05  
  74               5.46995506E+01   1.60485571E+03   8.38291208E-01   1.60404926E-01   6.59582053E-04   4.07345763E-04   7.04498570E-06   1.23504286E-04   5.35153343E-05   2.42107666E-05  
  75               6.26610081E+01   1.65673150E+03   8.38299597E-01   1.60394033E-01   6.38436202E-04   3.84259696E-04   1.11702026E-05   1.46476967E-04   5.35132966E-05   2.41220612E-05  
  76               7.14369869E+01   1.71371452E+03   8.38313599E-01   1.60383613E-01   6.28053176E-04   3.53909438E-04   1.80354444E-05   1.76706072E-04   5.35346594E-05   2.31551027E-05  
  77               8.10163110E+01   1.77291568E+03   8.38338517E-01   1.60373127E-01   6.00683842E-04   3.25027803E-04   2.87528554E-05   2.05379150E-04   5.35268428E-05   2.31097503E-05  
  78               9.12968772E+01   1.82866192E+03   8.38345976E-01   1.60362490E-01   5.80367813E-04   2.99812736E-04   4.32317240E-05   2.30353676E-04   5.35057483E-05   2.30116196E-05  
  79               1.02121225E+02   1.88391524E+03   8.38328432E-01   1.60349382E-01   5.70159258E-04   2.74020771E-04   6.32500008E-05   2.55863227E-04   5.34634689E-05   2.27612882E-05  
  80               1.13166246E+02   1.93406720E+03   8.38270673E-01   1.60333274E-01   5.79250712E-04   2.49405691E-04   8.74180903E-05   2.80190078E-04   5.33862145E-05   2.23030968E-05  
  81               1.23917755E+02   1.98063385E+03   8.38203814E-01   1.60318571E-01   6.01591640E-04   2.24851803E-04   1.16366482E-04   3.04474050E-04   5.32946441E-05   2.17628388E-05  
  82               1.33965666E+02   2.02002308E+03   8.38191454E-01   1.60312472E-01   5.89988557E-04   2.12974968E-04   1.46405392E-04   3.16080968E-04   5.31628297E-05   2.17345760E-05  
  83               1.45362873E+02   2.06319616E+03   8.38159508E-01   1.60303362E-01   5.77982294E-04   2.00648622E-04   1.86487574E-04   3.28072065E-04   5.30224361E-05   2.16988227E-05  
  84               1.55228278E+02   2.09729621E+03   8.38135887E-01   1.60297795E-01   5.69796071E-04   1.92182079E-04   2.23815552E-04   3.36252661E-04   5.28876351E-05   2.16705810E-05  
