# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H                NH3             
  64               2.09303932E+01   9.73900836E+02   8.38144705E-01   1.60459865E-01   7.67215520E-04   5.18132498E-04   4.65501641E-05   2.96184576E-06   2.20875174E-10   2.83647517E-05  
  65               2.35173851E+01   1.00789247E+03   8.38145451E-01   1.60458725E-01   7.67214962E-04   5.18132121E-04   4.65501302E-05   2.96191328E-06   5.25665156E-10   2.83647311E-05  
  66               2.63838223E+01   1.04312434E+03   8.38145267E-01   1.60457523E-01   7.67217722E-04   5.18133985E-04   4.65502977E-05   2.96221402E-06   1.21609520E-09   2.83648332E-05  
  67               2.95468149E+01   1.07828909E+03   8.38144384E-01   1.60456484E-01   7.67238560E-04   5.18148058E-04   4.65515621E-05   2.96343207E-06   2.65357788E-09   2.83656036E-05  
  68               3.30348381E+01   1.11463094E+03   8.38145206E-01   1.60455654E-01   7.67236302E-04   5.18146530E-04   4.65514253E-05   2.96751101E-06   5.64199761E-09   2.83655202E-05  
  69               3.68930353E+01   1.15100806E+03   8.38145934E-01   1.60454906E-01   7.67234214E-04   5.18145103E-04   4.65512998E-05   2.98120907E-06   1.14199217E-08   2.83654438E-05  
  70               4.11640656E+01   1.18879362E+03   8.38146643E-01   1.60454140E-01   7.67232007E-04   5.18143520E-04   4.65511730E-05   3.02362903E-06   2.26864081E-08   2.83653665E-05  
  71               4.58862425E+01   1.22658465E+03   8.38147263E-01   1.60453372E-01   7.67230041E-04   5.18141704E-04   4.65510917E-05   3.14485960E-06   4.31075137E-08   2.83653169E-05  
  72               5.10926471E+01   1.26570892E+03   8.38147809E-01   1.60452472E-01   7.67226937E-04   5.18137315E-04   4.65510860E-05   3.45318704E-06   8.04435359E-08   2.83653132E-05  
  73               5.68120820E+01   1.30401282E+03   8.38148092E-01   1.60451457E-01   7.67216220E-04   5.18120174E-04   4.65512454E-05   4.12908375E-06   1.42458361E-07   2.83654091E-05  
  74               6.30755370E+01   1.34223586E+03   8.38148071E-01   1.60450216E-01   7.67171055E-04   5.18052712E-04   4.65516279E-05   5.37136961E-06   2.43461310E-07   2.83656377E-05  
  75               6.99449085E+01   1.38067306E+03   8.38147846E-01   1.60448692E-01   7.67006802E-04   5.17822326E-04   4.65522173E-05   7.31121676E-06   4.04396292E-07   2.83659810E-05  
  76               7.74963511E+01   1.41965614E+03   8.38147819E-01   1.60446876E-01   7.66502261E-04   5.17148967E-04   4.65529675E-05   1.00246000E-05   6.57025971E-07   2.83663844E-05  
  77               8.58083347E+01   1.45936942E+03   8.38148788E-01   1.60444836E-01   7.65190138E-04   5.15491682E-04   4.65535675E-05   1.35973182E-05   1.04772597E-06   2.83665786E-05  
  78               9.49398192E+01   1.50005820E+03   8.38151757E-01   1.60442661E-01   7.62403425E-04   5.12194886E-04   4.65539491E-05   1.81764026E-05   1.64603238E-06   2.83662926E-05  
  79               1.04926305E+02   1.54181523E+03   8.38157141E-01   1.60440336E-01   7.57696758E-04   5.06978005E-04   4.65539294E-05   2.39297879E-05   2.55156357E-06   2.83648129E-05  
  80               1.15776161E+02   1.58466006E+03   8.38163862E-01   1.60437571E-01   7.51241653E-04   5.00036718E-04   4.65539811E-05   3.10248454E-05   3.90488142E-06   2.83610393E-05  
  81               1.27477530E+02   1.62682534E+03   8.38171574E-01   1.60434717E-01   7.44316907E-04   4.92021609E-04   4.65553283E-05   3.90229808E-05   5.79640947E-06   2.83532291E-05  
  82               1.40055541E+02   1.66945602E+03   8.38164297E-01   1.60428267E-01   7.35566442E-04   4.82828562E-04   4.65554780E-05   4.81387318E-05   8.46385644E-06   2.83361507E-05  
  83               1.53496055E+02   1.71122182E+03   8.38155315E-01   1.60424302E-01   7.44978742E-04   4.71732269E-04   4.65795674E-05   5.91577511E-05   1.20219952E-05   2.83237162E-05  
  84               1.67840717E+02   1.75318454E+03   8.38164478E-01   1.60420387E-01   7.34704155E-04   4.60927213E-04   4.65799164E-05   6.98438789E-05   1.68095840E-05   2.82922102E-05  
  85               1.83146145E+02   1.79448847E+03   8.38171829E-01   1.60416191E-01   7.24278186E-04   4.49879863E-04   4.65715866E-05   8.07495004E-05   2.29921265E-05   2.82757778E-05  
  86               1.99357763E+02   1.83567801E+03   8.38176803E-01   1.60411627E-01   7.14174796E-04   4.38382638E-04   4.65462993E-05   9.20760207E-05   3.09647969E-05   2.82958190E-05  
  87               2.16334562E+02   1.87571741E+03   8.38176120E-01   1.60406575E-01   7.05896897E-04   4.26948335E-04   4.64902061E-05   1.03312183E-04   4.07927270E-05   2.83779317E-05  
  88               2.34579462E+02   1.91629482E+03   8.38164809E-01   1.60400153E-01   7.00897988E-04   4.14788379E-04   4.63990281E-05   1.15234116E-04   5.32767317E-05   2.85116423E-05  
  89               2.53489623E+02   1.95547159E+03   8.38139446E-01   1.60392486E-01   7.02370614E-04   4.02312702E-04   4.62743267E-05   1.27442960E-04   6.81477501E-05   2.87014836E-05  
  90               2.72730374E+02   1.99324471E+03   8.38089534E-01   1.60381863E-01   7.12817947E-04   3.88919964E-04   4.61308985E-05   1.40538852E-04   8.55733998E-05   2.89148347E-05  
  91               2.93673465E+02   2.03170047E+03   8.38007233E-01   1.60369132E-01   7.48333701E-04   3.71739192E-04   4.59593680E-05   1.57395496E-04   1.06857110E-04   2.91842135E-05  
  92               3.14472138E+02   2.06798147E+03   8.37997516E-01   1.60364270E-01   7.38956344E-04   3.62009845E-04   4.57758498E-05   1.66781981E-04   1.30722602E-04   2.94651117E-05  
  93               3.34258586E+02   2.10048172E+03   8.37985002E-01   1.60359786E-01   7.31023492E-04   3.53731471E-04   4.55896324E-05   1.74719534E-04   1.55552655E-04   2.97562005E-05  
  94               3.56303038E+02   2.13512165E+03   8.37967484E-01   1.60354786E-01   7.22899660E-04   3.45201971E-04   4.53792451E-05   1.82847750E-04   1.86080841E-04   3.00834798E-05  
  95               3.80807195E+02   2.17142143E+03   8.37932399E-01   1.60347142E-01   7.14934746E-04   3.36772157E-04   4.51349048E-05   1.90805532E-04   2.22971267E-04   3.04654959E-05  
  96               4.02427087E+02   2.20202077E+03   8.37907986E-01   1.60342342E-01   7.08578836E-04   3.29968273E-04   4.49183649E-05   1.97180058E-04   2.58409334E-04   3.08044278E-05  
  97               4.20121548E+02   2.22589254E+03   8.37885868E-01   1.60338443E-01   7.03925576E-04   3.24958422E-04   4.47359482E-05   2.01829906E-04   2.88976487E-04   3.10919782E-05  
  98               4.40175103E+02   2.25213065E+03   8.37858280E-01   1.60333950E-01   6.99015697E-04   3.19612745E-04   4.45303853E-05   2.06753258E-04   3.25822089E-04   3.14143435E-05  
  99               4.62814945E+02   2.28041210E+03   8.37824391E-01   1.60328907E-01   6.94112486E-04   3.14176257E-04   4.42942787E-05   2.11702324E-04   3.69488245E-04   3.17866617E-05  
  100              4.88323959E+02   2.31109982E+03   8.37780686E-01   1.60322747E-01   6.89026752E-04   3.08526255E-04   4.40297237E-05   2.16782280E-04   4.21937337E-04   3.22016547E-05  
  101              5.17159320E+02   2.34403799E+03   8.37693185E-01   1.60310101E-01   6.88398100E-04   3.02051382E-04   4.37279341E-05   2.22595386E-04   4.84356333E-04   3.26765032E-05  
