# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  61               1.86625646E+00   1.20812987E+03   8.38628573E-01   1.60400899E-01   4.77371981E-04   3.20842716E-04   1.53018277E-07   5.97472748E-05   7.48491936E-05   2.42739309E-05  
  62               2.08259855E+00   1.24619399E+03   8.38652499E-01   1.60376901E-01   4.77346711E-04   3.20808296E-04   2.85772180E-07   5.97419784E-05   7.48319348E-05   2.42686411E-05  
  63               2.32219909E+00   1.28505835E+03   8.38674128E-01   1.60355091E-01   4.77356574E-04   3.20759390E-04   5.19857885E-07   5.97370857E-05   7.47825038E-05   2.42628215E-05  
  64               2.58799613E+00   1.32023960E+03   8.38689802E-01   1.60339188E-01   4.77452260E-04   3.20663114E-04   8.60609074E-07   5.97329814E-05   7.46224648E-05   2.42571080E-05  
  65               2.88298092E+00   1.35762338E+03   8.38704160E-01   1.60324582E-01   4.77718936E-04   3.20442640E-04   1.43029502E-06   5.97291976E-05   7.41643739E-05   2.42494288E-05  
  66               3.21028365E+00   1.39252987E+03   8.38714840E-01   1.60313959E-01   4.78300147E-04   3.19967941E-04   2.22998571E-06   5.97259234E-05   7.30299772E-05   2.42392043E-05  
  67               3.57412552E+00   1.43065552E+03   8.38725228E-01   1.60304065E-01   4.79394164E-04   3.19058269E-04   3.54223752E-06   5.97228302E-05   7.06304098E-05   2.42187258E-05  
  68               3.97986826E+00   1.46715956E+03   8.38733576E-01   1.60296983E-01   4.81254883E-04   3.17547776E-04   5.36927559E-06   5.97201944E-05   6.62559026E-05   2.41771247E-05  
  69               4.43307581E+00   1.50767164E+03   8.38740503E-01   1.60290237E-01   4.84177061E-04   3.15411343E-04   8.34621797E-06   5.97179116E-05   5.93203847E-05   2.40637741E-05  
  70               4.93777300E+00   1.54737936E+03   8.38732941E-01   1.60283115E-01   4.88356958E-04   3.13307947E-04   1.25324100E-05   5.97181550E-05   5.03664494E-05   2.37911068E-05  
  71               5.49310896E+00   1.59178020E+03   8.38734758E-01   1.60280288E-01   4.93996969E-04   3.12974786E-04   1.93579212E-05   5.97366251E-05   3.97038178E-05   2.20738069E-05  
  72               6.09059035E+00   1.63641107E+03   8.38729971E-01   1.60276058E-01   4.99863885E-04   3.11481014E-04   2.92468999E-05   5.97380091E-05   3.15213444E-05   2.20244243E-05  
  73               6.71046731E+00   1.67969824E+03   8.38710985E-01   1.60271192E-01   5.05429823E-04   3.13164783E-04   4.27090872E-05   5.97434610E-05   2.51931184E-05   2.18840982E-05  
  74               7.33209100E+00   1.71953761E+03   8.38673113E-01   1.60265362E-01   5.10237418E-04   3.23142572E-04   5.94108510E-05   5.97613368E-05   2.02235626E-05   2.15805227E-05  
  75               7.92336213E+00   1.75547729E+03   8.38602495E-01   1.60256175E-01   5.14187229E-04   3.44604213E-04   7.89675148E-05   5.97890497E-05   1.61202180E-05   2.11194035E-05  
  76               8.45319662E+00   1.78544334E+03   8.38517071E-01   1.60250070E-01   5.17616612E-04   3.80904252E-04   9.91346462E-05   5.98463106E-05   1.23925405E-05   2.03679690E-05  
  77               8.90716080E+00   1.81038143E+03   8.38494212E-01   1.60246944E-01   5.19130826E-04   3.86542254E-04   1.19115435E-04   5.98473032E-05   1.11882294E-05   2.03768527E-05  
  78               9.40927752E+00   1.83632755E+03   8.38472294E-01   1.60244479E-01   5.20149769E-04   3.86705274E-04   1.43304737E-04   5.98454406E-05   1.01421421E-05   2.03829417E-05  
  79               9.83465876E+00   1.85782776E+03   8.38441482E-01   1.60240361E-01   5.20963325E-04   3.86156018E-04   1.66393053E-04   5.98597896E-05   9.36481867E-06   2.03845443E-05  
  80               1.01725942E+01   1.87400577E+03   8.38424407E-01   1.60238657E-01   5.21502639E-04   3.85600035E-04   1.85667798E-04   5.98578033E-05   8.84730491E-06   2.03842636E-05  
  81               1.05527756E+01   1.89213403E+03   8.38403168E-01   1.60236576E-01   5.22032785E-04   3.85035490E-04   2.09521017E-04   5.98555242E-05   8.30433147E-06   2.03816642E-05  
  82               1.09817347E+01   1.91152713E+03   8.38377935E-01   1.60234161E-01   5.22526027E-04   3.84489256E-04   2.37685266E-04   5.98527417E-05   7.78995273E-06   2.03766817E-05  
  83               1.14636522E+01   1.93298242E+03   8.38346672E-01   1.60231226E-01   5.22918545E-04   3.83935306E-04   2.72513195E-04   5.98472985E-05   7.26658213E-06   2.03678494E-05  
  84               1.18111856E+01   1.94767028E+03   8.38322839E-01   1.60228991E-01   5.23379464E-04   3.83684746E-04   2.98593927E-04   5.98972210E-05   6.94718828E-06   2.03601067E-05  
  85               1.20512872E+01   1.95791862E+03   8.38274620E-01   1.60221517E-01   5.23534572E-04   3.83394252E-04   3.18062112E-04   5.98937873E-05   6.72906912E-06   2.03527733E-05  
  86               1.23251172E+01   1.96903080E+03   8.38254493E-01   1.60219691E-01   5.23730320E-04   3.83163035E-04   3.40228918E-04   5.98902290E-05   6.51371032E-06   2.03450400E-05  
  87               1.26381445E+01   1.98184460E+03   8.38229749E-01   1.60217434E-01   5.23951045E-04   3.82910604E-04   3.67463039E-04   5.98863555E-05   6.27128897E-06   2.03346161E-05  
  88               1.29948944E+01   1.99577288E+03   8.38201091E-01   1.60214839E-01   5.24176124E-04   3.82669597E-04   3.98916567E-04   5.98816322E-05   6.03173906E-06   2.03222339E-05  
  89               1.33998326E+01   2.01153073E+03   8.38166152E-01   1.60211685E-01   5.24415255E-04   3.82393527E-04   4.37245306E-04   5.98760602E-05   5.77202602E-06   2.03059532E-05  
  90               1.38576150E+01   2.02854438E+03   8.38125440E-01   1.60208035E-01   5.24648239E-04   3.82159606E-04   4.81774953E-04   5.98691278E-05   5.51828982E-06   2.02866975E-05  
  91               1.43755522E+01   2.04751987E+03   8.38076059E-01   1.60203625E-01   5.24887251E-04   3.81869420E-04   5.35837858E-04   5.98607041E-05   5.25261609E-06   2.02618415E-05  
  92               1.49596456E+01   2.06795556E+03   8.38018062E-01   1.60198468E-01   5.25114146E-04   3.81582949E-04   5.99259001E-04   5.98503926E-05   4.99616738E-06   2.02319607E-05  
  93               1.56162277E+01   2.09035187E+03   8.37948114E-01   1.60192271E-01   5.25338015E-04   3.81290318E-04   6.75679786E-04   5.98379200E-05   4.73667964E-06   2.01949994E-05  
  94               1.63519582E+01   2.11429865E+03   8.37865685E-01   1.60184992E-01   5.25544280E-04   3.81006641E-04   7.65654429E-04   5.98228791E-05   4.48956026E-06   2.01509597E-05  
  95               1.71738776E+01   2.14009559E+03   8.37767205E-01   1.60176318E-01   5.25737330E-04   3.80725235E-04   8.73076600E-04   5.98051063E-05   4.24853145E-06   2.00979179E-05  
  96               1.80894169E+01   2.16750252E+03   8.37650929E-01   1.60166100E-01   5.25908996E-04   3.80453775E-04   9.99830337E-04   5.97843003E-05   4.02128433E-06   2.00353973E-05  
  97               1.91065061E+01   2.19652323E+03   8.37513709E-01   1.60154065E-01   5.26057781E-04   3.80192224E-04   1.14934031E-03   5.97603417E-05   3.80806866E-06   1.99622031E-05  
  98               2.02335890E+01   2.22721341E+03   8.37351506E-01   1.60139860E-01   5.26183246E-04   3.79938907E-04   1.32599924E-03   5.97330225E-05   3.60779658E-06   1.98768575E-05  
  99               2.14797955E+01   2.25917100E+03   8.37162941E-01   1.60123368E-01   5.26277567E-04   3.79701728E-04   1.53129618E-03   5.97019405E-05   3.42765498E-06   1.97798372E-05  
  100              2.28549765E+01   2.29274101E+03   8.36939126E-01   1.60103605E-01   5.26344597E-04   3.79470749E-04   1.77275434E-03   5.96669576E-05   3.26009795E-06   1.96684757E-05  
  101              2.43693452E+01   2.32722124E+03   8.36676829E-01   1.60081228E-01   5.26433051E-04   3.85396662E-04   2.04920089E-03   5.96306646E-05   3.06591059E-06   1.95786587E-05  
