# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  78               1.05364696E+01   1.42153426E+03   8.38497204E-01   1.60380472E-01   4.98741489E-04   2.62305752E-04   2.60484720E-04   5.82476126E-05   1.82762420E-06   2.42575714E-05  
  79               1.17282853E+01   1.46402670E+03   8.38516634E-01   1.60363344E-01   4.90080210E-04   2.79469250E-04   2.48185374E-04   5.82484419E-05   3.00656419E-06   2.42443571E-05  
  80               1.30738420E+01   1.50795008E+03   8.38541807E-01   1.60348703E-01   4.73931074E-04   3.03820199E-04   2.26647271E-04   5.82484111E-05   4.87565020E-06   2.42179455E-05  
  81               1.46018390E+01   1.55391982E+03   8.38571254E-01   1.60336452E-01   4.51017469E-04   3.32259647E-04   1.98619778E-04   5.82474501E-05   7.84390957E-06   2.41499030E-05  
  82               1.63312526E+01   1.60135565E+03   8.38584751E-01   1.60323466E-01   4.27625467E-04   3.60512346E-04   1.70246329E-04   5.82471416E-05   1.24282412E-05   2.39560030E-05  
  83               1.82479515E+01   1.64976934E+03   8.38599108E-01   1.60314036E-01   4.16391231E-04   3.88232696E-04   1.42138406E-04   5.82698694E-05   1.93212109E-05   2.25979302E-05  
  84               2.03236736E+01   1.69760715E+03   8.38612339E-01   1.60306139E-01   3.98469879E-04   4.08742221E-04   1.21680741E-04   5.82693089E-05   2.90999035E-05   2.25248088E-05  
  85               2.25178226E+01   1.74437287E+03   8.38609865E-01   1.60298010E-01   3.86631665E-04   4.26087429E-04   1.04262737E-04   5.82708821E-05   4.24483770E-05   2.23760236E-05  
  86               2.47368857E+01   1.78791866E+03   8.38585270E-01   1.60288994E-01   3.85842160E-04   4.41097403E-04   8.91680483E-05   5.82799209E-05   5.91878332E-05   2.20715255E-05  
  87               2.68460225E+01   1.82671284E+03   8.38525754E-01   1.60276836E-01   3.99026575E-04   4.54506443E-04   7.57016554E-05   5.82968375E-05   7.84764718E-05   2.15999199E-05  
  88               2.90800842E+01   1.86509643E+03   8.38440468E-01   1.60264986E-01   4.37588476E-04   4.68673380E-04   6.13385911E-05   5.83209550E-05   1.02451762E-04   2.08606397E-05  
  89               3.10820989E+01   1.89768414E+03   8.38424215E-01   1.60261167E-01   4.32624081E-04   4.74182787E-04   5.58498894E-05   5.83518105E-05   1.27334324E-04   2.08482191E-05  
  90               3.27997313E+01   1.92419342E+03   8.38407483E-01   1.60258033E-01   4.28726823E-04   4.78059146E-04   5.19279049E-05   5.83382418E-05   1.51064194E-04   2.08372335E-05  
  91               3.46957417E+01   1.95234882E+03   8.38376099E-01   1.60252713E-01   4.25027852E-04   4.81720487E-04   4.81789024E-05   5.83250764E-05   1.80164306E-04   2.08236662E-05  
  92               3.67809584E+01   1.98182757E+03   8.38348187E-01   1.60248809E-01   4.21587261E-04   4.85129365E-04   4.46949549E-05   5.83066689E-05   2.15388801E-04   2.08077978E-05  
  93               3.85238766E+01   2.00552929E+03   8.38321752E-01   1.60245434E-01   4.19097013E-04   4.87604207E-04   4.21640314E-05   5.82989908E-05   2.47639177E-04   2.07932229E-05  
  94               3.99128909E+01   2.02373116E+03   8.38298908E-01   1.60242695E-01   4.17338702E-04   4.89336740E-04   4.03851874E-05   5.82720313E-05   2.74965038E-04   2.07808652E-05  
  95               4.14728416E+01   2.04360759E+03   8.38271237E-01   1.60239526E-01   4.15563973E-04   4.91091801E-04   3.85763950E-05   5.82376682E-05   3.07557846E-04   2.07660829E-05  
  96               4.32182748E+01   2.06506465E+03   8.38206098E-01   1.60229783E-01   4.13796304E-04   4.92805231E-04   3.67812060E-05   5.82042311E-05   3.46139857E-04   2.07478132E-05  
  97               4.51631803E+01   2.08820075E+03   8.38166064E-01   1.60225589E-01   4.12070135E-04   4.94506635E-04   3.49982947E-05   5.81719938E-05   3.92053455E-04   2.07269123E-05  
  98               4.65633317E+01   2.10434592E+03   8.38135380E-01   1.60222437E-01   4.10982568E-04   4.95615084E-04   3.38439447E-05   5.81818037E-05   4.26886040E-04   2.07112042E-05  
  99               4.75259369E+01   2.11520640E+03   8.38113522E-01   1.60220233E-01   4.10261712E-04   4.96313559E-04   3.31090413E-05   5.81516909E-05   4.51675153E-04   2.06998738E-05  
  100              4.86046181E+01   2.12716526E+03   8.38088187E-01   1.60217710E-01   4.09504916E-04   4.97047967E-04   3.23336705E-05   5.81264836E-05   4.80288360E-04   2.06868002E-05  
  101              4.98297716E+01   2.14042595E+03   8.38056531E-01   1.60214416E-01   4.08712217E-04   4.97812602E-04   3.15195645E-05   5.81097660E-05   5.13656783E-04   2.06715781E-05  
