# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              H                N2               H2S             
  67               6.07624721E+00   1.33452662E+03   8.38525813E-01   1.60394864E-01   4.49995180E-04   3.16271399E-04   2.14000171E-04   6.98716237E-07   5.86853300E-05   2.42681215E-05  
  68               6.79543138E+00   1.36961543E+03   8.38540560E-01   1.60379477E-01   4.49091004E-04   3.18733482E-04   2.12603158E-04   1.10844442E-06   5.86844992E-05   2.42624719E-05  
  69               7.59855012E+00   1.40723547E+03   8.38556381E-01   1.60363696E-01   4.46867355E-04   3.23595143E-04   2.09139090E-04   1.77461413E-06   5.86838737E-05   2.42546365E-05  
  70               8.50115110E+00   1.44412640E+03   8.38571957E-01   1.60350566E-01   4.42093577E-04   3.32069767E-04   2.01793877E-04   2.73872356E-06   5.86836839E-05   2.42436261E-05  
  71               9.52308748E+00   1.48427649E+03   8.38591161E-01   1.60338049E-01   4.33237601E-04   3.45206766E-04   1.88665232E-04   4.29215186E-06   5.86830369E-05   2.42218424E-05  
  72               1.06872254E+01   1.52443094E+03   8.38611759E-01   1.60328424E-01   4.19705780E-04   3.62562618E-04   1.70178382E-04   6.54679434E-06   5.86823502E-05   2.41747327E-05  
  73               1.20148034E+01   1.56847555E+03   8.38631864E-01   1.60319066E-01   4.02541503E-04   3.83114281E-04   1.48172579E-04   1.01649069E-05   5.86819864E-05   2.40443182E-05  
  74               1.35118335E+01   1.61309781E+03   8.38636413E-01   1.60309190E-01   3.87025916E-04   4.03841077E-04   1.27135375E-04   1.54548796E-05   5.86854459E-05   2.37053944E-05  
  75               1.51554283E+01   1.66186840E+03   8.38643526E-01   1.60301293E-01   3.79664670E-04   4.25820799E-04   1.04532144E-04   2.38971037E-05   5.87056022E-05   2.24506897E-05  
  76               1.69064172E+01   1.71115942E+03   8.38645127E-01   1.60293609E-01   3.66868667E-04   4.43026568E-04   8.73369168E-05   3.62138044E-05   5.87069769E-05   2.23383620E-05  
  77               1.86779031E+01   1.75697959E+03   8.38627222E-01   1.60285636E-01   3.63299845E-04   4.57087864E-04   7.32356379E-05   5.21192170E-05   5.87183203E-05   2.20914408E-05  
  78               2.03171190E+01   1.79644791E+03   8.38579468E-01   1.60275586E-01   3.72823173E-04   4.68755636E-04   6.15517909E-05   7.01982889E-05   5.87401385E-05   2.16794394E-05  
  79               2.20535755E+01   1.83550285E+03   8.38508069E-01   1.60264856E-01   3.98754701E-04   4.79955863E-04   5.02243258E-05   9.29854548E-05   5.87724314E-05   2.10880792E-05  
  80               2.36006221E+01   1.86834014E+03   8.38452864E-01   1.60257755E-01   4.19129036E-04   4.87325690E-04   4.27636565E-05   1.16644594E-04   5.88043638E-05   2.07268395E-05  
  81               2.49296324E+01   1.89516316E+03   8.38435839E-01   1.60254790E-01   4.16181867E-04   4.90713211E-04   3.93954448E-05   1.39493409E-04   5.87965317E-05   2.07203611E-05  
