# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H                H2S             
  60               6.51519092E+00   6.28392852E+02   8.38115645E-01   1.60471341E-01   7.74728566E-04   5.25132591E-04   4.09170509E-05   3.97053408E-05   1.21075914E-16   2.29843508E-05  
  61               7.73386271E+00   6.62200499E+02   8.38116031E-01   1.60470952E-01   7.74729680E-04   5.25133346E-04   4.09171098E-05   3.97053979E-05   9.54875118E-16   2.29842952E-05  
  62               9.15979303E+00   6.95646830E+02   8.38116606E-01   1.60470374E-01   7.74730514E-04   5.25133911E-04   4.09171538E-05   3.97054406E-05   6.00871190E-15   2.29842124E-05  
  63               1.08254096E+01   7.31987761E+02   8.38117517E-01   1.60469458E-01   7.74730827E-04   5.25134123E-04   4.09171703E-05   3.97054567E-05   3.66972089E-14   2.29840811E-05  
  64               1.27631479E+01   7.67807621E+02   8.38118633E-01   1.60468320E-01   7.74730691E-04   5.25134031E-04   4.09171631E-05   3.97054497E-05   1.83565657E-13   2.29839181E-05  
  65               1.50102815E+01   8.06553306E+02   8.38120070E-01   1.60466809E-01   7.74730210E-04   5.25133706E-04   4.09171378E-05   3.97054251E-05   8.92815302E-13   2.29837015E-05  
  66               1.76221779E+01   8.44792369E+02   8.38121437E-01   1.60465215E-01   7.74730230E-04   5.25133719E-04   4.09171388E-05   3.97054261E-05   3.66767931E-12   2.29834727E-05  
  67               2.06603079E+01   8.86323350E+02   8.38123034E-01   1.60463399E-01   7.74734442E-04   5.25136574E-04   4.09173613E-05   3.97056420E-05   1.48400965E-11   2.29832114E-05  
  68               2.41755180E+01   9.27204054E+02   8.38124606E-01   1.60461778E-01   7.74738648E-04   5.25139425E-04   4.09175834E-05   3.97058575E-05   5.16829550E-11   2.29875235E-05  
  69               2.82089121E+01   9.71033302E+02   8.38126138E-01   1.60460104E-01   7.74738936E-04   5.25139620E-04   4.09175986E-05   3.97058723E-05   1.75453919E-10   2.30159258E-05  
  70               3.28113131E+01   1.01372254E+03   8.38127111E-01   1.60458675E-01   7.74741279E-04   5.25141209E-04   4.09177224E-05   3.97059924E-05   5.18366945E-10   2.31034970E-05  
  71               3.80711899E+01   1.05939495E+03   8.38127176E-01   1.60457139E-01   7.74748057E-04   5.25145802E-04   4.09180803E-05   3.97063397E-05   1.50126662E-09   2.33822700E-05  
