# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               NH3              H2S             
  82               7.02275366E+01   1.46240442E+03   8.38162511E-01   1.60441978E-01   7.57193131E-04   5.07719878E-04   4.87709518E-05   2.06473089E-05   2.38141154E-05   2.42742310E-05  
  83               7.77671619E+01   1.50374160E+03   8.38167285E-01   1.60438872E-01   7.52882311E-04   5.02692552E-04   4.87710792E-05   2.74837283E-05   2.38137704E-05   2.42696402E-05  
  84               8.60620353E+01   1.54585823E+03   8.38175510E-01   1.60435648E-01   7.45887200E-04   4.95047840E-04   4.87705132E-05   3.58184231E-05   2.38123678E-05   2.42623619E-05  
  85               9.51410292E+01   1.58833782E+03   8.38185191E-01   1.60432008E-01   7.36864994E-04   4.85466812E-04   4.87708302E-05   4.55369890E-05   2.38097188E-05   2.42495450E-05  
  86               1.05003096E+02   1.63113257E+03   8.38196324E-01   1.60428139E-01   7.27173558E-04   4.74361014E-04   4.87691951E-05   5.66291944E-05   2.38027969E-05   2.41833950E-05  
  87               1.15583944E+02   1.67354441E+03   8.38192527E-01   1.60420825E-01   7.15682272E-04   4.62364690E-04   4.87920813E-05   6.85385267E-05   2.38028522E-05   2.41737321E-05  
  88               1.26855856E+02   1.71560132E+03   8.38187907E-01   1.60415755E-01   7.21429623E-04   4.47877873E-04   4.87910925E-05   8.29357293E-05   2.37872865E-05   2.33027605E-05  
  89               1.38865072E+02   1.75715203E+03   8.38199742E-01   1.60410999E-01   7.08641444E-04   4.34586053E-04   4.87856194E-05   9.60965682E-05   2.37744157E-05   2.32969943E-05  
  90               1.51546618E+02   1.79816443E+03   8.38209031E-01   1.60405906E-01   6.96017876E-04   4.21111088E-04   4.87716376E-05   1.09418832E-04   2.37807730E-05   2.32821150E-05  
  91               1.64732808E+02   1.83788251E+03   8.38214492E-01   1.60400629E-01   6.84724365E-04   4.07907918E-04   4.87395191E-05   1.22446250E-04   2.38258505E-05   2.32510385E-05  
  92               1.78916987E+02   1.87800873E+03   8.38213043E-01   1.60394549E-01   6.75593472E-04   3.94280759E-04   4.86789989E-05   1.35864364E-04   2.39193761E-05   2.31852138E-05  
  93               1.93234216E+02   1.91585655E+03   8.38199479E-01   1.60387460E-01   6.71372712E-04   3.81001246E-04   4.85926293E-05   1.48914725E-04   2.40568355E-05   2.30642030E-05  
  94               2.07034735E+02   1.95041269E+03   8.38172760E-01   1.60379412E-01   6.73669033E-04   3.68010034E-04   4.84904225E-05   1.61668857E-04   2.42111702E-05   2.28758072E-05  
  95               2.22075790E+02   1.98589072E+03   8.38123316E-01   1.60368576E-01   6.85011504E-04   3.53423815E-04   4.83642640E-05   1.75983926E-04   2.44063675E-05   2.25848085E-05  
  96               2.38494459E+02   2.02260972E+03   8.38052301E-01   1.60356174E-01   7.12503386E-04   3.35819647E-04   4.82085743E-05   1.93292437E-04   2.46330568E-05   2.21429044E-05  
  97               2.53821386E+02   2.05493113E+03   8.38043647E-01   1.60351567E-01   7.03522320E-04   3.26540464E-04   4.80546396E-05   2.02280104E-04   2.48662775E-05   2.21274752E-05  
  98               2.67207713E+02   2.08204153E+03   8.38033564E-01   1.60347579E-01   6.96285477E-04   3.19034516E-04   4.79163704E-05   2.09519124E-04   2.50732101E-05   2.21128616E-05  
  99               2.82235381E+02   2.11104539E+03   8.38019533E-01   1.60343219E-01   6.88971350E-04   3.11409720E-04   4.77548965E-05   2.16834598E-04   2.53179038E-05   2.20959100E-05  
  100              2.99066617E+02   2.14222112E+03   8.38000556E-01   1.60338354E-01   6.81479444E-04   3.03554738E-04   4.75721104E-05   2.24328012E-04   2.55940824E-05   2.20757985E-05  
  101              3.17868932E+02   2.17524688E+03   8.37933047E-01   1.60324879E-01   6.74054651E-04   2.95728527E-04   4.73601993E-05   2.31709885E-04   2.59125836E-05   2.20516388E-05  
