# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               H2S             
  87               5.63460885E+01   2.43092946E+03   8.36500608E-01   1.60069759E-01   2.22834360E-03   5.18875663E-04   3.93027121E-04   9.69187497E-06   5.84697427E-05   1.97981579E-05  
  88               6.19881553E+01   2.48577742E+03   8.36043839E-01   1.60029856E-01   2.72533467E-03   5.19051053E-04   3.92714000E-04   9.20190527E-06   5.83454969E-05   1.96124354E-05  
  89               6.84406604E+01   2.54326664E+03   8.35488718E-01   1.59981433E-01   3.32913325E-03   5.19084522E-04   3.92484466E-04   8.79309643E-06   5.82020812E-05   1.94002450E-05  
  90               7.58102687E+01   2.60292663E+03   8.34824388E-01   1.59923551E-01   4.05151398E-03   5.18960625E-04   3.92357154E-04   8.47210272E-06   5.80367042E-05   1.91634561E-05  
  91               8.42196542E+01   2.66518313E+03   8.34026661E-01   1.59854097E-01   4.91879218E-03   5.18688615E-04   3.92322632E-04   8.21561148E-06   5.78474246E-05   1.88993055E-05  
  92               9.38116904E+01   2.72890786E+03   8.33096748E-01   1.59773194E-01   5.92957799E-03   5.18234749E-04   3.92427979E-04   8.04992457E-06   5.76300103E-05   1.86158942E-05  
  93               1.04749280E+02   2.79521069E+03   8.31995674E-01   1.59677431E-01   7.12628270E-03   5.17617210E-04   3.92652467E-04   7.93540026E-06   5.73823093E-05   1.83068875E-05  
  94               1.17217744E+02   2.86241262E+03   8.30743500E-01   1.59568584E-01   8.48698679E-03   5.16792127E-04   3.93065493E-04   7.91109915E-06   5.70989149E-05   1.79865920E-05  
  95               1.31421772E+02   2.93214775E+03   8.29283804E-01   1.59441718E-01   1.00730747E-02   5.15777643E-04   3.93642119E-04   7.92859083E-06   5.67766484E-05   1.76447720E-05  
  96               1.47577215E+02   3.00232653E+03   8.27660796E-01   1.59300718E-01   1.18363527E-02   5.14528053E-04   3.94463778E-04   8.03293996E-06   5.64092043E-05   1.73005320E-05  
  97               1.65897378E+02   3.07457180E+03   8.25811584E-01   1.59140086E-01   1.38452318E-02   5.13055545E-04   3.95506925E-04   8.17715752E-06   5.59913910E-05   1.69426270E-05  
  98               1.86544422E+02   3.14669440E+03   8.23802163E-01   1.58965598E-01   1.60278496E-02   5.11328480E-04   3.96836854E-04   8.39921404E-06   5.55168361E-05   1.65908250E-05  
  99               2.09642063E+02   3.21964389E+03   8.21590630E-01   1.58773588E-01   1.84297957E-02   5.09356973E-04   3.98425425E-04   8.66301112E-06   5.49777394E-05   1.62374606E-05  
  100              2.35245204E+02   3.29210060E+03   8.19228319E-01   1.58568533E-01   2.09952164E-02   5.07133817E-04   4.00285468E-04   8.98166385E-06   5.43651915E-05   1.58936333E-05  
  101              2.63333387E+02   3.36356740E+03   8.16741555E-01   1.58352721E-01   2.36955001E-02   5.04667909E-04   4.02392212E-04   9.34839334E-06   5.36680672E-05   1.55625158E-05  
