# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  71               5.01223219E+00   1.90326986E+03   8.38270287E-01   1.60218633E-01   3.30705023E-04   5.28720375E-04   3.78412188E-04   6.03450542E-05   6.48596409E-05   2.01565276E-05  
  72               5.16744778E+00   1.91854325E+03   8.38238896E-01   1.60215865E-01   3.65007723E-04   5.28735432E-04   3.78296197E-04   6.03436500E-05   6.48101860E-05   2.01413096E-05  
  73               5.35097363E+00   1.93544473E+03   8.38201283E-01   1.60212552E-01   4.06055679E-04   5.28780722E-04   3.78172258E-04   6.03419204E-05   6.47532276E-05   2.01219309E-05  
  74               5.56697825E+00   1.95539550E+03   8.38152144E-01   1.60208228E-01   4.59611848E-04   5.28845603E-04   3.78044095E-04   6.03396827E-05   6.46860279E-05   2.00947466E-05  
  75               5.81929603E+00   1.97721191E+03   8.38092732E-01   1.60203010E-01   5.24299896E-04   5.28915727E-04   3.77920165E-04   6.03368621E-05   6.46095365E-05   2.00606038E-05  
  76               6.11158115E+00   2.00217437E+03   8.38016188E-01   1.60196298E-01   6.07613097E-04   5.28985486E-04   3.77797545E-04   6.03331171E-05   6.45212681E-05   2.00146374E-05  
  77               6.44895406E+00   2.02905856E+03   8.37923487E-01   1.60188180E-01   7.08553248E-04   5.29044963E-04   3.77646623E-04   6.03280286E-05   6.44221028E-05   1.99576071E-05  
  78               6.83882062E+00   2.05933895E+03   8.37804079E-01   1.60177734E-01   8.38549190E-04   5.29095159E-04   3.77480726E-04   6.03209890E-05   6.43085675E-05   1.98828718E-05  
  79               7.28722265E+00   2.09166128E+03   8.37658430E-01   1.60165005E-01   9.97072652E-04   5.29127952E-04   3.77314131E-04   6.03114674E-05   6.41817328E-05   1.97922130E-05  
  80               7.80073450E+00   2.12728582E+03   8.37472595E-01   1.60148773E-01   1.19930556E-03   5.29144763E-04   3.77135936E-04   6.02984844E-05   6.40385806E-05   1.96775361E-05  
  81               8.38651318E+00   2.16475623E+03   8.37247027E-01   1.60129083E-01   1.44473900E-03   5.29138049E-04   3.76956524E-04   6.02814999E-05   6.38804033E-05   1.95420966E-05  
  82               9.05240929E+00   2.20531447E+03   8.36962562E-01   1.60104261E-01   1.75423259E-03   5.29108283E-04   3.76762595E-04   6.02598884E-05   6.37040143E-05   1.93764908E-05  
  83               9.80707349E+00   2.24739476E+03   8.36620787E-01   1.60074449E-01   2.12604449E-03   5.29049219E-04   3.76564199E-04   6.02335130E-05   6.35110122E-05   1.91865673E-05  
