# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  89               3.09870280E+01   2.33352847E+03   8.36833027E-01   1.60095826E-01   1.87623929E-03   5.24608174E-04   3.87297596E-04   4.76765400E-06   5.93541854E-05   6.10163239E-05  
  90               3.30560149E+01   2.36901235E+03   8.36566710E-01   1.60072568E-01   2.16593759E-03   5.24675982E-04   3.87166554E-04   4.56597899E-06   5.93039857E-05   6.07510867E-05  
  91               3.53427383E+01   2.40739873E+03   8.36242002E-01   1.60044220E-01   2.51915880E-03   5.24727373E-04   3.87009909E-04   4.35634468E-06   5.92487698E-05   6.04630517E-05  
  92               3.78678041E+01   2.44578854E+03   8.35882445E-01   1.60012861E-01   2.91021172E-03   5.24710285E-04   3.86890736E-04   4.19719221E-06   5.91856347E-05   6.01593879E-05  
  93               4.06534635E+01   2.48702655E+03   8.35447886E-01   1.59974967E-01   3.38284273E-03   5.24668381E-04   3.86749771E-04   4.03188636E-06   5.91163884E-05   5.98314824E-05  
  94               4.37247361E+01   2.52803247E+03   8.34971227E-01   1.59933431E-01   3.90118261E-03   5.24556965E-04   3.86648528E-04   3.91380975E-06   5.90379003E-05   5.94873921E-05  
  95               4.71108275E+01   2.57185319E+03   8.34400181E-01   1.59883671E-01   4.52217272E-03   5.24411841E-04   3.86528704E-04   3.79032110E-06   5.89516250E-05   5.91174651E-05  
  96               5.08452864E+01   2.61517553E+03   8.33781326E-01   1.59829774E-01   5.19506861E-03   5.24194611E-04   3.86455439E-04   3.71207701E-06   5.88544817E-05   5.87307100E-05  
  97               5.49664015E+01   2.66149269E+03   8.33042493E-01   1.59765424E-01   5.99843418E-03   5.23934873E-04   3.86366057E-04   3.62631081E-06   5.87474601E-05   5.83156160E-05  
  98               5.95183366E+01   2.70696003E+03   8.32254013E-01   1.59696780E-01   6.85568314E-03   5.23598355E-04   3.86335945E-04   3.58596896E-06   5.86275004E-05   5.78832051E-05  
  99               6.45530790E+01   2.75439474E+03   8.31348457E-01   1.59617946E-01   7.84020151E-03   5.23201597E-04   3.86318573E-04   3.55202902E-06   5.84945028E-05   5.74235887E-05  
  100              7.01276058E+01   2.80200687E+03   8.30362811E-01   1.59532161E-01   8.91171268E-03   5.22730145E-04   3.86353276E-04   3.54697120E-06   5.83464313E-05   5.69416618E-05  
  101              7.63094514E+01   2.85012728E+03   8.29286571E-01   1.59438508E-01   1.00816360E-02   5.22182203E-04   3.86442366E-04   3.56600113E-06   5.81817877E-05   5.64354201E-05  
