# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  77               9.14011864E+01   1.19798774E+03   8.38113387E-01   1.60456358E-01   7.78214083E-04   5.28409419E-04   5.31199073E-05   3.42398221E-05   2.42848453E-05   1.81063514E-08  
  78               1.04253228E+02   1.24315692E+03   8.38114077E-01   1.60455557E-01   7.78212124E-04   5.28407818E-04   5.31197881E-05   3.42397455E-05   2.42844701E-05   3.83015080E-08  
  79               1.18643054E+02   1.28950481E+03   8.38114618E-01   1.60454764E-01   7.78210287E-04   5.28404941E-04   5.31197560E-05   3.42397264E-05   2.42839400E-05   7.81464799E-08  
  80               1.34690034E+02   1.33581322E+03   8.38114944E-01   1.60453997E-01   7.78203679E-04   5.28392009E-04   5.31198308E-05   3.42397827E-05   2.42832002E-05   1.51274082E-07  
  81               1.52644401E+02   1.38333556E+03   8.38115121E-01   1.60453177E-01   7.78169114E-04   5.28332065E-04   5.31199660E-05   3.42399077E-05   2.42821209E-05   2.84224862E-07  
  82               1.72762670E+02   1.43118704E+03   8.38115249E-01   1.60452334E-01   7.78024066E-04   5.28104547E-04   5.31200238E-05   3.42401065E-05   2.42805793E-05   5.12888070E-07  
  83               1.95290970E+02   1.48037325E+03   8.38115651E-01   1.60451439E-01   7.77564933E-04   5.27453913E-04   5.31195086E-05   3.42404012E-05   2.42782798E-05   9.03123091E-07  
  84               2.20389420E+02   1.52971498E+03   8.38116594E-01   1.60450566E-01   7.76551840E-04   5.26168850E-04   5.31173527E-05   3.42411772E-05   2.42747830E-05   1.53235125E-06  
  85               2.48159256E+02   1.57989728E+03   8.38117880E-01   1.60449598E-01   7.74940808E-04   5.24278087E-04   5.31108988E-05   3.42435579E-05   2.42688354E-05   2.53317994E-06  
  86               2.78783088E+02   1.62989806E+03   8.38119059E-01   1.60448508E-01   7.72914610E-04   5.21904474E-04   5.30937307E-05   3.42489012E-05   2.42577358E-05   4.04455446E-06  
  87               3.12509071E+02   1.68062542E+03   8.38103010E-01   1.60443981E-01   7.70701386E-04   5.18978373E-04   5.30870450E-05   3.42780069E-05   2.42337993E-05   6.31213089E-06  
  88               3.49512323E+02   1.73109224E+03   8.38084596E-01   1.60442489E-01   7.88103006E-04   5.15212269E-04   5.30425538E-05   3.42917634E-05   2.34052647E-05   9.55824368E-06  
  89               3.89959527E+02   1.78201697E+03   8.38084454E-01   1.60440699E-01   7.84522217E-04   5.11227499E-04   5.30249340E-05   3.42911424E-05   2.34159777E-05   1.41709194E-05  
  90               4.33970505E+02   1.83246903E+03   8.38083226E-01   1.60438750E-01   7.80739428E-04   5.06871350E-04   5.31217901E-05   3.42330778E-05   2.34213071E-05   2.04483311E-05  
  91               4.81652794E+02   1.88305713E+03   8.38078071E-01   1.60436213E-01   7.77342142E-04   5.02063545E-04   5.33493557E-05   3.41044578E-05   2.34135206E-05   2.89286304E-05  
  92               5.32526630E+02   1.93244947E+03   8.38066675E-01   1.60433075E-01   7.75894320E-04   4.97008130E-04   5.37233908E-05   3.38976935E-05   2.33788560E-05   3.98213875E-05  
  93               5.86118712E+02   1.98080954E+03   8.38042478E-01   1.60428599E-01   7.79061258E-04   4.91546817E-04   5.41784199E-05   3.36451356E-05   2.32907027E-05   5.35660028E-05  
  94               6.45345557E+02   2.03000933E+03   8.37993189E-01   1.60421444E-01   7.91738159E-04   4.85282578E-04   5.47569636E-05   3.33254765E-05   2.31058306E-05   7.12808064E-05  
  95               7.09211195E+02   2.07927813E+03   8.37917128E-01   1.60412477E-01   8.19971639E-04   4.77814103E-04   5.54149727E-05   3.29612464E-05   2.27912070E-05   9.35188374E-05  
  96               7.77230886E+02   2.12777296E+03   8.37848074E-01   1.60405079E-01   8.46841776E-04   4.70205205E-04   5.61583922E-05   3.25509108E-05   2.25230441E-05   1.20530734E-04  
  97               8.56290843E+02   2.18001581E+03   8.37815404E-01   1.60399349E-01   8.41300110E-04   4.64042611E-04   5.70454353E-05   3.20609379E-05   2.25186484E-05   1.56255365E-04  
  98               9.37108883E+02   2.22938263E+03   8.37783662E-01   1.60394653E-01   8.36316097E-04   4.58367246E-04   5.79671050E-05   3.15515047E-05   2.25099925E-05   1.97238587E-04  
  99               1.01323962E+03   2.27268395E+03   8.37749479E-01   1.60390066E-01   8.32195717E-04   4.53547518E-04   5.88393225E-05   3.10685664E-05   2.24988116E-05   2.39708956E-04  
  100              1.10264249E+03   2.32038637E+03   8.37702165E-01   1.60384070E-01   8.27914933E-04   4.48381446E-04   5.98458721E-05   3.05088450E-05   2.24825531E-05   2.94430498E-04  
  101              1.20713476E+03   2.37183620E+03   8.37598926E-01   1.60369976E-01   8.28423964E-04   4.42722677E-04   6.10192784E-05   2.98538544E-05   2.24673459E-05   3.63613141E-04  
