# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  69               2.27237347E+00   6.59585400E+02   8.38213734E-01   1.60483578E-01   7.08200977E-04   4.63274657E-04   5.43468216E-05   3.25564181E-05   2.29833427E-05   1.28373196E-05  
  70               2.54201425E+00   6.82005863E+02   8.38215435E-01   1.60481883E-01   7.08197412E-04   4.63272325E-04   5.43465480E-05   3.25562542E-05   2.29830999E-05   1.28372550E-05  
  71               2.84164503E+00   7.05074570E+02   8.38217229E-01   1.60480093E-01   7.08193656E-04   4.63269868E-04   5.43462598E-05   3.25560816E-05   2.29828435E-05   1.28371869E-05  
  72               3.17400073E+00   7.28661039E+02   8.38219016E-01   1.60478305E-01   7.08189944E-04   4.63267440E-04   5.43459749E-05   3.25559109E-05   2.29825875E-05   1.28371196E-05  
  73               3.54191748E+00   7.52856599E+02   8.38220700E-01   1.60476570E-01   7.08186429E-04   4.63265141E-04   5.43457052E-05   3.25557493E-05   2.29823390E-05   1.28370559E-05  
  74               3.94911326E+00   7.77566367E+02   8.38222270E-01   1.60474955E-01   7.08184296E-04   4.63263745E-04   5.43455415E-05   3.25556513E-05   2.29821075E-05   1.28370172E-05  
  75               4.40043996E+00   8.02964227E+02   8.38223621E-01   1.60473450E-01   7.08181988E-04   4.63262235E-04   5.43453644E-05   3.25555452E-05   2.29818918E-05   1.28369754E-05  
  76               4.90080210E+00   8.28961827E+02   8.38224739E-01   1.60472081E-01   7.08182488E-04   4.63262563E-04   5.43454028E-05   3.25555682E-05   2.29816952E-05   1.28369845E-05  
  77               5.45501119E+00   8.55666707E+02   8.38225918E-01   1.60470890E-01   7.08184348E-04   4.63263780E-04   5.43455455E-05   3.25556538E-05   2.29815239E-05   1.28370182E-05  
  78               6.06772602E+00   8.82937385E+02   8.38226951E-01   1.60469842E-01   7.08182260E-04   4.63262413E-04   5.43453852E-05   3.25555580E-05   2.29862968E-05   1.28369803E-05  
  79               6.74339756E+00   9.10831816E+02   8.38227835E-01   1.60468914E-01   7.08180521E-04   4.63261276E-04   5.43452518E-05   3.25554791E-05   2.29974071E-05   1.28369488E-05  
  80               7.48659739E+00   9.39196450E+02   8.38228543E-01   1.60468091E-01   7.08179380E-04   4.63260530E-04   5.43451643E-05   3.25554311E-05   2.30242667E-05   1.28369281E-05  
  81               8.30447931E+00   9.68163380E+02   8.38229024E-01   1.60467339E-01   7.08179314E-04   4.63260486E-04   5.43451592E-05   3.25554459E-05   2.30881938E-05   1.28369269E-05  
  82               9.20464871E+00   9.97670669E+02   8.38229137E-01   1.60466616E-01   7.08181426E-04   4.63261868E-04   5.43453213E-05   3.25556106E-05   2.32338866E-05   1.28369652E-05  
