# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H2O(s)          
  90               4.56138572E+02   1.63421679E+03   8.38099744E-01   1.60453556E-01   7.78253559E-04   5.27543406E-04   7.27882501E-05   2.44085444E-05   2.42648163E-05   0.00000000E+00  
  91               5.10700457E+02   1.68363179E+03   8.38081939E-01   1.60449656E-01   7.77647282E-04   5.26393142E-04   7.27881200E-05   2.44453324E-05   2.42486497E-05   0.00000000E+00  
  92               5.68739946E+02   1.73242998E+03   8.38060959E-01   1.60448922E-01   7.97466319E-04   5.24889817E-04   7.27430542E-05   2.44733976E-05   2.34235757E-05   0.00000000E+00  
  93               6.31416469E+02   1.78020241E+03   8.38059453E-01   1.60448148E-01   7.96174048E-04   5.23367607E-04   7.27490252E-05   2.44673414E-05   2.34399294E-05   0.00000000E+00  
  94               7.00205065E+02   1.82908995E+03   8.38056087E-01   1.60447085E-01   7.94857588E-04   5.21592032E-04   7.28542079E-05   2.44056489E-05   2.34489818E-05   0.00000000E+00  
  95               7.76867887E+02   1.87856989E+03   8.38051121E-01   1.60445888E-01   7.93621297E-04   5.19628237E-04   7.31497387E-05   2.42439057E-05   2.34538362E-05   0.00000000E+00  
  96               8.63585877E+02   1.93062444E+03   8.38041101E-01   1.60444062E-01   7.93248692E-04   5.17327234E-04   7.35718878E-05   2.40192107E-05   2.34433575E-05   0.00000000E+00  
  97               9.63159411E+02   1.98477640E+03   8.38020773E-01   1.60441195E-01   7.96000284E-04   5.14718229E-04   7.42012387E-05   2.36875737E-05   2.33956865E-05   0.00000000E+00  
  98               1.07911822E+03   2.04295523E+03   8.37975137E-01   1.60435645E-01   8.07483671E-04   5.11485189E-04   7.49696415E-05   2.32811894E-05   2.32584267E-05   0.00000000E+00  
  99               1.21162415E+03   2.10288439E+03   8.37893420E-01   1.60427459E-01   8.37123459E-04   5.07511109E-04   7.59410718E-05   2.27679591E-05   2.29691090E-05   0.00000000E+00  
  100              1.35640514E+03   2.16309422E+03   8.37798592E-01   1.60419926E-01   8.79157674E-04   5.02829277E-04   7.69904496E-05   2.22113563E-05   2.26215192E-05   0.00000000E+00  
  101              1.52797003E+03   2.22734645E+03   8.37718190E-01   1.60407078E-01   8.76105499E-04   4.99052291E-04   7.82754317E-05   2.15278616E-05   2.26244921E-05   0.00000000E+00  
