# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H               
  76               8.86743450E+00   1.17047995E+03   8.38320230E-01   1.60472395E-01   6.16361007E-04   3.76471606E-04   1.14521976E-04   5.67981311E-05   2.42868623E-05   3.43363942E-08  
  77               9.88755306E+00   1.20713473E+03   8.38323831E-01   1.60468661E-01   6.16352385E-04   3.76464568E-04   1.14632805E-04   5.67975472E-05   2.42858436E-05   6.52590541E-08  
  78               1.10173020E+01   1.24467896E+03   8.38328817E-01   1.60463322E-01   6.16334147E-04   3.76445099E-04   1.14952348E-04   5.67968564E-05   2.42843470E-05   1.21004169E-07  
  79               1.22664416E+01   1.28273636E+03   8.38335173E-01   1.60456094E-01   6.16281742E-04   3.76376819E-04   1.15820433E-04   5.67963389E-05   2.42822387E-05   2.17738397E-07  
  80               1.36448478E+01   1.32157911E+03   8.38342675E-01   1.60446637E-01   6.16098180E-04   3.76120957E-04   1.18009424E-04   5.67965422E-05   2.42793229E-05   3.82566686E-07  
  81               1.51641744E+01   1.36088080E+03   8.38350516E-01   1.60434997E-01   6.15449982E-04   3.75213368E-04   1.23032998E-04   5.67981685E-05   2.42754223E-05   6.53883531E-07  
  82               1.68455978E+01   1.40111847E+03   8.38358463E-01   1.60421250E-01   6.13383789E-04   3.72368420E-04   1.33216810E-04   5.68011611E-05   2.42701769E-05   1.09603760E-06  
  83               1.87242868E+01   1.44239530E+03   8.38368130E-01   1.60406275E-01   6.07729372E-04   3.64813293E-04   1.50867656E-04   5.68037297E-05   2.42629625E-05   1.80421548E-06  
  84               2.08448993E+01   1.48540689E+03   8.38384870E-01   1.60391437E-01   5.95022457E-04   3.48679329E-04   1.76400556E-04   5.68034811E-05   2.42518612E-05   2.94124051E-06  
  85               2.32482512E+01   1.53007059E+03   8.38412714E-01   1.60378359E-01   5.72960752E-04   3.22852354E-04   2.06892845E-04   5.68015441E-05   2.42310592E-05   4.73828326E-06  
  86               2.59463660E+01   1.57619984E+03   8.38447018E-01   1.60366903E-01   5.44681430E-04   2.92179303E-04   2.38492849E-04   5.68025504E-05   2.41823010E-05   7.52690662E-06  
  87               2.89022833E+01   1.62248996E+03   8.38476241E-01   1.60356005E-01   5.17087850E-04   2.62285785E-04   2.68385660E-04   5.68230001E-05   2.40574845E-05   1.16453804E-05  
  88               3.20571762E+01   1.66803626E+03   8.38490237E-01   1.60344330E-01   4.94649075E-04   2.34722527E-04   2.95834432E-04   5.68223019E-05   2.37478882E-05   1.74515882E-05  
  89               3.53119185E+01   1.71135635E+03   8.38501412E-01   1.60335190E-01   4.84154349E-04   2.08849347E-04   3.21577802E-04   5.68277871E-05   2.28313552E-05   2.51012702E-05  
  90               3.84743669E+01   1.75059076E+03   8.38512778E-01   1.60327880E-01   4.67690119E-04   1.89976520E-04   3.40356790E-04   5.68396638E-05   2.27609127E-05   3.43192591E-05  
  91               4.18485425E+01   1.78964773E+03   8.38513146E-01   1.60320168E-01   4.55983484E-04   1.72454307E-04   3.57755819E-04   5.68584766E-05   2.26277342E-05   4.61771977E-05  
  92               4.49692321E+01   1.82366481E+03   8.38497548E-01   1.60311983E-01   4.52060496E-04   1.57459469E-04   3.72641860E-04   5.69070408E-05   2.24129244E-05   5.91435741E-05  
  93               4.77562300E+01   1.85243952E+03   8.38469809E-01   1.60303731E-01   4.55576308E-04   1.44518774E-04   3.85480844E-04   5.68956538E-05   2.21293436E-05   7.23602774E-05  
  94               5.08196988E+01   1.88262094E+03   8.38421368E-01   1.60293156E-01   4.68214752E-04   1.30371705E-04   3.99525262E-04   5.68788433E-05   2.17244976E-05   8.87789965E-05  
  95               5.41856298E+01   1.91406343E+03   8.38362553E-01   1.60282847E-01   4.91987493E-04   1.15357537E-04   4.14439610E-04   5.68532963E-05   2.12298656E-05   1.09042109E-04  
  96               5.71049523E+01   1.94015724E+03   8.38347189E-01   1.60278139E-01   4.85666608E-04   1.08880599E-04   4.20826233E-04   5.68371674E-05   2.12115470E-05   1.28634485E-04  
  97               5.95098530E+01   1.96081003E+03   8.38337241E-01   1.60275261E-01   4.81011490E-04   1.04152542E-04   4.25474249E-04   5.68116709E-05   2.11968690E-05   1.46109047E-04  
  98               6.22095077E+01   1.98327999E+03   8.38323976E-01   1.60272058E-01   4.76283653E-04   9.93439188E-05   4.30192708E-04   5.67795160E-05   2.11802925E-05   1.67292908E-04  
  99               6.52284537E+01   2.00741355E+03   8.38306694E-01   1.60268532E-01   4.71612724E-04   9.45831429E-05   4.34851753E-04   5.67398657E-05   2.11619020E-05   1.92756295E-04  
  100              6.85897823E+01   2.03331508E+03   8.38284467E-01   1.60264599E-01   4.66991345E-04   8.98605475E-05   4.39459249E-04   5.66933487E-05   2.11410630E-05   2.23518062E-04  
  101              7.23412460E+01   2.06095002E+03   8.38216064E-01   1.60252526E-01   4.62492718E-04   8.52630744E-05   4.43899137E-04   5.66465101E-05   2.11166229E-05   2.60570337E-04  
