# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               H2S              Mg              
  73               4.23754607E+00   1.83440009E+03   8.38413611E-01   1.60234703E-01   2.10235015E-04   5.28171055E-04   3.77253004E-04   6.03091128E-05   2.01901175E-05   6.50990080E-05  
  74               4.41993182E+00   1.85337888E+03   8.38386094E-01   1.60232176E-01   2.39619458E-04   5.28282999E-04   3.77893835E-04   6.03081812E-05   2.01842877E-05   6.50396018E-05  
  75               4.62389731E+00   1.87655263E+03   8.38316857E-01   1.60222788E-01   2.80851411E-04   5.28303243E-04   3.78018758E-04   6.03046542E-05   2.01701428E-05   6.49681422E-05  
  76               4.77399070E+00   1.89170059E+03   8.38289023E-01   1.60220257E-01   3.10461811E-04   5.28753153E-04   3.78326458E-04   6.03568678E-05   2.01591025E-05   6.49197287E-05  
  77               4.87919952E+00   1.90273188E+03   8.38267624E-01   1.60218364E-01   3.33828887E-04   5.28760834E-04   3.78279540E-04   6.03560273E-05   2.01492488E-05   6.48852230E-05  
  78               4.99883794E+00   1.91435137E+03   8.38243871E-01   1.60216268E-01   3.59750046E-04   5.28785847E-04   3.78213042E-04   6.03549157E-05   2.01378484E-05   6.48471839E-05  
  79               5.13534874E+00   1.92807706E+03   8.38213579E-01   1.60213597E-01   3.92781301E-04   5.28827297E-04   3.78133096E-04   6.03537253E-05   2.01221411E-05   6.48031053E-05  
  80               5.29059457E+00   1.94258124E+03   8.38179388E-01   1.60210587E-01   4.30045087E-04   5.28876652E-04   3.78042227E-04   6.03521740E-05   2.01037147E-05   6.47544320E-05  
  81               5.46640955E+00   1.95931230E+03   8.38136336E-01   1.60206803E-01   4.76926892E-04   5.28932988E-04   3.77951024E-04   6.03504390E-05   2.00792934E-05   6.46988268E-05  
  82               5.66469900E+00   1.97693958E+03   8.38087240E-01   1.60202491E-01   5.30395575E-04   5.28987308E-04   3.77848531E-04   6.03481114E-05   2.00504999E-05   6.46377829E-05  
  83               5.88789358E+00   1.99686161E+03   8.38026031E-01   1.60197125E-01   5.97008012E-04   5.29041612E-04   3.77753708E-04   6.03453780E-05   2.00134563E-05   6.45688765E-05  
  84               6.13822810E+00   2.01778633E+03   8.37955601E-01   1.60190956E-01   6.73699833E-04   5.29088519E-04   3.77637419E-04   6.03417324E-05   1.99699729E-05   6.44935579E-05  
  85               6.41923342E+00   2.04107086E+03   8.37868354E-01   1.60183321E-01   7.68689948E-04   5.29131037E-04   3.77509488E-04   6.03371912E-05   1.99150606E-05   6.44092130E-05  
  86               6.73373797E+00   2.06523530E+03   8.37768245E-01   1.60174568E-01   8.77660720E-04   5.29162465E-04   3.77381530E-04   6.03312607E-05   1.98522896E-05   6.43175692E-05  
  87               7.08460088E+00   2.09300971E+03   8.37637687E-01   1.60163156E-01   1.01976475E-03   5.29190971E-04   3.77235036E-04   6.03238414E-05   1.97694955E-05   6.42139289E-05  
  88               7.47469298E+00   2.12313129E+03   8.37476890E-01   1.60149109E-01   1.19475912E-03   5.29208416E-04   3.77078513E-04   6.03143018E-05   1.96683961E-05   6.40996358E-05  
  89               7.90736758E+00   2.15402026E+03   8.37290949E-01   1.60132875E-01   1.39708937E-03   5.29208204E-04   3.76924279E-04   6.03024068E-05   1.95543910E-05   6.39766815E-05  
  90               8.38616347E+00   2.18786399E+03   8.37057672E-01   1.60112512E-01   1.65091067E-03   5.29193350E-04   3.76753814E-04   6.02876500E-05   1.94143186E-05   6.38408698E-05  
  91               8.91497691E+00   2.22150807E+03   8.36796618E-01   1.60089736E-01   1.93492481E-03   5.29156551E-04   3.76589835E-04   6.02698446E-05   1.92640337E-05   6.36969875E-05  
  92               9.49793478E+00   2.25891472E+03   8.36462253E-01   1.60060565E-01   2.29868993E-03   5.29100592E-04   3.76398652E-04   6.02488432E-05   1.90773924E-05   6.35374475E-05  
  93               1.01396403E+01   2.29483384E+03   8.36101133E-01   1.60028862E-01   2.68933358E-03   5.29019603E-04   3.76263984E-04   6.02242468E-05   1.88881158E-05   6.33710319E-05  
  94               1.08459296E+01   2.32961199E+03   8.35708539E-01   1.59995153E-01   3.10722708E-03   5.28930914E-04   3.82381578E-04   6.01966808E-05   1.87294483E-05   6.31971207E-05  
  95               1.16220226E+01   2.36736826E+03   8.35236374E-01   1.59953983E-01   3.62069396E-03   5.28806296E-04   3.82308937E-04   6.01654526E-05   1.85039137E-05   6.30071907E-05  
  96               1.24737999E+01   2.40581623E+03   8.34699279E-01   1.59907159E-01   4.20482568E-03   5.28655395E-04   3.82178384E-04   6.01292908E-05   1.82616645E-05   6.28050547E-05  
  97               1.34084303E+01   2.44512109E+03   8.34087231E-01   1.59853803E-01   4.87048942E-03   5.28477260E-04   3.82019729E-04   6.00888041E-05   1.80016195E-05   6.25897459E-05  
  98               1.44333613E+01   2.48557885E+03   8.33385249E-01   1.59792610E-01   5.63397999E-03   5.28268133E-04   3.81829621E-04   6.00432937E-05   1.77211757E-05   6.23599836E-05  
  99               1.55571675E+01   2.52600531E+03   8.32612665E-01   1.59725268E-01   6.47425911E-03   5.28030943E-04   3.81618614E-04   5.99926860E-05   1.74330874E-05   6.21179020E-05  
  100              1.67892817E+01   2.56833408E+03   8.31712859E-01   1.59646837E-01   7.45291897E-03   5.27753519E-04   3.81367250E-04   5.99357293E-05   1.71180723E-05   6.18582234E-05  
  101              1.81406059E+01   2.60947453E+03   8.30764522E-01   1.59564183E-01   8.48434807E-03   5.27452092E-04   3.81109289E-04   5.98734591E-05   1.68111537E-05   6.15880540E-05  
