# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               CH4              H2S             
  75               4.58979291E+00   1.88170116E+03   8.38304899E-01   1.60221631E-01   2.93308003E-04   5.28625525E-04   3.78399379E-04   6.03623466E-05   1.75263726E-06   2.01615033E-05  
  76               4.75079427E+00   1.89865735E+03   8.38272940E-01   1.60218801E-01   3.28075377E-04   5.28758616E-04   3.78295454E-04   6.04084404E-05   1.65081939E-06   2.01474701E-05  
  77               4.86756801E+00   1.91040861E+03   8.38249193E-01   1.60216707E-01   3.54017083E-04   5.28795062E-04   3.78194524E-04   6.04015408E-05   1.58719536E-06   2.01360999E-05  
  78               5.00058195E+00   1.92382835E+03   8.38220032E-01   1.60214137E-01   3.85807522E-04   5.28853830E-04   3.78108336E-04   6.03950459E-05   1.51716754E-06   2.01212085E-05  
  79               5.15153159E+00   1.93839711E+03   8.38186088E-01   1.60211148E-01   4.22810158E-04   5.28910639E-04   3.78008093E-04   6.03890377E-05   1.44830709E-06   2.01029429E-05  
  80               5.32218110E+00   1.95473539E+03   8.38144716E-01   1.60207512E-01   4.67852810E-04   5.28969004E-04   3.77927279E-04   6.03833439E-05   1.37520694E-06   2.00796927E-05  
  81               5.51458670E+00   1.97236001E+03   8.38096271E-01   1.60203258E-01   5.20622047E-04   5.29022761E-04   3.77816998E-04   6.03777474E-05   1.30437127E-06   2.00512817E-05  
  82               5.73024119E+00   1.99176596E+03   8.38037665E-01   1.60198120E-01   5.84381171E-04   5.29074815E-04   3.77742188E-04   6.03719189E-05   1.23178591E-06   2.00160479E-05  
  83               5.97042487E+00   2.01242176E+03   8.37969223E-01   1.60192126E-01   6.58915931E-04   5.29119817E-04   3.77624593E-04   6.03654841E-05   1.16295489E-06   1.99737285E-05  
  84               6.23753079E+00   2.03478855E+03   8.37887160E-01   1.60184944E-01   7.48265202E-04   5.29159644E-04   3.77501670E-04   6.03581016E-05   1.09477546E-06   1.99221717E-05  
  85               6.53535353E+00   2.05858703E+03   8.37790355E-01   1.60176480E-01   8.53644965E-04   5.29190725E-04   3.77377084E-04   6.03495285E-05   1.03044178E-06   1.98611164E-05  
  86               6.86643942E+00   2.08412308E+03   8.37674469E-01   1.60166353E-01   9.79775081E-04   5.29213449E-04   3.77247510E-04   6.03396390E-05   9.68225028E-07   1.97880650E-05  
  87               7.23349416E+00   2.11108117E+03   8.37537806E-01   1.60154417E-01   1.12849967E-03   5.29225037E-04   3.77115344E-04   6.03281828E-05   9.10334202E-07   1.97027757E-05  
  88               7.63943349E+00   2.13961164E+03   8.37375633E-01   1.60140258E-01   1.30496621E-03   5.29224910E-04   3.76978267E-04   6.03150205E-05   8.55896145E-07   1.96031127E-05  
  89               8.08739050E+00   2.16953249E+03   8.37184742E-01   1.60123598E-01   1.51266355E-03   5.29211172E-04   3.76836699E-04   6.02999087E-05   8.05779870E-07   1.94884312E-05  
  90               8.58076757E+00   2.20082184E+03   8.36960420E-01   1.60104026E-01   1.75671903E-03   5.29182509E-04   3.76689351E-04   6.02826272E-05   7.59833115E-07   1.93574369E-05  
  91               9.12326737E+00   2.23345596E+03   8.36697314E-01   1.60081075E-01   2.04295356E-03   5.29137440E-04   3.76534738E-04   6.02629309E-05   7.17873648E-07   1.92088932E-05  
  92               9.71896176E+00   2.26719731E+03   8.36391860E-01   1.60054434E-01   2.37524345E-03   5.29074241E-04   3.76373014E-04   6.02405201E-05   6.80462759E-07   1.90431508E-05  
  93               1.03723285E+01   2.30225124E+03   8.36033244E-01   1.60022956E-01   2.76319843E-03   5.28990108E-04   3.76199931E-04   6.02149814E-05   6.46453244E-07   1.88577498E-05  
  94               1.10879061E+01   2.33809463E+03   8.35616709E-01   1.59987151E-01   3.20704395E-03   5.28898500E-04   3.82403589E-04   6.01874926E-05   6.06828020E-07   1.86880067E-05  
  95               1.18711731E+01   2.37526458E+03   8.35142279E-01   1.59945787E-01   3.72300793E-03   5.28770860E-04   3.82297151E-04   6.01552506E-05   5.80432769E-07   1.84641717E-05  
  96               1.27285941E+01   2.41291342E+03   8.34607738E-01   1.59899187E-01   4.30436160E-03   5.28619171E-04   3.82166303E-04   6.01190459E-05   5.58713133E-07   1.82260332E-05  
  97               1.36668997E+01   2.45200565E+03   8.33987913E-01   1.59845153E-01   4.97848817E-03   5.28438864E-04   3.82003490E-04   6.00783473E-05   5.38739162E-07   1.79650208E-05  
  98               1.46935557E+01   2.49119475E+03   8.33301999E-01   1.59785363E-01   5.72449920E-03   5.28232208E-04   3.81819135E-04   6.00330210E-05   5.23528690E-07   1.76943332E-05  
  99               1.58170467E+01   2.53202792E+03   8.32507305E-01   1.59716091E-01   6.58883233E-03   5.27990469E-04   3.81598848E-04   5.99821408E-05   5.09183692E-07   1.73992191E-05  
  100              1.70469232E+01   2.57252783E+03   8.31645316E-01   1.59640959E-01   7.52635290E-03   5.27721182E-04   3.81361983E-04   5.99259837E-05   4.99824663E-07   1.71012908E-05  
  101              1.83942323E+01   2.61314184E+03   8.30703237E-01   1.59558851E-01   8.55097496E-03   5.27421621E-04   3.81106053E-04   5.98640464E-05   4.94090943E-07   1.67979025E-05  
