# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CO               CH4              N2               H2S             
  77               4.92949168E+01   2.05103583E+03   8.38264630E-01   1.60243753E-01   4.26540068E-04   2.96089022E-04   4.80052579E-04   4.94711010E-05   5.78382615E-05   2.08600494E-05  
  78               5.15199469E+01   2.07688037E+03   8.38226419E-01   1.60239146E-01   4.23600910E-04   3.41817302E-04   4.82990567E-04   4.64473867E-05   5.78096100E-05   2.08346966E-05  
  79               5.40092020E+01   2.09902059E+03   8.38160199E-01   1.60229599E-01   4.21988473E-04   3.83521061E-04   4.84535540E-04   4.47975227E-05   5.77540532E-05   2.08167082E-05  
  80               5.58890488E+01   2.11990397E+03   8.38121395E-01   1.60225347E-01   4.19914582E-04   4.28615099E-04   4.86620465E-04   4.26373193E-05   5.77305417E-05   2.07924136E-05  
  81               5.72766756E+01   2.13032437E+03   8.38101409E-01   1.60223427E-01   4.19460114E-04   4.50954872E-04   4.87056308E-04   4.21547680E-05   5.76963990E-05   2.07845945E-05  
  82               5.88717121E+01   2.14773316E+03   8.38064378E-01   1.60219496E-01   4.17815655E-04   4.93565942E-04   4.88671577E-04   4.04732420E-05   5.76765848E-05   2.07616961E-05  
  83               6.06993423E+01   2.16155685E+03   8.38034121E-01   1.60216610E-01   4.17188031E-04   5.27313946E-04   4.89273240E-04   3.98070529E-05   5.76344560E-05   2.07486135E-05  
  84               6.27869056E+01   2.18249245E+03   8.37982930E-01   1.60211429E-01   4.15492086E-04   5.85385372E-04   4.90930441E-04   3.80629078E-05   5.76048492E-05   2.07190249E-05  
  85               6.51634173E+01   2.20012239E+03   8.37937940E-01   1.60207207E-01   4.14733700E-04   6.35330680E-04   4.91653315E-04   3.72522461E-05   5.75523534E-05   2.06987364E-05  
  86               6.78603069E+01   2.22486346E+03   8.37866914E-01   1.60200310E-01   4.13053628E-04   7.14934438E-04   4.93282588E-04   3.55091510E-05   5.75102428E-05   2.06602019E-05  
  87               7.09106379E+01   2.24657546E+03   8.37801015E-01   1.60194243E-01   4.12225902E-04   7.87702650E-04   4.94062730E-04   3.46110613E-05   5.74448776E-05   2.06302559E-05  
  88               7.43504514E+01   2.27522222E+03   8.37702664E-01   1.60185014E-01   4.10641152E-04   8.96866056E-04   4.95582010E-04   3.29433111E-05   5.73871684E-05   2.05801447E-05  
  89               7.82175103E+01   2.30114265E+03   8.37605540E-01   1.60176026E-01   4.09813500E-04   1.00141756E-03   4.96345181E-04   3.20220161E-05   5.73059297E-05   2.05375838E-05  
  90               8.25528541E+01   2.33360777E+03   8.37462793E-01   1.60163415E-01   4.13920934E-04   1.15040010E-03   4.98083108E-04   3.01173334E-05   5.72350266E-05   2.05014671E-05  
  91               8.74004795E+01   2.36371423E+03   8.37327373E-01   1.60151338E-01   4.13277491E-04   1.29848962E-03   4.98761108E-04   2.92352856E-05   5.71354727E-05   2.04433657E-05  
  92               9.28103509E+01   2.39973978E+03   8.37143537E-01   1.60134863E-01   4.12234731E-04   1.49981465E-03   4.99826354E-04   2.79241406E-05   5.70363069E-05   2.03620780E-05  
  93               9.88345766E+01   2.43392579E+03   8.36954029E-01   1.60118134E-01   4.11706423E-04   1.70654006E-03   5.00357303E-04   2.71256685E-05   5.69142109E-05   2.02848373E-05  
  94               1.05533485E+02   2.47312259E+03   8.36708403E-01   1.60096408E-01   4.10937102E-04   1.97464181E-03   5.01108484E-04   2.60577800E-05   5.67876313E-05   2.01845683E-05  
  95               1.12969552E+02   2.51120877E+03   8.36447718E-01   1.60073556E-01   4.10566296E-04   2.25852174E-03   5.01444266E-04   2.53731097E-05   5.66387448E-05   2.00853808E-05  
  96               1.21220955E+02   2.55305524E+03   8.36126467E-01   1.60045393E-01   4.10116199E-04   2.60837331E-03   5.01836640E-04   2.45749231E-05   5.64794164E-05   1.99658739E-05  
  97               1.30372903E+02   2.59489061E+03   8.35774058E-01   1.60014644E-01   4.09943612E-04   2.99168791E-03   5.01937868E-04   2.40202091E-05   5.62984244E-05   1.98426561E-05  
  98               1.40529102E+02   2.63878700E+03   8.35364726E-01   1.59978979E-01   4.09868062E-04   3.43675179E-03   5.01926024E-04   2.35143122E-05   5.60994253E-05   1.97058903E-05  
  99               1.51803707E+02   2.68374558E+03   8.34904142E-01   1.59938933E-01   4.09981926E-04   3.93725937E-03   5.01715225E-04   2.31396820E-05   5.58781707E-05   1.95605269E-05  
  100              1.64328089E+02   2.73075184E+03   8.34373000E-01   1.59892793E-01   4.10219950E-04   4.51430047E-03   5.01370919E-04   2.28157538E-05   5.56349138E-05   1.94013461E-05  
  101              1.78253968E+02   2.77877298E+03   8.33779636E-01   1.59841323E-01   4.10675053E-04   5.15867555E-03   5.00809678E-04   2.26211914E-05   5.53649290E-05   1.92343506E-05  
