# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H2S              H2O(s)          
  74               3.70791817E+00   9.38929932E+02   8.38249925E-01   1.60467655E-01   6.95083725E-04   4.51852384E-04   3.90079742E-05   5.73377062E-05   2.30655961E-05   0.00000000E+00  
  75               4.11941149E+00   9.68364637E+02   8.38249972E-01   1.60467071E-01   6.95087782E-04   4.51855022E-04   3.90086865E-05   5.73380475E-05   2.31925642E-05   0.00000000E+00  
  76               4.57325647E+00   9.97897390E+02   8.38249294E-01   1.60466364E-01   6.95094337E-04   4.51859282E-04   3.90108284E-05   5.73385954E-05   2.34774894E-05   0.00000000E+00  
  77               5.07346324E+00   1.02849265E+03   8.38248413E-01   1.60465587E-01   6.95117403E-04   4.51874267E-04   3.90182062E-05   5.73405063E-05   2.42864987E-05   0.00000000E+00  
  78               5.62412923E+00   1.05915618E+03   8.38249201E-01   1.60464775E-01   6.95118860E-04   4.51875159E-04   3.90382931E-05   5.73406400E-05   2.42863127E-05   0.00000000E+00  
  79               6.22964573E+00   1.09088387E+03   8.38250303E-01   1.60463607E-01   6.95119029E-04   4.51874967E-04   3.91004368E-05   5.73406961E-05   2.42860337E-05   0.00000000E+00  
  80               6.89449355E+00   1.12259309E+03   8.38251770E-01   1.60461952E-01   6.95116905E-04   4.51872023E-04   3.92843069E-05   5.73407090E-05   2.42856279E-05   0.00000000E+00  
  81               7.62410337E+00   1.15531697E+03   8.38253750E-01   1.60459470E-01   6.95106776E-04   4.51858102E-04   3.97923229E-05   5.73407333E-05   2.42850119E-05   0.00000000E+00  
  82               8.42589968E+00   1.18813824E+03   8.38256057E-01   1.60455925E-01   6.95065115E-04   4.51798939E-04   4.10998165E-05   5.73410606E-05   2.42841225E-05   0.00000000E+00  
  83               9.30760052E+00   1.22204294E+03   8.38258510E-01   1.60450753E-01   6.94897492E-04   4.51563197E-04   4.41661317E-05   5.73422695E-05   2.42828131E-05   0.00000000E+00  
  84               1.02774839E+01   1.25615009E+03   8.38260514E-01   1.60443736E-01   6.94265288E-04   4.50696439E-04   5.05851765E-05   5.73453516E-05   2.42810008E-05   0.00000000E+00  
  85               1.13458405E+01   1.29139227E+03   8.38262841E-01   1.60434500E-01   6.92157677E-04   4.47904622E-04   6.22439427E-05   5.73506630E-05   2.42785150E-05   0.00000000E+00  
  86               1.25281574E+01   1.32711536E+03   8.38268956E-01   1.60423939E-01   6.86179502E-04   4.40350763E-04   7.99926690E-05   5.73559980E-05   2.42753866E-05   0.00000000E+00  
  87               1.38488627E+01   1.36443936E+03   8.38285618E-01   1.60412975E-01   6.72651104E-04   4.24349401E-04   1.03469918E-04   5.73575136E-05   2.42714956E-05   0.00000000E+00  
  88               1.53399978E+01   1.40302360E+03   8.38315520E-01   1.60402744E-01   6.49795382E-04   3.99514706E-04   1.30944100E-04   5.73549033E-05   2.42666515E-05   0.00000000E+00  
  89               1.70389626E+01   1.44391051E+03   8.38354201E-01   1.60392341E-01   6.20142338E-04   3.69041635E-04   1.61875675E-04   5.73510896E-05   2.42597140E-05   0.00000000E+00  
  90               1.89752875E+01   1.48648393E+03   8.38395362E-01   1.60381706E-01   5.88143629E-04   3.36641308E-04   1.94261619E-04   5.73473193E-05   2.42483195E-05   0.00000000E+00  
  91               2.11669821E+01   1.53101610E+03   8.38436148E-01   1.60370771E-01   5.55549342E-04   3.03619512E-04   2.27213143E-04   5.73447281E-05   2.42250859E-05   0.00000000E+00  
  92               2.36132591E+01   1.57639301E+03   8.38468901E-01   1.60359369E-01   5.24918037E-04   2.72104140E-04   2.58638337E-04   5.73434456E-05   2.41694083E-05   0.00000000E+00  
  93               2.62762400E+01   1.62192771E+03   8.38497703E-01   1.60349170E-01   5.01689215E-04   2.41834268E-04   2.88812296E-04   5.73667342E-05   2.37181248E-05   0.00000000E+00  
  94               2.91030647E+01   1.66626580E+03   8.38513374E-01   1.60338347E-01   4.76998961E-04   2.16582401E-04   3.13956560E-04   5.73633222E-05   2.36839445E-05   0.00000000E+00  
  95               3.20119018E+01   1.70853581E+03   8.38523215E-01   1.60329619E-01   4.67620273E-04   1.92019122E-04   3.38415475E-04   5.73591969E-05   2.27811108E-05   0.00000000E+00  
  96               3.48497139E+01   1.74683281E+03   8.38532964E-01   1.60322687E-01   4.52318048E-04   1.74336246E-04   3.55995994E-04   5.73474544E-05   2.27075421E-05   0.00000000E+00  
  97               3.78508962E+01   1.78473007E+03   8.38530305E-01   1.60315074E-01   4.41917173E-04   1.57968818E-04   3.72252300E-04   5.73286335E-05   2.25697921E-05   0.00000000E+00  
  98               4.06191885E+01   1.81755061E+03   8.38515977E-01   1.60307726E-01   4.39042306E-04   1.44095842E-04   3.86024440E-04   5.73090273E-05   2.23536165E-05   0.00000000E+00  
  99               4.30014133E+01   1.84433975E+03   8.38489763E-01   1.60300266E-01   4.42850105E-04   1.32577068E-04   3.97458724E-04   5.72873210E-05   2.20850400E-05   0.00000000E+00  
  100              4.55743935E+01   1.87200194E+03   8.38443898E-01   1.60290499E-01   4.54357060E-04   1.20265471E-04   4.09682958E-04   5.72530096E-05   2.17158896E-05   0.00000000E+00  
  101              4.83643898E+01   1.90044287E+03   8.38333794E-01   1.60271320E-01   4.82720802E-04   1.06057878E-04   4.23790151E-04   5.72213968E-05   2.11672598E-05   0.00000000E+00  
