# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               N2               H                H2S             
  91               3.23245369E+01   1.93185253E+03   8.38403072E-01   1.60256092E-01   4.25253054E-04   4.84305882E-05   4.81539198E-04   5.84590143E-05   1.60959257E-04   2.08151870E-05  
  92               3.34339555E+01   1.94870886E+03   8.38378333E-01   1.60251878E-01   4.23139606E-04   4.63024364E-05   4.83622845E-04   5.84386722E-05   1.78807269E-04   2.08071567E-05  
  93               3.46805252E+01   1.96703154E+03   8.38361599E-01   1.60249519E-01   4.21022312E-04   4.41612939E-05   4.85721499E-04   5.84184634E-05   2.00003753E-04   2.07980454E-05  
  94               3.60759877E+01   1.98692840E+03   8.38341104E-01   1.60246822E-01   4.18896643E-04   4.20086407E-05   4.87826030E-04   5.83955524E-05   2.25304396E-04   2.07871073E-05  
  95               3.76303320E+01   2.00834010E+03   8.38316175E-01   1.60243752E-01   4.16798459E-04   3.98794637E-05   4.89901021E-04   5.83689664E-05   2.55378459E-04   2.07740288E-05  
  96               3.93675685E+01   2.03139640E+03   8.38285792E-01   1.60240225E-01   4.14740604E-04   3.77847756E-05   4.91934204E-04   5.83368533E-05   2.91317143E-04   2.07582897E-05  
  97               4.06769319E+01   2.04823457E+03   8.38261129E-01   1.60237485E-01   4.13362860E-04   3.63692785E-05   4.93302827E-04   5.83184574E-05   3.20066721E-04   2.07456357E-05  
  98               4.16364434E+01   2.06030351E+03   8.38242127E-01   1.60235429E-01   4.12418876E-04   3.54101378E-05   4.94227214E-04   5.82991915E-05   3.42052154E-04   2.07358246E-05  
  99               4.27298469E+01   2.07376311E+03   8.38189209E-01   1.60227242E-01   4.11427682E-04   3.43911680E-05   4.95187120E-04   5.82774407E-05   3.67969350E-04   2.07236052E-05  
  100              4.39719002E+01   2.08870963E+03   8.38162355E-01   1.60224491E-01   4.10377710E-04   3.33213284E-05   4.96211246E-04   5.82549179E-05   3.98596461E-04   2.07098395E-05  
  101              4.53809480E+01   2.10517261E+03   8.38128563E-01   1.60220889E-01   4.09336970E-04   3.22193436E-05   4.97259529E-04   5.82288642E-05   4.34620205E-04   2.06938556E-05  
