# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H2S              N2               H2O(s)          
  58               4.09466554E+00   3.52886525E+02   8.38086680E-01   1.60466292E-01   7.80381501E-04   5.31151552E-04   9.53846179E-05   2.29830485E-05   1.28425406E-05   0.00000000E+00  
  59               4.93450587E+00   3.73221236E+02   8.38086680E-01   1.60466292E-01   7.80381462E-04   5.31151525E-04   9.53846130E-05   2.29830485E-05   1.28425400E-05   0.00000000E+00  
  60               5.93660955E+00   3.94620107E+02   8.38086404E-01   1.60466239E-01   7.80381233E-04   5.31151369E-04   9.53845849E-05   2.29830409E-05   1.28425362E-05   0.00000000E+00  
  61               7.12501346E+00   4.16793869E+02   8.38086423E-01   1.60466211E-01   7.80385663E-04   5.31154384E-04   9.53851262E-05   2.29830369E-05   1.28426091E-05   0.00000000E+00  
  62               8.52588094E+00   4.39933602E+02   8.38086423E-01   1.60466211E-01   7.80385604E-04   5.31154345E-04   9.53851189E-05   2.29830369E-05   1.28426082E-05   0.00000000E+00  
  63               1.01717467E+01   4.63781907E+02   8.38086390E-01   1.60466205E-01   7.80385540E-04   5.31154301E-04   9.53851109E-05   2.29830361E-05   1.28426072E-05   0.00000000E+00  
  64               1.20945499E+01   4.88562501E+02   8.38085992E-01   1.60466158E-01   7.80385286E-04   5.31154128E-04   9.53850797E-05   2.29830293E-05   1.28426031E-05   0.00000000E+00  
  65               1.43264943E+01   5.13915038E+02   8.38085696E-01   1.60466441E-01   7.80392203E-04   5.31158836E-04   9.53859249E-05   2.29830699E-05   1.28427169E-05   0.00000000E+00  
  66               1.69105705E+01   5.40158932E+02   8.38082895E-01   1.60465903E-01   7.80389479E-04   5.31156982E-04   9.53855917E-05   2.29829928E-05   1.28426722E-05   0.00000000E+00  
  67               1.99092624E+01   5.67115833E+02   8.38083072E-01   1.60465613E-01   7.80451795E-04   5.31199397E-04   9.53932084E-05   2.29829513E-05   1.28436977E-05   0.00000000E+00  
  68               2.33798755E+01   5.95119368E+02   8.38083078E-01   1.60465608E-01   7.80451683E-04   5.31199320E-04   9.53931943E-05   2.29829505E-05   1.28436959E-05   0.00000000E+00  
  69               2.73715432E+01   6.23727476E+02   8.38083088E-01   1.60465598E-01   7.80451552E-04   5.31199231E-04   9.53931781E-05   2.29829491E-05   1.28436939E-05   0.00000000E+00  
  70               3.19310188E+01   6.53180195E+02   8.38083106E-01   1.60465580E-01   7.80451396E-04   5.31199125E-04   9.53931588E-05   2.29829466E-05   1.28436914E-05   0.00000000E+00  
  71               3.71530615E+01   6.83256050E+02   8.38083133E-01   1.60465552E-01   7.80451209E-04   5.31198998E-04   9.53931356E-05   2.29829426E-05   1.28436883E-05   0.00000000E+00  
  72               4.31365555E+01   7.14413055E+02   8.38083177E-01   1.60465508E-01   7.80450992E-04   5.31198850E-04   9.53931087E-05   2.29829363E-05   1.28436848E-05   0.00000000E+00  
  73               4.99712259E+01   7.46223078E+02   8.38083241E-01   1.60465443E-01   7.80450702E-04   5.31198653E-04   9.53930730E-05   2.29829269E-05   1.28436802E-05   0.00000000E+00  
  74               5.77454146E+01   7.79021901E+02   8.38083331E-01   1.60465349E-01   7.80450359E-04   5.31198420E-04   9.53930306E-05   2.29829134E-05   1.28436746E-05   0.00000000E+00  
  75               6.65872277E+01   8.12453920E+02   8.38083444E-01   1.60465218E-01   7.80450013E-04   5.31198185E-04   9.53929880E-05   2.29828946E-05   1.28436690E-05   0.00000000E+00  
  76               7.67211973E+01   8.47246342E+02   8.38083572E-01   1.60465038E-01   7.80449840E-04   5.31198067E-04   9.53929665E-05   2.29828686E-05   1.28436662E-05   0.00000000E+00  
  77               8.83405580E+01   8.83027071E+02   8.38083614E-01   1.60464786E-01   7.80450351E-04   5.31198415E-04   9.53930284E-05   2.29828319E-05   1.28436747E-05   0.00000000E+00  
  78               1.01578727E+02   9.20035973E+02   8.38083672E-01   1.60464472E-01   7.80454188E-04   5.31201026E-04   9.53934969E-05   2.29827858E-05   1.28437380E-05   0.00000000E+00  
  79               1.16506743E+02   9.57515838E+02   8.38083966E-01   1.60464149E-01   7.80457727E-04   5.31203436E-04   9.53939290E-05   2.29827373E-05   1.28437963E-05   0.00000000E+00  
  80               1.33219153E+02   9.95687041E+02   8.38084277E-01   1.60463778E-01   7.80457011E-04   5.31202948E-04   9.53938410E-05   2.29971195E-05   1.28437846E-05   0.00000000E+00  
  81               1.52012681E+02   1.03436166E+03   8.38084530E-01   1.60463361E-01   7.80456914E-04   5.31202882E-04   9.53938286E-05   2.30335645E-05   1.28437831E-05   0.00000000E+00  
  82               1.73164494E+02   1.07403035E+03   8.38084604E-01   1.60462883E-01   7.80458568E-04   5.31204008E-04   9.53940301E-05   2.31258044E-05   1.28438105E-05   0.00000000E+00  
  83               1.96896648E+02   1.11417451E+03   8.38083840E-01   1.60462256E-01   7.80464226E-04   5.31207851E-04   9.53947205E-05   2.33430231E-05   1.28439038E-05   0.00000000E+00  
  84               2.23387364E+02   1.15511677E+03   8.38082521E-01   1.60461651E-01   7.80483560E-04   5.31220953E-04   9.53970782E-05   2.42858767E-05   1.28442228E-05   0.00000000E+00  
  85               2.52820659E+02   1.19623552E+03   8.38082933E-01   1.60461219E-01   7.80482358E-04   5.31219710E-04   9.53968869E-05   2.42857260E-05   1.28442054E-05   0.00000000E+00  
  86               2.85658409E+02   1.23825736E+03   8.38083325E-01   1.60460793E-01   7.80482607E-04   5.31217628E-04   9.53966910E-05   2.42855246E-05   1.28442229E-05   0.00000000E+00  
  87               3.22519303E+02   1.28096051E+03   8.38083672E-01   1.60460388E-01   7.80488328E-04   5.31211628E-04   9.53964539E-05   2.42852516E-05   1.28444056E-05   0.00000000E+00  
  88               3.63899634E+02   1.32488599E+03   8.38083970E-01   1.60459993E-01   7.80508760E-04   5.31191689E-04   9.53959410E-05   2.42848669E-05   1.28452983E-05   0.00000000E+00  
  89               4.10190760E+02   1.36936854E+03   8.38084194E-01   1.60459627E-01   7.80550376E-04   5.31140861E-04   9.53941296E-05   2.42843317E-05   1.28489630E-05   0.00000000E+00  
  90               4.61769467E+02   1.41484804E+03   8.38084352E-01   1.60459276E-01   7.80594597E-04   5.31051509E-04   9.53871914E-05   2.42835736E-05   1.28621190E-05   0.00000000E+00  
  91               5.19138635E+02   1.46065876E+03   8.38084414E-01   1.60458955E-01   7.80617056E-04   5.30925285E-04   9.53629729E-05   2.42825155E-05   1.29026999E-05   0.00000000E+00  
  92               5.81377050E+02   1.50639203E+03   8.38084365E-01   1.60458647E-01   7.80607536E-04   5.30758189E-04   9.52921717E-05   2.42810276E-05   1.30029113E-05   0.00000000E+00  
  93               6.50388519E+02   1.55243361E+03   8.38084163E-01   1.60458359E-01   7.80564745E-04   5.30544096E-04   9.51241482E-05   2.42788518E-05   1.31882775E-05   0.00000000E+00  
  94               7.28178885E+02   1.60030002E+03   8.38083791E-01   1.60458066E-01   7.80487095E-04   5.30263703E-04   9.48161864E-05   2.42753032E-05   1.34310919E-05   0.00000000E+00  
  95               8.17024662E+02   1.64982050E+03   8.38065841E-01   1.60454465E-01   7.80368187E-04   5.29897910E-04   9.44648424E-05   2.42684027E-05   1.36220899E-05   0.00000000E+00  
  96               9.19592316E+02   1.70236568E+03   8.38044273E-01   1.60454127E-01   8.01562818E-04   5.29389274E-04   9.42107085E-05   2.34218482E-05   1.37497865E-05   0.00000000E+00  
  97               1.03958413E+03   1.75770334E+03   8.38042345E-01   1.60453695E-01   8.01153939E-04   5.28800870E-04   9.41593314E-05   2.34459304E-05   1.37703111E-05   0.00000000E+00  
  98               1.18140676E+03   1.81737297E+03   8.38039163E-01   1.60453126E-01   8.00635010E-04   5.28047347E-04   9.42607236E-05   2.34670259E-05   1.37151543E-05   0.00000000E+00  
  99               1.34814741E+03   1.87996502E+03   8.38032805E-01   1.60452217E-01   8.00402947E-04   5.27136227E-04   9.45982358E-05   2.34775950E-05   1.35403309E-05   0.00000000E+00  
  100              1.54360787E+03   1.94641206E+03   8.38021945E-01   1.60450872E-01   8.00832836E-04   5.26016646E-04   9.50962106E-05   2.34783794E-05   1.32829177E-05   0.00000000E+00  
  101              1.77213690E+03   2.01524480E+03   8.37928203E-01   1.60434850E-01   8.04848747E-04   5.24654744E-04   9.58183011E-05   2.34353014E-05   1.29052622E-05   0.00000000E+00  
