# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  75               2.68197494E+01   2.07785813E+03   8.38117076E-01   1.60211699E-01   4.76666031E-04   3.91270400E-04   5.15431651E-04   1.44477298E-05   5.91818115E-05   6.20318557E-05  
  76               2.77023034E+01   2.09503978E+03   8.38075723E-01   1.60207867E-01   5.22405251E-04   3.90703352E-04   5.15957786E-04   1.38854920E-05   5.91651809E-05   6.19148124E-05  
  77               2.87071539E+01   2.11365187E+03   8.38027456E-01   1.60203443E-01   5.75633993E-04   3.90152147E-04   5.16462821E-04   1.33389789E-05   5.91452378E-05   6.17845344E-05  
  78               2.98474046E+01   2.13451922E+03   8.37968438E-01   1.60198068E-01   6.40602553E-04   3.89563174E-04   5.16997646E-04   1.27555263E-05   5.91230058E-05   6.16379887E-05  
  79               3.11369959E+01   2.15691539E+03   8.37899410E-01   1.60191836E-01   7.16410050E-04   3.89001975E-04   5.17497893E-04   1.21994555E-05   5.90967296E-05   6.14762713E-05  
  80               3.25907540E+01   2.18164843E+03   8.37815431E-01   1.60184295E-01   8.08498675E-04   3.88420469E-04   5.18008423E-04   1.16237284E-05   5.90674177E-05   6.12963561E-05  
  81               3.42244686E+01   2.20792564E+03   8.37717265E-01   1.60175538E-01   9.15949784E-04   3.87878918E-04   5.18470355E-04   1.10870627E-05   5.90332337E-05   6.10995814E-05  
  82               3.60550142E+01   2.23654063E+03   8.37598543E-01   1.60164992E-01   1.04575199E-03   3.87333483E-04   5.18923692E-04   1.05467415E-05   5.89951268E-05   6.08829421E-05  
  83               3.81005063E+01   2.26663040E+03   8.37460222E-01   1.60152764E-01   1.19678821E-03   3.86838370E-04   5.19315960E-04   1.00549799E-05   5.89511943E-05   6.06480660E-05  
  84               4.03805020E+01   2.29899400E+03   8.37292103E-01   1.60137740E-01   1.37805124E-03   3.86351477E-04   5.19682535E-04   9.57172950E-06   5.89021731E-05   6.03917764E-05  
  85               4.29155867E+01   2.33269949E+03   8.37091555E-01   1.60120623E-01   1.58790333E-03   3.91863696E-04   5.20130791E-04   9.00618867E-06   5.88504982E-05   6.01162941E-05  
  86               4.57290704E+01   2.36856797E+03   8.36862009E-01   1.60100499E-01   1.83784130E-03   3.91576107E-04   5.20389999E-04   8.59642717E-06   5.87889680E-05   5.98184389E-05  
  87               4.88470174E+01   2.40562428E+03   8.36597859E-01   1.60077388E-01   2.12532976E-03   3.91336032E-04   5.20573193E-04   8.24196912E-06   5.87193015E-05   5.95003094E-05  
  88               5.22977134E+01   2.44473293E+03   8.36285696E-01   1.60050107E-01   2.46500225E-03   3.91109232E-04   5.20710456E-04   7.90727114E-06   5.86421438E-05   5.91586036E-05  
  89               5.61125956E+01   2.48485895E+03   8.35929389E-01   1.60019011E-01   2.85259293E-03   3.90931974E-04   5.20767283E-04   7.62663723E-06   5.85553751E-05   5.87958009E-05  
  90               6.03268781E+01   2.52692107E+03   8.35512068E-01   1.59982613E-01   3.30649407E-03   3.90773015E-04   5.20770242E-04   7.36659729E-06   5.84594468E-05   5.84083548E-05  
  91               6.49817054E+01   2.56984200E+03   8.35040012E-01   1.59941478E-01   3.81982206E-03   3.90668724E-04   5.20688250E-04   7.15821918E-06   5.83520857E-05   5.79988944E-05  
  92               7.01238291E+01   2.61463708E+03   8.34491733E-01   1.59893720E-01   4.41598413E-03   3.90590190E-04   5.20544302E-04   6.96958170E-06   5.82334446E-05   5.75633486E-05  
  93               7.58066903E+01   2.66017697E+03   8.33877039E-01   1.59840208E-01   5.08426001E-03   3.90575018E-04   5.20309645E-04   6.82976284E-06   5.81010749E-05   5.71045777E-05  
  94               8.20915772E+01   2.70756927E+03   8.33168880E-01   1.59778573E-01   5.85409879E-03   3.90596923E-04   5.20003105E-04   6.70847322E-06   5.79547207E-05   5.66180189E-05  
  95               8.90489686E+01   2.75561732E+03   8.32382208E-01   1.59710134E-01   6.70918212E-03   3.90696325E-04   5.19597194E-04   6.63404887E-06   5.77916738E-05   5.61068126E-05  
  96               9.67600886E+01   2.80554859E+03   8.31482737E-01   1.59631892E-01   7.68682668E-03   3.90849377E-04   5.19106458E-04   6.57707295E-06   5.76110869E-05   5.55657831E-05  
  97               1.05318709E+02   2.85612044E+03   8.30491509E-01   1.59545698E-01   8.76408506E-03   3.91099824E-04   5.18504336E-04   6.56533410E-06   5.74098780E-05   5.49982958E-05  
  98               1.14833440E+02   2.90867736E+03   8.29365316E-01   1.59447776E-01   9.98796739E-03   3.91426953E-04   5.17800099E-04   6.57024853E-06   5.71862299E-05   5.43985550E-05  
  99               1.25430434E+02   2.96189309E+03   8.28133812E-01   1.59340727E-01   1.13261563E-02   3.91879556E-04   5.16966843E-04   6.62046594E-06   5.69363715E-05   5.37703005E-05  
  100              1.37255000E+02   3.01722701E+03   8.26743223E-01   1.59219858E-01   1.28371436E-02   3.92439938E-04   5.16007756E-04   6.68781714E-06   5.66568479E-05   5.31071876E-05  
  101              1.50467279E+02   3.07321480E+03   8.25235598E-01   1.59088853E-01   1.44751262E-02   3.93161411E-04   5.14895736E-04   6.80236780E-06   5.63428562E-05   5.24139663E-05  
