# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              CO              
  69               7.24881763E+00   7.69238525E+02   8.38130494E-01   1.60465525E-01   7.73976641E-04   5.24801862E-04   4.90275466E-05   2.38242920E-05   2.29829280E-05   8.89146524E-07  
  70               8.20752794E+00   7.97120902E+02   8.38131970E-01   1.60463936E-01   7.73973199E-04   5.24799524E-04   4.90273819E-05   2.38242270E-05   2.29827004E-05   8.89142547E-07  
  71               9.28640712E+00   8.27748753E+02   8.38133590E-01   1.60462176E-01   7.73970096E-04   5.24797415E-04   4.90272440E-05   2.38241765E-05   2.29824480E-05   8.89139058E-07  
  72               1.04999283E+01   8.57343832E+02   8.38134878E-01   1.60460652E-01   7.73971162E-04   5.24798133E-04   4.90273760E-05   2.38242587E-05   2.29822289E-05   8.89140985E-07  
  73               1.18616772E+01   8.89617678E+02   8.38136404E-01   1.60459108E-01   7.73972357E-04   5.24798938E-04   4.90275222E-05   2.38243494E-05   2.29820064E-05   8.89146409E-07  
  74               1.33837243E+01   9.20794546E+02   8.38137630E-01   1.60457845E-01   7.73969547E-04   5.24797026E-04   4.90274210E-05   2.38243216E-05   2.29911754E-05   8.89165509E-07  
  75               1.50778796E+01   9.54349393E+02   8.38138785E-01   1.60456583E-01   7.73967128E-04   5.24795380E-04   4.90273505E-05   2.38243102E-05   2.30167836E-05   8.89271539E-07  
  76               1.69649191E+01   9.86855017E+02   8.38139537E-01   1.60455545E-01   7.73966210E-04   5.24794751E-04   4.90273804E-05   2.38243489E-05   2.30792576E-05   8.89779491E-07  
  77               1.90672999E+01   1.02173577E+03   8.38139916E-01   1.60454474E-01   7.73968075E-04   5.24796009E-04   4.90275909E-05   2.38244763E-05   2.32429170E-05   8.91885185E-07  
  78               2.14055609E+01   1.05570838E+03   8.38139462E-01   1.60453501E-01   7.73976961E-04   5.24802021E-04   4.90282497E-05   2.38248223E-05   2.36044328E-05   9.00116064E-07  
  79               2.39989932E+01   1.09179824E+03   8.38138968E-01   1.60452583E-01   7.73989150E-04   5.24810241E-04   4.90291229E-05   2.38252730E-05   2.42844908E-05   9.28590256E-07  
  80               2.68674395E+01   1.12697685E+03   8.38139574E-01   1.60451883E-01   7.73987586E-04   5.24808919E-04   4.90291431E-05   2.38253094E-05   2.42842940E-05   1.01710845E-06  
  81               3.00337626E+01   1.16403861E+03   8.38140106E-01   1.60451107E-01   7.73986105E-04   5.24806498E-04   4.90292601E-05   2.38253927E-05   2.42840262E-05   1.24997836E-06  
  82               3.35350683E+01   1.20040925E+03   8.38140401E-01   1.60450306E-01   7.73980293E-04   5.24795292E-04   4.90295790E-05   2.38255728E-05   2.42836807E-05   1.75010049E-06  
