# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               Fe              
  81               4.62807625E+00   2.67387809E+03   8.18800612E-01   1.58519964E-01   2.15009334E-02   5.24761073E-04   3.75805234E-04   5.99546397E-05   6.34738643E-05   5.46746905E-05  
  82               5.13495847E+00   2.72360006E+03   8.15957426E-01   1.58272080E-01   2.45936336E-02   5.23929715E-04   3.74768660E-04   5.98438441E-05   6.32013651E-05   5.45652064E-05  
  83               5.70040088E+00   2.77312228E+03   8.12905155E-01   1.58005975E-01   2.79137437E-02   5.23036316E-04   3.73650134E-04   5.97228030E-05   6.29126564E-05   5.44478967E-05  
  84               6.33034160E+00   2.82259540E+03   8.09636260E-01   1.57720989E-01   3.14694581E-02   5.22078532E-04   3.72446442E-04   5.95903164E-05   6.26072803E-05   5.43224579E-05  
  85               7.03108168E+00   2.87182767E+03   8.06176259E-01   1.57419349E-01   3.52330091E-02   5.21063512E-04   3.71167088E-04   5.94459708E-05   6.22862406E-05   5.41896447E-05  
  86               7.80937931E+00   2.92097299E+03   8.02518586E-01   1.57100481E-01   3.92115320E-02   5.19989141E-04   3.69809533E-04   5.92877814E-05   6.19492050E-05   5.40491905E-05  
  87               8.67253317E+00   2.96978255E+03   7.98702220E-01   1.56767785E-01   4.33626199E-02   5.18866387E-04   3.68389121E-04   5.91147990E-05   6.15977275E-05   5.39022705E-05  
  88               9.62834225E+00   3.01848571E+03   7.94712781E-01   1.56420006E-01   4.77019029E-02   5.17690818E-04   3.66900621E-04   5.89233312E-05   6.12312046E-05   5.37483734E-05  
  89               1.06848678E+01   3.06682418E+03   7.90595802E-01   1.56061113E-01   5.21798450E-02   5.16475229E-04   3.65362500E-04   5.87110068E-05   6.08515158E-05   5.35888857E-05  
  90               1.18503845E+01   3.11497741E+03   7.86341111E-01   1.55690220E-01   5.68074999E-02   5.15216339E-04   3.63771140E-04   5.84720108E-05   6.04583958E-05   5.34234503E-05  
  91               1.31340308E+01   3.16272885E+03   7.81994168E-01   1.55311288E-01   6.15354054E-02   5.13926845E-04   3.62145245E-04   5.82014203E-05   6.00536950E-05   5.32534464E-05  
  92               1.45459136E+01   3.21036135E+03   7.77528441E-01   1.54922004E-01   6.63924124E-02   5.12598637E-04   3.60474015E-04   5.78890139E-05   5.96364383E-05   5.30779921E-05  
  93               1.60972823E+01   3.25765536E+03   7.72993293E-01   1.54526671E-01   7.13248101E-02   5.11245417E-04   3.58777455E-04   5.75260606E-05   5.92084872E-05   5.28985668E-05  
  94               1.78007003E+01   3.30490428E+03   7.68357188E-01   1.54122537E-01   7.63668858E-02   5.09857486E-04   3.57041454E-04   5.70963610E-05   5.87686017E-05   5.27141172E-05  
  95               1.96701950E+01   3.35189999E+03   7.63670686E-01   1.53714009E-01   8.14636272E-02   5.08448732E-04   3.55285847E-04   5.65854886E-05   5.83185415E-05   5.25261334E-05  
  96               2.17214187E+01   3.39898222E+03   7.58890326E-01   1.53297295E-01   8.66622856E-02   5.07005836E-04   3.53489579E-04   5.59679316E-05   5.78565771E-05   5.23331770E-05  
  97               2.39718653E+01   3.44592361E+03   7.54072043E-01   1.52877270E-01   9.19019965E-02   5.05544042E-04   3.51673768E-04   5.52216868E-05   5.73845421E-05   5.21368784E-05  
  98               2.64411044E+01   3.49308177E+03   7.49164964E-01   1.52449495E-01   9.72380618E-02   5.04047667E-04   3.49811695E-04   5.43087223E-05   5.69004106E-05   5.19355543E-05  
  99               2.91509963E+01   3.54022804E+03   7.44227198E-01   1.52019032E-01   1.02607250E-01   5.02532349E-04   3.47924346E-04   5.31975548E-05   5.64059837E-05   5.17308744E-05  
  100              3.21258867E+01   3.58774396E+03   7.39199004E-01   1.51580667E-01   1.08074495E-01   5.00979587E-04   3.45978107E-04   5.18343748E-05   5.58989390E-05   5.15208700E-05  
  101              3.53928586E+01   3.63537885E+03   7.34144232E-01   1.51139964E-01   1.13570314E-01   4.99406414E-04   3.43995624E-04   5.01797943E-05   5.53812079E-05   5.13073628E-05  
