# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               H                CH4              N2               H2S             
  87               4.14052548E+01   2.13299474E+03   8.38046495E-01   1.60210006E-01   4.00622003E-04   5.05939255E-04   5.38962243E-04   2.35775116E-05   5.85140624E-05   2.05788183E-05  
  88               4.29929681E+01   2.15361623E+03   8.37993430E-01   1.60204992E-01   3.99670603E-04   5.06844708E-04   5.97983207E-04   2.26083493E-05   5.84850453E-05   2.05520340E-05  
  89               4.47919315E+01   2.17509856E+03   8.37933638E-01   1.60199448E-01   3.98841375E-04   5.07623624E-04   6.64133734E-04   2.17576844E-05   5.84489509E-05   2.05229324E-05  
  90               4.68236760E+01   2.19954014E+03   8.37858617E-01   1.60192532E-01   3.97904115E-04   5.08500701E-04   7.46995984E-04   2.07962012E-05   5.84103562E-05   2.04856222E-05  
  91               4.91110296E+01   2.22496904E+03   8.37773323E-01   1.60184779E-01   3.97090850E-04   5.09247974E-04   8.40841130E-04   1.99536292E-05   5.83638887E-05   2.04444834E-05  
  92               5.16785969E+01   2.25325517E+03   8.37667963E-01   1.60175255E-01   3.96217409E-04   5.10043725E-04   9.56587390E-04   1.90466470E-05   5.83134523E-05   2.03934230E-05  
  93               5.45526383E+01   2.28259074E+03   8.37547615E-01   1.60164483E-01   3.95468840E-04   5.10707186E-04   1.08844301E-03   1.82574327E-05   5.82542425E-05   2.03368617E-05  
  94               5.77617752E+01   2.31460253E+03   8.37399132E-01   1.60151048E-01   3.94700468E-04   5.11374743E-04   1.24875956E-03   1.74427845E-05   5.81892866E-05   2.02686011E-05  
  95               6.13361688E+01   2.34765671E+03   8.37223812E-01   1.60136002E-01   3.99867897E-04   5.12166699E-04   1.43165316E-03   1.65069700E-05   5.81199136E-05   2.02242309E-05  
  96               6.53099200E+01   2.38314685E+03   8.37022733E-01   1.60118263E-01   3.99361418E-04   5.12670886E-04   1.65094867E-03   1.58150535E-05   5.80383293E-05   2.01357674E-05  
  97               6.97205007E+01   2.41964100E+03   8.36793447E-01   1.60098123E-01   3.98963343E-04   5.13043327E-04   1.90075129E-03   1.52303463E-05   5.79456327E-05   2.00386848E-05  
  98               7.46088606E+01   2.45832304E+03   8.36522017E-01   1.60074328E-01   3.98593629E-04   5.13361348E-04   2.19633229E-03   1.46686142E-05   5.78435694E-05   1.99272489E-05  
  99               8.00194583E+01   2.49790408E+03   8.36214293E-01   1.60047427E-01   3.98331607E-04   5.13547486E-04   2.53121430E-03   1.42073593E-05   5.77287787E-05   1.98064973E-05  
  100              8.60031803E+01   2.53943879E+03   8.35854668E-01   1.60016029E-01   3.98114860E-04   5.13661492E-04   2.92245758E-03   1.37788469E-05   5.76024273E-05   1.96709265E-05  
  101              9.26195055E+01   2.58176029E+03   8.35450056E-01   1.59980766E-01   3.98010390E-04   5.13641530E-04   3.36244632E-03   1.34443763E-05   5.74612370E-05   1.95261277E-05  
