# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              N2               H2S              H               
  75               6.97776113E+01   1.10206154E+03   8.38108360E-01   1.60457931E-01   7.79961069E-04   5.30490317E-04   5.53190236E-05   3.32186830E-05   2.36796278E-05   2.95087002E-09  
  76               7.98741899E+01   1.14510853E+03   8.38108158E-01   1.60456885E-01   7.79958606E-04   5.30488528E-04   5.53188529E-05   3.32185805E-05   2.42851029E-05   6.88288409E-09  
  77               9.12891500E+01   1.19000549E+03   8.38108987E-01   1.60455965E-01   7.79956488E-04   5.30486208E-04   5.53187223E-05   3.32185045E-05   2.42848230E-05   1.55880312E-08  
  78               1.04146946E+02   1.23492282E+03   8.38109648E-01   1.60455151E-01   7.79953118E-04   5.30478222E-04   5.53186362E-05   3.32184707E-05   2.42844703E-05   3.31752332E-08  
  79               1.18547179E+02   1.28112308E+03   8.38110221E-01   1.60454357E-01   7.79937430E-04   5.30438790E-04   5.53185204E-05   3.32185056E-05   2.42839767E-05   6.81998688E-08  
  80               1.34610742E+02   1.32726118E+03   8.38110749E-01   1.60453632E-01   7.79861821E-04   5.30281523E-04   5.53180220E-05   3.32187419E-05   2.42832968E-05   1.32878796E-07  
  81               1.52591884E+02   1.37458037E+03   8.38111451E-01   1.60452928E-01   7.79612594E-04   5.29866863E-04   5.53157471E-05   3.32198112E-05   2.42823152E-05   2.51078316E-07  
  82               1.72732691E+02   1.42225711E+03   8.38112364E-01   1.60452262E-01   7.79098018E-04   5.29158193E-04   5.53064908E-05   3.32242428E-05   2.42809175E-05   4.55643704E-07  
  83               1.95289787E+02   1.47121654E+03   8.38113497E-01   1.60451551E-01   7.78274151E-04   5.28131273E-04   5.52727456E-05   3.32400797E-05   2.42788368E-05   8.06131588E-07  
  84               2.20437194E+02   1.52040864E+03   8.38114784E-01   1.60450800E-01   7.77133827E-04   5.26770005E-04   5.51692916E-05   3.32873693E-05   2.42756897E-05   1.37500135E-06  
  85               2.48289741E+02   1.57043204E+03   8.38116220E-01   1.60449932E-01   7.75590537E-04   5.24987173E-04   5.49203255E-05   3.33995635E-05   2.42704435E-05   2.28396441E-06  
  86               2.79046094E+02   1.62037956E+03   8.38117570E-01   1.60448950E-01   7.73705969E-04   5.22790092E-04   5.45207862E-05   3.35795624E-05   2.42608678E-05   3.66641446E-06  
