# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CO               H2O              H                N2               CH4              H2S             
  83               6.50731518E+00   1.89404106E+03   8.38353441E-01   1.60229708E-01   5.27206336E-04   3.79869610E-04   2.70702037E-04   6.02387978E-05   3.18551038E-06   2.02443722E-05  
  84               6.77313113E+00   1.91374132E+03   8.38289771E-01   1.60220961E-01   5.27368412E-04   3.79618334E-04   3.07662376E-04   6.02249040E-05   2.97927742E-06   2.02313579E-05  
  85               6.96687910E+00   1.92762659E+03   8.38263698E-01   1.60218637E-01   5.27508554E-04   3.79471640E-04   3.36120545E-04   6.02654796E-05   2.84693258E-06   2.02205332E-05  
  86               7.10124178E+00   1.93716202E+03   8.38244689E-01   1.60216947E-01   5.27578465E-04   3.79369671E-04   3.56917637E-04   6.02554097E-05   2.76040183E-06   2.02120629E-05  
  87               7.24844922E+00   1.94732536E+03   8.38223397E-01   1.60215055E-01   5.27655982E-04   3.79264011E-04   3.80191748E-04   6.02472265E-05   2.67395402E-06   2.02020914E-05  
  88               7.40875738E+00   1.95830560E+03   8.38199058E-01   1.60212897E-01   5.27735667E-04   3.79167737E-04   4.06761192E-04   6.02404737E-05   2.58420034E-06   2.01902367E-05  
  89               7.58438363E+00   1.96999045E+03   8.38171696E-01   1.60210475E-01   5.27813526E-04   3.79056250E-04   4.36631737E-04   6.02350505E-05   2.49521035E-06   2.01763101E-05  
  90               7.78023713E+00   1.98286466E+03   8.38139577E-01   1.60207638E-01   5.27894086E-04   3.78964616E-04   4.71639967E-04   6.02303238E-05   2.40171121E-06   2.01595275E-05  
  91               7.99949270E+00   1.99682824E+03   8.38102486E-01   1.60204366E-01   5.27972856E-04   3.78843349E-04   5.12093815E-04   6.02252682E-05   2.30807040E-06   2.01393640E-05  
  92               8.24436060E+00   2.01215577E+03   8.38058722E-01   1.60200513E-01   5.28052470E-04   3.78750227E-04   5.59756040E-04   6.02196374E-05   2.21110502E-06   2.01151375E-05  
  93               8.51719564E+00   2.02864620E+03   8.38008141E-01   1.60196066E-01   5.28127941E-04   3.78621024E-04   6.14898037E-04   6.02131967E-05   2.11572748E-06   2.00862866E-05  
  94               8.82052617E+00   2.04657482E+03   8.37948574E-01   1.60190836E-01   5.28201353E-04   3.78486697E-04   6.79815253E-04   6.02058722E-05   2.01913592E-06   2.00516798E-05  
  95               9.15706057E+00   2.06570335E+03   8.37879626E-01   1.60184790E-01   5.28268198E-04   3.78352020E-04   7.54930613E-04   6.01974582E-05   1.92567130E-06   2.00112609E-05  
  96               9.52964847E+00   2.08631121E+03   8.37798536E-01   1.60177686E-01   5.28330132E-04   3.78213387E-04   8.43251775E-04   6.01879248E-05   1.83278465E-06   1.99633688E-05  
  97               9.94129615E+00   2.10810414E+03   8.37704844E-01   1.60169486E-01   5.28382775E-04   3.78075440E-04   9.45271773E-04   6.01770122E-05   1.74464611E-06   1.99081139E-05  
  98               1.03952087E+01   2.13138338E+03   8.37594881E-01   1.60159869E-01   5.28427724E-04   3.77934100E-04   1.06498527E-03   6.01647121E-05   1.65849766E-06   1.98434810E-05  
  99               1.08948233E+01   2.15579097E+03   8.37468237E-01   1.60148801E-01   5.28460788E-04   3.77793956E-04   1.20283376E-03   6.01507042E-05   1.57830920E-06   1.97699136E-05  
  100              1.14438256E+01   2.18166483E+03   8.37320037E-01   1.60135856E-01   5.28483475E-04   3.77650296E-04   1.36412263E-03   6.01349885E-05   1.50104945E-06   1.96849890E-05  
  101              1.20462006E+01   2.20855527E+03   8.37148321E-01   1.60120659E-01   5.28490462E-04   3.77507104E-04   1.54882349E-03   6.01170709E-05   1.43065131E-06   1.95897615E-05  
