# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              NH3             
  64               1.92353146E+00   6.31124944E+02   8.38157007E-01   1.60474901E-01   7.55544155E-04   5.07833552E-04   5.43387518E-05   5.93628302E-06   2.29842659E-05   1.30003889E-05  
  65               2.18026415E+00   6.55274937E+02   8.38158679E-01   1.60473235E-01   7.55540388E-04   5.07831020E-04   5.43384791E-05   5.93625345E-06   2.29840274E-05   1.30003231E-05  
  66               2.46939127E+00   6.79959461E+02   8.38160556E-01   1.60471365E-01   7.55536185E-04   5.07828196E-04   5.43381748E-05   5.93622045E-06   2.29837595E-05   1.30002496E-05  
  67               2.79453872E+00   7.05588436E+02   8.38162567E-01   1.60469360E-01   7.55531529E-04   5.07825067E-04   5.43378378E-05   5.93618389E-06   2.29834723E-05   1.30001683E-05  
  68               3.15942484E+00   7.31685790E+02   8.38164535E-01   1.60467389E-01   7.55527038E-04   5.07822048E-04   5.43375123E-05   5.93614862E-06   2.29831900E-05   1.30000897E-05  
  69               3.56791747E+00   7.58706082E+02   8.38166417E-01   1.60465485E-01   7.55522698E-04   5.07819132E-04   5.43371974E-05   5.93611455E-06   2.29829172E-05   1.30000135E-05  
  70               4.02525684E+00   7.86161544E+02   8.38167968E-01   1.60463733E-01   7.55519112E-04   5.07816722E-04   5.43369365E-05   5.93608643E-06   2.29826662E-05   1.29999502E-05  
  71               4.53810371E+00   8.14686287E+02   8.38169490E-01   1.60462150E-01   7.55516635E-04   5.07815058E-04   5.43367548E-05   5.93606709E-06   2.29824391E-05   1.29999057E-05  
  72               5.11309532E+00   8.43690596E+02   8.38170671E-01   1.60460750E-01   7.55517852E-04   5.07815876E-04   5.43368385E-05   5.93607725E-06   2.29822379E-05   1.29999245E-05  
  73               5.75671420E+00   8.73812500E+02   8.38171873E-01   1.60459530E-01   7.55519468E-04   5.07816964E-04   5.43369504E-05   5.93609310E-06   2.29828600E-05   1.29999500E-05  
  74               6.47522080E+00   9.04268752E+02   8.38172870E-01   1.60458495E-01   7.55517248E-04   5.07815472E-04   5.43367859E-05   5.93609201E-06   2.29925764E-05   1.29999092E-05  
  75               7.27463044E+00   9.35700290E+02   8.38173681E-01   1.60457570E-01   7.55515570E-04   5.07814345E-04   5.43366601E-05   5.93615808E-06   2.30186757E-05   1.29998775E-05  
  76               8.16382729E+00   9.67445039E+02   8.38174197E-01   1.60456753E-01   7.55515195E-04   5.07814094E-04   5.43366276E-05   5.93651449E-06   2.30858455E-05   1.29998681E-05  
  77               9.15335989E+00   1.00021255E+03   8.38174266E-01   1.60455952E-01   7.55517484E-04   5.07815633E-04   5.43367865E-05   5.93802888E-06   2.32547096E-05   1.29999045E-05  
  78               1.02534625E+01   1.03336028E+03   8.38173622E-01   1.60455130E-01   7.55539946E-04   5.07830727E-04   5.43383966E-05   5.94403855E-06   2.36467094E-05   1.30002879E-05  
