# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               H                N2               H2S             
  79               4.13152498E+01   1.93084161E+03   8.38389785E-01   1.60265551E-01   4.48660339E-04   7.18507459E-05   4.58014755E-04   1.41323902E-04   5.78455497E-05   2.09812966E-05  
  80               4.40078855E+01   1.96218576E+03   8.38358344E-01   1.60259493E-01   4.43480973E-04   6.66066977E-05   4.63161582E-04   1.71570840E-04   5.78033666E-05   2.09630607E-05  
  81               4.61835936E+01   1.98706298E+03   8.38337832E-01   1.60256067E-01   4.39664372E-04   6.27298154E-05   4.66963027E-04   1.99314058E-04   5.77720996E-05   2.09466952E-05  
  82               4.78219551E+01   2.00449224E+03   8.38321228E-01   1.60253614E-01   4.37319468E-04   6.03467253E-05   4.69290088E-04   2.20705630E-04   5.77438127E-05   2.09353856E-05  
  83               4.96778867E+01   2.02448792E+03   8.38299868E-01   1.60250609E-01   4.34665749E-04   5.76433775E-05   4.71927588E-04   2.47709351E-04   5.77150266E-05   2.09204255E-05  
  84               5.17708489E+01   2.04545535E+03   8.38274606E-01   1.60247366E-01   4.32237369E-04   5.51590778E-05   4.74338584E-04   2.78617725E-04   5.76785605E-05   2.09047797E-05  
  85               5.41219973E+01   2.06901806E+03   8.38242521E-01   1.60243433E-01   4.29593629E-04   5.24486053E-05   4.76963875E-04   3.17243209E-04   5.76399496E-05   2.08846323E-05  
  86               5.67525154E+01   2.09354149E+03   8.38173215E-01   1.60233094E-01   4.27216917E-04   4.99912531E-05   4.79306482E-04   3.61606307E-04   5.75904030E-05   2.08622892E-05  
  87               5.86955592E+01   2.11168625E+03   8.38142157E-01   1.60229689E-01   4.25484491E-04   4.82133937E-05   4.81012101E-04   3.97777977E-04   5.75580846E-05   2.08440952E-05  
  88               6.00954865E+01   2.12380697E+03   8.38119961E-01   1.60227334E-01   4.24518232E-04   4.71803441E-05   4.81993992E-04   4.23254819E-04   5.75314465E-05   2.08323146E-05  
  89               6.17064136E+01   2.13826595E+03   8.38091769E-01   1.60224348E-01   4.23267302E-04   4.58913131E-05   4.83221737E-04   4.55677117E-04   5.75038313E-05   2.08163067E-05  
  90               6.35544462E+01   2.15364646E+03   8.38059900E-01   1.60221091E-01   4.22121740E-04   4.47027071E-05   4.84341244E-04   4.91936880E-04   5.74689389E-05   2.07994713E-05  
  91               6.56678210E+01   2.17156096E+03   8.38019847E-01   1.60217028E-01   4.20759934E-04   4.32904796E-05   4.85671713E-04   5.37405865E-04   5.74315469E-05   2.07777017E-05  
