# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               H2S             
  71               3.00763748E+01   1.93652929E+03   8.38391991E-01   1.60251137E-01   1.72647968E-04   4.18566327E-04   4.88241678E-04   4.17474732E-05   5.86236324E-05   2.07644721E-05  
  72               3.20608627E+01   1.96861875E+03   8.38361752E-01   1.60247049E-01   2.10352622E-04   4.15161317E-04   4.91611468E-04   3.83098904E-05   5.85936446E-05   2.07496572E-05  
  73               3.36722935E+01   1.99341869E+03   8.38333948E-01   1.60243634E-01   2.43868154E-04   4.12839543E-04   4.93904516E-04   3.59609289E-05   5.85665382E-05   2.07361479E-05  
  74               3.55491990E+01   2.02120761E+03   8.38297785E-01   1.60239483E-01   2.86487364E-04   4.10498526E-04   4.96213418E-04   3.35856442E-05   5.85347516E-05   2.07183643E-05  
  75               3.77200360E+01   2.05174819E+03   8.38219453E-01   1.60228367E-01   3.40036027E-04   4.08221635E-04   4.98422825E-04   3.12778168E-05   5.84936799E-05   2.06947738E-05  
  76               3.93271990E+01   2.07355747E+03   8.38181706E-01   1.60224487E-01   3.83062262E-04   4.06775905E-04   4.99862709E-04   2.97789204E-05   5.84663436E-05   2.06760736E-05  
  77               4.04831971E+01   2.08868632E+03   8.38153205E-01   1.60221611E-01   4.15353515E-04   4.05837496E-04   5.00773125E-04   2.88254427E-05   5.84446077E-05   2.06618708E-05  
  78               4.18629249E+01   2.10645327E+03   8.38117027E-01   1.60218021E-01   4.56097179E-04   4.04820325E-04   5.01789173E-04   2.77571429E-05   5.84195180E-05   2.06438504E-05  
  79               4.35008875E+01   2.12674270E+03   8.38072181E-01   1.60213660E-01   5.06382350E-04   4.03727426E-04   5.02841306E-04   2.66422370E-05   5.83888548E-05   2.06214324E-05  
  80               4.54387694E+01   2.15014662E+03   8.38015289E-01   1.60208219E-01   5.69875590E-04   4.02553480E-04   5.03965717E-04   2.54418864E-05   5.83526741E-05   2.05928502E-05  
  81               4.77190359E+01   2.17642344E+03   8.37944575E-01   1.60201576E-01   6.48392458E-04   4.01376406E-04   5.05083835E-04   2.42328970E-05   5.83089584E-05   2.05577129E-05  
  82               5.03876302E+01   2.20611905E+03   8.37855130E-01   1.60193292E-01   7.47316676E-04   4.00165622E-04   5.06223718E-04   2.29836906E-05   5.82578043E-05   2.05134204E-05  
  83               5.34943381E+01   2.23879504E+03   8.37744434E-01   1.60183184E-01   8.69261056E-04   3.99007407E-04   5.07298557E-04   2.17786854E-05   5.81967981E-05   2.04595968E-05  
  84               5.70931549E+01   2.27498654E+03   8.37605255E-01   1.60170608E-01   1.02213980E-03   3.97868457E-04   5.08338440E-04   2.05829874E-05   5.81260396E-05   2.03929201E-05  
  85               6.12431257E+01   2.31405590E+03   8.37432341E-01   1.60154937E-01   1.20938318E-03   3.96832570E-04   5.09257302E-04   1.94782008E-05   5.80425953E-05   2.03133079E-05  
  86               6.60080213E+01   2.35654854E+03   8.37211482E-01   1.60135785E-01   1.44225061E-03   4.01666691E-04   5.10373447E-04   1.81648143E-05   5.79524075E-05   2.02475170E-05  
  87               7.14595315E+01   2.40163293E+03   8.36952680E-01   1.60112944E-01   1.72453436E-03   4.00988354E-04   5.11045621E-04   1.72364497E-05   5.78416164E-05   2.01351623E-05  
  88               7.76777366E+01   2.44993881E+03   8.36633914E-01   1.60084924E-01   2.07189647E-03   4.00388931E-04   5.11599672E-04   1.63782847E-05   5.77152192E-05   2.00021655E-05  
  89               8.47511671E+01   2.50045596E+03   8.36252300E-01   1.60051504E-01   2.48736944E-03   3.99937380E-04   5.11965678E-04   1.56551763E-05   5.75695408E-05   1.98510666E-05  
  90               9.27813873E+01   2.55394884E+03   8.35788451E-01   1.60010971E-01   2.99210789E-03   3.99584166E-04   5.12190977E-04   1.50078141E-05   5.74044212E-05   1.96768815E-05  
