# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               CO               H2S              H               
  86               4.90032327E+01   1.59659570E+03   8.38306955E-01   1.60401168E-01   6.48447691E-04   3.96241447E-04   5.43451969E-05   1.34658864E-04   2.42124738E-05   6.82080180E-06  
  87               5.46744803E+01   1.64444278E+03   8.38332854E-01   1.60391962E-01   6.24236010E-04   3.70502769E-04   5.43545163E-05   1.60284705E-04   2.41332943E-05   1.05817662E-05  
  88               6.07451159E+01   1.69116549E+03   8.38343904E-01   1.60380911E-01   6.02919114E-04   3.45521536E-04   5.43769847E-05   1.85128878E-04   2.39450465E-05   1.58349925E-05  
  89               6.71218459E+01   1.73673325E+03   8.38354233E-01   1.60371780E-01   5.94215670E-04   3.19437259E-04   5.43734620E-05   2.11066454E-04   2.30973349E-05   2.29550747E-05  
  90               7.36242121E+01   1.77950387E+03   8.38369746E-01   1.60364059E-01   5.75147709E-04   2.98705138E-04   5.43492995E-05   2.31641278E-04   2.30511240E-05   3.19238632E-05  
  91               8.06251935E+01   1.82258578E+03   8.38376020E-01   1.60355727E-01   5.59485693E-04   2.78505565E-04   5.43061956E-05   2.51659250E-04   2.29588897E-05   4.37788166E-05  
  92               8.74239234E+01   1.86141064E+03   8.38366057E-01   1.60346764E-01   5.51239606E-04   2.60530147E-04   5.42469477E-05   2.69449458E-04   2.27934043E-05   5.74023116E-05  
  93               9.35654563E+01   1.89463526E+03   8.38341898E-01   1.60337510E-01   5.51215299E-04   2.44502661E-04   5.41884239E-05   2.85304794E-04   2.25503091E-05   7.17114348E-05  
  94               1.00269307E+02   1.92879742E+03   8.38294848E-01   1.60325574E-01   5.61008111E-04   2.26950220E-04   5.41156824E-05   3.02671186E-04   2.21807853E-05   8.93639626E-05  
  95               1.07625817E+02   1.96434630E+03   8.38234613E-01   1.60313336E-01   5.83913471E-04   2.07216074E-04   5.40357996E-05   3.22220557E-04   2.16863439E-05   1.11393396E-04  
  96               1.13917320E+02   1.99310440E+03   8.38221745E-01   1.60307892E-01   5.75176083E-04   1.98303973E-04   5.39560020E-05   3.30952702E-04   2.16648182E-05   1.32290570E-04  
  97               1.18827089E+02   2.01471158E+03   8.38213561E-01   1.60304516E-01   5.69006170E-04   1.91994165E-04   5.38919190E-05   3.37121154E-04   2.16480245E-05   1.50014106E-04  
  98               1.24347880E+02   2.03812006E+03   8.38202219E-01   1.60300808E-01   5.62720108E-04   1.85549093E-04   5.38176854E-05   3.43404264E-04   2.16292314E-05   1.71336237E-04  
  99               1.30569435E+02   2.06347921E+03   8.38186867E-01   1.60296717E-01   5.56348873E-04   1.78996025E-04   5.37315783E-05   3.49771069E-04   2.16080806E-05   1.97130776E-04  
  100              1.37555763E+02   2.09082939E+03   8.38166540E-01   1.60292180E-01   5.49943343E-04   1.72381984E-04   5.36328975E-05   3.56171046E-04   2.15841843E-05   2.28371944E-04  
  101              1.45376248E+02   2.11999550E+03   8.38099351E-01   1.60279365E-01   5.43646981E-04   1.65865246E-04   5.35165727E-05   3.62417670E-04   2.15565805E-05   2.65894639E-04  
