# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  86               1.49882027E+02   2.42228456E+03   8.37272339E-01   1.60160397E-01   1.31290401E-03   4.43060254E-04   5.73402607E-05   4.68970419E-04   5.51067116E-05   2.07051274E-05  
  87               1.61849291E+02   2.46646721E+03   8.37058300E-01   1.60141079E-01   1.54775111E-03   4.41504133E-04   5.52203577E-05   4.70573164E-04   5.48945665E-05   2.06171859E-05  
  88               1.75547740E+02   2.51468736E+03   8.36791538E-01   1.60117203E-01   1.83980835E-03   4.40025893E-04   5.31009949E-05   4.72078530E-04   5.46565530E-05   2.05120782E-05  
  89               1.91196599E+02   2.56490472E+03   8.36476775E-01   1.60089362E-01   2.18335235E-03   4.39022153E-04   5.13754160E-05   4.73090080E-04   5.43818267E-05   2.03963768E-05  
  90               2.09053114E+02   2.61891478E+03   8.36090440E-01   1.60055366E-01   2.60444285E-03   4.38206464E-04   4.97230221E-05   4.73898364E-04   5.40740727E-05   2.02616800E-05  
  91               2.29416860E+02   2.67479538E+03   8.35638601E-01   1.60015891E-01   3.09598722E-03   4.37910079E-04   4.84594424E-05   4.74180218E-04   5.37225152E-05   2.01154912E-05  
  92               2.52640844E+02   2.73424039E+03   8.35092536E-01   1.59968327E-01   3.68955598E-03   4.37908177E-04   4.73143119E-05   4.74168224E-04   5.33289684E-05   1.99496193E-05  
  93               2.79140098E+02   2.79550194E+03   8.34459918E-01   1.59913464E-01   4.37639095E-03   4.38478897E-04   4.65371769E-05   4.73599080E-04   5.28825797E-05   1.97723905E-05  
  94               3.09402392E+02   2.86014582E+03   8.33707130E-01   1.59848287E-01   5.19329381E-03   4.39459100E-04   4.59053029E-05   4.72648013E-04   5.23829147E-05   1.95761543E-05  
  95               3.43997304E+02   2.92658197E+03   8.32844472E-01   1.59773800E-01   6.12870512E-03   4.41089894E-04   4.56192219E-05   4.71093071E-04   5.18187566E-05   1.93699733E-05  
  96               3.83593997E+02   2.99639795E+03   8.31831084E-01   1.59686370E-01   7.22724525E-03   4.43245140E-04   4.54774759E-05   4.69074486E-04   5.11874498E-05   1.91459142E-05  
  97               4.28964354E+02   3.06784915E+03   8.30686834E-01   1.59587835E-01   8.46694359E-03   4.46167247E-04   4.56786224E-05   4.66367112E-04   5.04760538E-05   1.89151245E-05  
  98               4.80876288E+02   3.14237421E+03   8.29367538E-01   1.59474281E-01   9.89601290E-03   4.49740648E-04   4.60316318E-05   4.63092830E-04   4.96807503E-05   1.86697063E-05  
  99               5.40210092E+02   3.21812467E+03   8.27906153E-01   1.59348669E-01   1.14783018E-02   4.54165917E-04   4.67125542E-05   4.59051094E-04   4.87882057E-05   1.84218106E-05  
  100              6.07939952E+02   3.29663656E+03   8.26252182E-01   1.59206537E-01   1.32688855E-02   4.59318340E-04   4.75333820E-05   4.54348771E-04   4.77892531E-05   1.81622634E-05  
  101              6.84845023E+02   3.37568376E+03   8.24462147E-01   1.59052882E-01   1.52060627E-02   4.65336131E-04   4.86618958E-05   4.48815103E-04   4.66701140E-05   1.79049466E-05  
