# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               H2S             
  73               2.32632114E+00   1.89166726E+03   8.38167824E-01   1.60208926E-01   4.44603184E-04   5.29982520E-04   3.76986502E-04   6.05777575E-05   6.54680710E-05   1.99213675E-05  
  74               2.42070144E+00   1.90925878E+03   8.38119029E-01   1.60204661E-01   4.97675113E-04   5.29990662E-04   3.76927210E-04   6.05749825E-05   6.54246502E-05   1.98887805E-05  
  75               2.52595475E+00   1.93180717E+03   8.38047478E-01   1.60198405E-01   5.75484113E-04   5.29999296E-04   3.76855386E-04   6.05712992E-05   6.53730229E-05   1.98373646E-05  
  76               2.64240978E+00   1.95228728E+03   8.37976703E-01   1.60192225E-01   6.52400923E-04   5.29998850E-04   3.76822051E-04   6.05674100E-05   6.53202974E-05   1.97876098E-05  
  77               2.77123114E+00   1.97756736E+03   8.37876391E-01   1.60183463E-01   7.61551730E-04   5.29995735E-04   3.76721118E-04   6.05621837E-05   6.52588616E-05   1.97136248E-05  
  78               2.91450426E+00   2.00104293E+03   8.37773957E-01   1.60174523E-01   8.72995980E-04   5.29983385E-04   3.76631176E-04   6.05563978E-05   6.51952832E-05   1.96400958E-05  
  79               3.07344093E+00   2.02932596E+03   8.37631475E-01   1.60162085E-01   1.02801372E-03   5.29964124E-04   3.76516233E-04   6.05490570E-05   6.51217871E-05   1.95363389E-05  
  80               3.24931203E+00   2.05582873E+03   8.37483433E-01   1.60149168E-01   1.18906681E-03   5.29935529E-04   3.76411397E-04   6.05407761E-05   6.50455988E-05   1.94324581E-05  
  81               3.44352719E+00   2.08687795E+03   8.37282779E-01   1.60131660E-01   1.40735875E-03   5.29894966E-04   3.76279772E-04   6.05306798E-05   6.49587257E-05   1.92925352E-05  
  82               3.65758902E+00   2.11618428E+03   8.37071789E-01   1.60113255E-01   1.63688251E-03   5.29844763E-04   3.76155800E-04   6.05192115E-05   6.48685463E-05   1.91521555E-05  
  83               3.89319438E+00   2.14969299E+03   8.36792921E-01   1.60088927E-01   1.94024958E-03   5.29776983E-04   3.76002294E-04   6.05055306E-05   6.47668972E-05   1.89708031E-05  
  84               4.15214994E+00   2.18154827E+03   8.36497118E-01   1.60063128E-01   2.26202792E-03   5.29698724E-04   3.75853246E-04   6.04900701E-05   6.46611944E-05   1.87888997E-05  
