# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              N2               NH3              H2S              H2O(s)          
  68               3.16940847E+00   5.90865612E+02   8.38121707E-01   1.60472398E-01   7.74732868E-04   5.25488010E-04   4.84004803E-05   2.50817045E-05   2.29818082E-05   0.00000000E+00  
  69               3.59667148E+00   6.13809530E+02   8.38122045E-01   1.60472060E-01   7.74732662E-04   5.25487871E-04   4.84004682E-05   2.50816980E-05   2.29817598E-05   0.00000000E+00  
  70               4.07692644E+00   6.37049284E+02   8.38122536E-01   1.60471571E-01   7.74731568E-04   5.25487129E-04   4.84004006E-05   2.50816628E-05   2.29816897E-05   0.00000000E+00  
  71               4.61688321E+00   6.61323902E+02   8.38123241E-01   1.60470869E-01   7.74729990E-04   5.25486059E-04   4.84003029E-05   2.50816119E-05   2.29815891E-05   0.00000000E+00  
  72               5.22343122E+00   6.85942750E+02   8.38124154E-01   1.60469959E-01   7.74727900E-04   5.25484642E-04   4.84001732E-05   2.50815445E-05   2.29814589E-05   0.00000000E+00  
  73               5.90349371E+00   7.11589658E+02   8.38125313E-01   1.60468803E-01   7.74725199E-04   5.25482810E-04   4.84000055E-05   2.50814573E-05   2.29812933E-05   0.00000000E+00  
  74               6.66406325E+00   7.37536537E+02   8.38126634E-01   1.60467481E-01   7.74721994E-04   5.25480636E-04   4.83998063E-05   2.50813538E-05   2.29811039E-05   0.00000000E+00  
  75               7.51271249E+00   7.64430316E+02   8.38128082E-01   1.60465988E-01   7.74718324E-04   5.25478148E-04   4.83995782E-05   2.50812353E-05   2.29808900E-05   0.00000000E+00  
  76               8.46130284E+00   7.91698936E+02   8.38129576E-01   1.60464451E-01   7.74714522E-04   5.25475569E-04   4.83993420E-05   2.50811125E-05   2.29806698E-05   0.00000000E+00  
  77               9.52342309E+00   8.20030264E+02   8.38131015E-01   1.60462855E-01   7.74710803E-04   5.25473047E-04   4.83991110E-05   2.50809924E-05   2.29804410E-05   0.00000000E+00  
  78               1.07121381E+01   8.48873614E+02   8.38132312E-01   1.60461310E-01   7.74707850E-04   5.25471045E-04   4.83989280E-05   2.50808972E-05   2.29802192E-05   0.00000000E+00  
  79               1.20397701E+01   8.78695227E+02   8.38133746E-01   1.60459864E-01   7.74708717E-04   5.25471633E-04   4.83989838E-05   2.50809256E-05   2.29800111E-05   0.00000000E+00  
  80               1.35174691E+01   9.08999911E+02   8.38135041E-01   1.60458542E-01   7.74709939E-04   5.25472463E-04   4.83990619E-05   2.50809656E-05   2.29862392E-05   0.00000000E+00  
  81               1.51557021E+01   9.40018446E+02   8.38136195E-01   1.60457327E-01   7.74706873E-04   5.25470384E-04   4.83988723E-05   2.50808668E-05   2.30015024E-05   0.00000000E+00  
  82               1.69728356E+01   9.71532786E+02   8.38137130E-01   1.60456228E-01   7.74704441E-04   5.25468735E-04   4.83987223E-05   2.50807885E-05   2.30396506E-05   0.00000000E+00  
  83               1.89889023E+01   1.00379981E+03   8.38137753E-01   1.60455206E-01   7.74703396E-04   5.25468026E-04   4.83986592E-05   2.50807552E-05   2.31327742E-05   0.00000000E+00  
  84               2.12225474E+01   1.03663925E+03   8.38137436E-01   1.60454151E-01   7.74705252E-04   5.25469285E-04   4.83987775E-05   2.50808159E-05   2.33477110E-05   0.00000000E+00  
  85               2.36905367E+01   1.07007425E+03   8.38136461E-01   1.60453205E-01   7.74727364E-04   5.25484273E-04   4.84001619E-05   2.50815327E-05   2.42846260E-05   0.00000000E+00  
  86               2.64088495E+01   1.10396294E+03   8.38137143E-01   1.60452481E-01   7.74725119E-04   5.25482682E-04   4.84000289E-05   2.50814631E-05   2.42844529E-05   0.00000000E+00  
  87               2.93968352E+01   1.13832439E+03   8.38137726E-01   1.60451782E-01   7.74723058E-04   5.25480898E-04   4.83999309E-05   2.50814115E-05   2.42842468E-05   0.00000000E+00  
  88               3.26834851E+01   1.17317567E+03   8.38138175E-01   1.60451065E-01   7.74720966E-04   5.25477524E-04   4.83999508E-05   2.50814207E-05   2.42839835E-05   0.00000000E+00  
  89               3.63081117E+01   1.20866758E+03   8.38138456E-01   1.60450270E-01   7.74713657E-04   5.25463691E-04   4.84001948E-05   2.50815445E-05   2.42836289E-05   0.00000000E+00  
  90               4.03061321E+01   1.24477259E+03   8.38138588E-01   1.60449348E-01   7.74674420E-04   5.25401098E-04   4.84007212E-05   2.50818082E-05   2.42831414E-05   0.00000000E+00  
  91               4.47091488E+01   1.28147866E+03   8.38138735E-01   1.60448260E-01   7.74506770E-04   5.25161290E-04   4.84014366E-05   2.50821444E-05   2.42824704E-05   0.00000000E+00  
  92               4.95456230E+01   1.31873389E+03   8.38139350E-01   1.60447016E-01   7.73947853E-04   5.24422968E-04   4.84020053E-05   2.50823099E-05   2.42815582E-05   0.00000000E+00  
  93               5.48421792E+01   1.35640486E+03   8.38141188E-01   1.60445681E-01   7.72524192E-04   5.22693863E-04   4.84020498E-05   2.50818761E-05   2.42803396E-05   0.00000000E+00  
  94               6.06247415E+01   1.39448916E+03   8.38144737E-01   1.60444259E-01   7.69843125E-04   5.19703875E-04   4.84017530E-05   2.50802207E-05   2.42787084E-05   0.00000000E+00  
  95               6.69585957E+01   1.43302738E+03   8.38149842E-01   1.60442641E-01   7.65907005E-04   5.15534892E-04   4.84016479E-05   2.50756098E-05   2.42764846E-05   0.00000000E+00  
  96               7.39211117E+01   1.47232895E+03   8.38156383E-01   1.60440695E-01   7.60745581E-04   5.10166888E-04   4.84025894E-05   2.50633164E-05   2.42733371E-05   0.00000000E+00  
  97               8.15724636E+01   1.51219759E+03   8.38164137E-01   1.60438351E-01   7.54369959E-04   5.03571508E-04   4.84062866E-05   2.50327300E-05   2.42686824E-05   0.00000000E+00  
  98               8.99521142E+01   1.55276899E+03   8.38173330E-01   1.60435615E-01   7.46858774E-04   4.95636066E-04   4.84162603E-05   2.49655335E-05   2.42540558E-05   0.00000000E+00  
  99               9.90705290E+01   1.59352799E+03   8.38182806E-01   1.60432295E-01   7.37945439E-04   4.86527969E-04   4.84390165E-05   2.48456758E-05   2.42481838E-05   0.00000000E+00  
  100              1.08914501E+02   1.63451311E+03   8.38193244E-01   1.60428764E-01   7.29036789E-04   4.76191538E-04   4.84708689E-05   2.46793854E-05   2.41840656E-05   0.00000000E+00  
  101              1.19413415E+02   1.67493590E+03   8.38111410E-01   1.60407085E-01   7.18222971E-04   4.65148587E-04   4.85136529E-05   2.45422436E-05   2.41725282E-05   0.00000000E+00  
