# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               SiO             
  69               1.74361428E+00   2.02210394E+03   8.37381306E-01   1.60140071E-01   1.30064067E-03   5.30098338E-04   3.76197464E-04   6.06250111E-05   6.55157425E-05   5.11538515E-05  
  70               1.87998840E+00   2.05946361E+03   8.37106155E-01   1.60116065E-01   1.59996038E-03   5.30026161E-04   3.76035174E-04   6.06135086E-05   6.54313501E-05   5.12308632E-05  
  71               2.03417078E+00   2.09949413E+03   8.36756451E-01   1.60085557E-01   1.98037979E-03   5.29931385E-04   3.75847084E-04   6.05989889E-05   6.53366157E-05   5.13109347E-05  
  72               2.20809671E+00   2.14059388E+03   8.36333898E-01   1.60048697E-01   2.44004261E-03   5.29813748E-04   3.75637643E-04   6.05813866E-05   6.52324052E-05   5.13896002E-05  
  73               2.40392197E+00   2.18422259E+03   8.35802955E-01   1.60002385E-01   3.01761377E-03   5.29663765E-04   3.75391976E-04   6.05596862E-05   6.51159436E-05   5.14688896E-05  
  74               2.62408496E+00   2.22837256E+03   8.35174862E-01   1.59947603E-01   3.70086219E-03   5.29483933E-04   3.75118127E-04   6.05339693E-05   6.49887941E-05   5.15431202E-05  
  75               2.87130304E+00   2.27491454E+03   8.34396652E-01   1.59879731E-01   4.54740702E-03   5.29259730E-04   3.74794602E-04   6.05026799E-05   6.48472014E-05   5.16141778E-05  
  76               3.14865408E+00   2.32131086E+03   8.33498829E-01   1.59801227E-01   5.52190711E-03   5.28998462E-04   3.74438928E-04   6.04663228E-05   6.46938166E-05   5.16750586E-05  
  77               3.45925230E+00   2.36992306E+03   8.32399211E-01   1.59705816E-01   6.70854606E-03   5.28681414E-04   3.80671518E-04   6.04232308E-05   6.45238726E-05   5.17638128E-05  
  78               3.80696788E+00   2.41778793E+03   8.31178196E-01   1.59599341E-01   8.03668886E-03   5.28324725E-04   3.80272820E-04   6.03742607E-05   6.43418038E-05   5.17997789E-05  
  79               4.19641951E+00   2.46785324E+03   8.29713549E-01   1.59471626E-01   9.62986171E-03   5.27896574E-04   3.79776856E-04   6.03161848E-05   6.41405506E-05   5.18199449E-05  
  80               4.63244217E+00   2.51672330E+03   8.28116629E-01   1.59332384E-01   1.13669196E-02   5.27428270E-04   3.79227171E-04   6.02520927E-05   6.39265750E-05   5.18180908E-05  
  81               5.12043278E+00   2.56773330E+03   8.26231671E-01   1.59168031E-01   1.34172980E-02   5.26875460E-04   3.78569840E-04   6.01769792E-05   6.36911715E-05   5.17913596E-05  
  82               5.66631041E+00   2.61720341E+03   8.24225706E-01   1.58993135E-01   1.55992926E-02   5.26285522E-04   3.77866803E-04   6.00956928E-05   6.34430916E-05   5.17360256E-05  
  83               6.27658666E+00   2.66861843E+03   8.21902884E-01   1.58790618E-01   1.81259413E-02   5.25602418E-04   3.77047521E-04   6.00016810E-05   6.31721407E-05   5.16449527E-05  
  84               6.95824206E+00   2.71843566E+03   8.19472516E-01   1.58578733E-01   2.07695502E-02   5.24885760E-04   3.76189733E-04   5.99011014E-05   6.28885346E-05   5.15181951E-05  
  85               7.71901185E+00   2.76978931E+03   8.16725007E-01   1.58339203E-01   2.37581077E-02   5.24075357E-04   3.75216652E-04   5.97864748E-05   6.25820009E-05   5.13439989E-05  
  86               8.56715792E+00   2.81971525E+03   8.13880204E-01   1.58091200E-01   2.68524577E-02   5.23233925E-04   3.74210847E-04   5.96641242E-05   6.22626597E-05   5.11259957E-05  
  87               9.51171835E+00   2.87074394E+03   8.10740233E-01   1.57817469E-01   3.02678379E-02   5.22304447E-04   3.73099215E-04   5.95261333E-05   6.19213179E-05   5.08488569E-05  
  88               1.05620482E+01   2.92075062E+03   8.07495625E-01   1.57534625E-01   3.37969825E-02   5.21341253E-04   3.71954539E-04   5.93773551E-05   6.15664258E-05   5.05175476E-05  
  89               1.17285194E+01   2.97125044E+03   8.04013937E-01   1.57231118E-01   3.75839506E-02   5.20305950E-04   3.70727947E-04   5.92107862E-05   6.11920956E-05   5.01175676E-05  
  90               1.30218584E+01   3.02123329E+03   8.00405268E-01   1.56916550E-01   4.15089699E-02   5.19229729E-04   3.69462701E-04   5.90273350E-05   6.08030772E-05   4.96508209E-05  
  91               1.44535007E+01   3.07117948E+03   7.96630268E-01   1.56587488E-01   4.56148323E-02   5.18100812E-04   3.68145057E-04   5.88213789E-05   6.03977541E-05   4.91085506E-05  
  92               1.60348318E+01   3.12090817E+03   7.92719443E-01   1.56246592E-01   4.98683442E-02   5.16927453E-04   3.66787818E-04   5.85886630E-05   5.99776170E-05   4.84880714E-05  
  93               1.77786243E+01   3.17031235E+03   7.88699683E-01   1.55896206E-01   5.42402428E-02   5.15716787E-04   3.65402331E-04   5.83233181E-05   5.95438708E-05   4.77874683E-05  
  94               1.96988193E+01   3.21962256E+03   7.84554226E-01   1.55534867E-01   5.87487501E-02   5.14463317E-04   3.63982247E-04   5.80152905E-05   5.90959590E-05   4.70009849E-05  
  95               2.18106190E+01   3.26877889E+03   7.80303382E-01   1.55164345E-01   6.33717565E-02   5.13172116E-04   3.62535131E-04   5.76536439E-05   5.86347883E-05   4.61276410E-05  
  96               2.41308951E+01   3.31788524E+03   7.75945052E-01   1.54784457E-01   6.81115281E-02   5.11841703E-04   3.61058764E-04   5.72228916E-05   5.81603387E-05   4.51649299E-05  
  97               2.66787611E+01   3.36673963E+03   7.71524153E-01   1.54399116E-01   7.29191918E-02   5.10483994E-04   3.59569366E-04   5.67071646E-05   5.76742615E-05   4.41176667E-05  
  98               2.94752754E+01   3.41577539E+03   7.66987318E-01   1.54003666E-01   7.78527682E-02   5.09082495E-04   3.58041534E-04   5.60781086E-05   5.71745132E-05   4.29788957E-05  
  99               3.25438660E+01   3.46463997E+03   7.62404566E-01   1.53604211E-01   8.28360765E-02   5.07656073E-04   3.56500166E-04   5.53128070E-05   5.66635851E-05   4.17599501E-05  
  100              3.59106394E+01   3.51379246E+03   7.57713772E-01   1.53195328E-01   8.79366550E-02   5.06185402E-04   3.54913106E-04   5.43684751E-05   5.61391061E-05   4.04548077E-05  
  101              3.96047008E+01   3.56290015E+03   7.52985054E-01   1.52783128E-01   9.30782058E-02   5.04689056E-04   3.53303954E-04   5.32117600E-05   5.56034342E-05   3.90783070E-05  
