# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              N2               Mg               CH4             
  60               4.79428551E+00   1.84309865E+03   8.38409101E-01   1.60234287E-01   2.11983963E-04   5.27857444E-04   3.79335648E-04   6.03383937E-05   6.49827588E-05   2.57986101E-06  
  61               5.02561117E+00   1.86585403E+03   8.38376339E-01   1.60231342E-01   2.47901973E-04   5.28054718E-04   3.79083694E-04   6.03328755E-05   6.49101243E-05   2.36953984E-06  
  62               5.28963264E+00   1.89068923E+03   8.38304806E-01   1.60221842E-01   2.92676384E-04   5.28214239E-04   3.78821749E-04   6.03198781E-05   6.48262482E-05   2.16907737E-06  
  63               5.49429808E+00   1.90929736E+03   8.38270160E-01   1.60218770E-01   3.30464482E-04   5.28346862E-04   3.78661336E-04   6.03567429E-05   6.47638966E-05   2.03496322E-06  
  64               5.64777698E+00   1.92283568E+03   8.38242748E-01   1.60216345E-01   3.60389586E-04   5.28419869E-04   3.78553328E-04   6.03484449E-05   6.47176515E-05   1.94573414E-06  
  65               5.82675184E+00   1.93831337E+03   8.38208910E-01   1.60213356E-01   3.97321819E-04   5.28502089E-04   3.78426353E-04   6.03409239E-05   6.46641196E-05   1.85064646E-06  
  66               6.03466271E+00   1.95574135E+03   8.38167436E-01   1.60209700E-01   4.42536708E-04   5.28584678E-04   3.78302709E-04   6.03340956E-05   6.46026733E-05   1.75258684E-06  
  67               6.27458177E+00   1.97530203E+03   8.38116300E-01   1.60205199E-01   4.98237314E-04   5.28666522E-04   3.78177612E-04   6.03275066E-05   6.45325086E-05   1.65183420E-06  
  68               6.54936777E+00   1.99689333E+03   8.38053864E-01   1.60199716E-01   5.66189626E-04   5.28743956E-04   3.78076949E-04   6.03205813E-05   6.44532841E-05   1.55155825E-06  
  69               6.86317036E+00   2.02068191E+03   8.37977294E-01   1.60193002E-01   6.49604768E-04   5.28815307E-04   3.77924234E-04   6.03126233E-05   6.43640540E-05   1.45245639E-06  
  70               7.22209149E+00   2.04673790E+03   8.37883216E-01   1.60184763E-01   7.52058110E-04   5.28877802E-04   3.77767059E-04   6.03032033E-05   6.42636983E-05   1.35620493E-06  
  71               7.63095693E+00   2.07513517E+03   8.37767400E-01   1.60174631E-01   8.78150656E-04   5.28929333E-04   3.77605215E-04   6.02919974E-05   6.41513332E-05   1.26354762E-06  
  72               8.09494914E+00   2.10578250E+03   8.37625482E-01   1.60162226E-01   1.03262534E-03   5.28966787E-04   3.77439596E-04   6.02786845E-05   6.40263097E-05   1.17618846E-06  
  73               8.61967153E+00   2.13866067E+03   8.37451820E-01   1.60147056E-01   1.22162013E-03   5.28987764E-04   3.77269535E-04   6.02629533E-05   6.38878395E-05   1.09472727E-06  
  74               9.21120193E+00   2.17366750E+03   8.37240240E-01   1.60128585E-01   1.45184759E-03   5.28989534E-04   3.77094536E-04   6.02444351E-05   6.37352497E-05   1.01992393E-06  
  75               9.87617884E+00   2.21071034E+03   8.36983521E-01   1.60106182E-01   1.73116169E-03   5.28969516E-04   3.76913352E-04   6.02227301E-05   6.35678324E-05   9.52064142E-07  
  76               1.06218708E+01   2.24969203E+03   8.36673426E-01   1.60079130E-01   2.06852132E-03   5.28925074E-04   3.76724231E-04   6.01973973E-05   6.33848700E-05   8.91166999E-07  
  77               1.14562978E+01   2.29041692E+03   8.36299846E-01   1.60046341E-01   2.47276705E-03   5.28852095E-04   3.76525282E-04   6.01677885E-05   6.31856684E-05   8.37477074E-07  
  78               1.23878219E+01   2.33281687E+03   8.35848002E-01   1.60007457E-01   2.95507265E-03   5.28766156E-04   3.82658568E-04   6.01350461E-05   6.29697317E-05   7.77297328E-07  
  79               1.34262482E+01   2.37662712E+03   8.35324475E-01   1.59961813E-01   3.52441461E-03   5.28631610E-04   3.82545813E-04   6.00958907E-05   6.27366590E-05   7.37488088E-07  
  80               1.45828234E+01   2.42190335E+03   8.34707751E-01   1.59908048E-01   4.19513553E-03   5.28461123E-04   3.82397116E-04   6.00509290E-05   6.24852816E-05   7.03423482E-07  
  81               1.58695664E+01   2.46828383E+03   8.33991278E-01   1.59845592E-01   4.97435763E-03   5.28251995E-04   3.82214138E-04   5.99995320E-05   6.22154837E-05   6.75475961E-07  
  82               1.72999768E+01   2.51592625E+03   8.33159035E-01   1.59773050E-01   5.87950068E-03   5.28000355E-04   3.81994779E-04   5.99409760E-05   6.19259971E-05   6.52396178E-07  
  83               1.88891634E+01   2.56437710E+03   8.32208455E-01   1.59690197E-01   6.91334805E-03   5.27704271E-04   3.81743000E-04   5.98746190E-05   6.16170246E-05   6.34809085E-07  
  84               2.06538510E+01   2.61391315E+03   8.31120298E-01   1.59595358E-01   8.09682312E-03   5.27358880E-04   3.81455986E-04   5.97995589E-05   6.12870418E-05   6.21367627E-07  
