# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  66               4.44149196E+01   1.29125457E+03   8.38137412E-01   1.60447261E-01   7.74739707E-04   5.25260049E-04   1.31387634E-07   4.53312552E-06   4.70149630E-05   2.77253367E-05  
  67               5.08983161E+01   1.33234720E+03   8.38138358E-01   1.60446112E-01   7.73871837E-04   5.24142713E-04   2.33506610E-07   6.58513450E-06   4.70152665E-05   2.77254188E-05  
  68               5.82155452E+01   1.37347073E+03   8.38140812E-01   1.60444974E-01   7.71941226E-04   5.21899413E-04   4.00110262E-07   9.23316802E-06   4.70153982E-05   2.77251842E-05  
  69               6.64517156E+01   1.41444364E+03   8.38144548E-01   1.60443791E-01   7.68991497E-04   5.18716923E-04   6.61515050E-07   1.24957687E-05   4.70152956E-05   2.77242243E-05  
  70               7.57771111E+01   1.45652314E+03   8.38149358E-01   1.60442372E-01   7.65100888E-04   5.14624904E-04   1.07530825E-06   1.65946616E-05   4.70153049E-05   2.77217845E-05  
  71               8.63310098E+01   1.49963733E+03   8.38155134E-01   1.60440668E-01   7.60284282E-04   5.09599175E-04   1.71744399E-06   2.16010927E-05   4.70159359E-05   2.77158858E-05  
  72               9.82068378E+01   1.54496460E+03   8.38162202E-01   1.60438489E-01   7.54186119E-04   5.03227161E-04   2.73348456E-06   2.79388820E-05   4.70185910E-05   2.76997171E-05  
  73               1.11438858E+02   1.59222633E+03   8.38170388E-01   1.60435727E-01   7.46645562E-04   4.95339267E-04   4.31692339E-06   3.57748256E-05   4.70277647E-05   2.76576664E-05  
  74               1.25999819E+02   1.64239992E+03   8.38179612E-01   1.60432051E-01   7.37263064E-04   4.85280813E-04   6.82841227E-06   4.57566074E-05   4.70566771E-05   2.75466194E-05  
  75               1.41876111E+02   1.69574537E+03   8.38174844E-01   1.60424442E-01   7.26143232E-04   4.72494350E-04   1.08192583E-05   5.84219374E-05   4.71184793E-05   2.73367293E-05  
  76               1.59078751E+02   1.74777349E+03   8.38169748E-01   1.60419136E-01   7.31329954E-04   4.57563441E-04   1.64575405E-05   7.32101296E-05   4.71461979E-05   2.72509575E-05  
  77               1.77668796E+02   1.79987197E+03   8.38179950E-01   1.60413685E-01   7.17594386E-04   4.42990220E-04   2.44262957E-05   8.76012928E-05   4.71240505E-05   2.72392282E-05  
  78               1.97741418E+02   1.85084585E+03   8.38183308E-01   1.60407499E-01   7.05279632E-04   4.28378327E-04   3.51074379E-05   1.01988883E-04   4.70363860E-05   2.73497150E-05  
  79               2.19270099E+02   1.90168122E+03   8.38176041E-01   1.60400105E-01   6.96522784E-04   4.13061612E-04   4.94024480E-05   1.17028494E-04   4.69149807E-05   2.75137349E-05  
  80               2.41918610E+02   1.95048531E+03   8.38147490E-01   1.60390688E-01   6.96568063E-04   3.97459179E-04   6.73161090E-05   1.32308516E-04   4.67444768E-05   2.77670230E-05  
  81               2.65109030E+02   1.99723095E+03   8.38086659E-01   1.60377736E-01   7.10241852E-04   3.80441988E-04   8.91983696E-05   1.48960727E-04   4.65563767E-05   2.80480230E-05  
  82               2.90812174E+02   2.04494010E+03   8.38013127E-01   1.60365086E-01   7.38032633E-04   3.61279292E-04   1.17143067E-04   1.67714474E-04   4.63237346E-05   2.84112209E-05  
  83               3.17063997E+02   2.09050614E+03   8.37997796E-01   1.60358825E-01   7.26534254E-04   3.49320057E-04   1.50102298E-04   1.79219694E-04   4.60729114E-05   2.88011750E-05  
  84               3.42953092E+02   2.13241105E+03   8.37966833E-01   1.60350859E-01   7.16677192E-04   3.38988084E-04   1.86604269E-04   1.89070195E-04   4.58125314E-05   2.92079095E-05  
  85               3.72512884E+02   2.17725377E+03   8.37936660E-01   1.60344083E-01   7.06874836E-04   3.28604938E-04   2.33181031E-04   1.98878695E-04   4.55083961E-05   2.96849659E-05  
  86               3.99080453E+02   2.21517257E+03   8.37904093E-01   1.60337978E-01   6.99195883E-04   3.20372934E-04   2.79366127E-04   2.06567132E-04   4.52304368E-05   3.01210613E-05  
  87               4.21098866E+02   2.24479131E+03   8.37873639E-01   1.60332991E-01   6.93699091E-04   3.14399724E-04   3.20137607E-04   2.12076876E-04   4.49937669E-05   3.04953755E-05  
