# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CO               CH4              N2               H                H2S             
  62               1.06284645E+00   8.93215265E+02   8.38408566E-01   1.60494799E-01   4.87243130E-04   2.61034831E-04   2.54021470E-04   5.95102620E-05   8.25402706E-11   2.30354737E-05  
  63               1.18210826E+00   9.22442182E+02   8.38408810E-01   1.60494187E-01   4.87244838E-04   2.61035767E-04   2.54022360E-04   5.95104524E-05   2.01530081E-10   2.31247365E-05  
  64               1.31355654E+00   9.50226037E+02   8.38408409E-01   1.60493238E-01   4.87249159E-04   2.61038171E-04   2.54024613E-04   5.95109616E-05   4.45424481E-10   2.33270878E-05  
  65               1.45841594E+00   9.80553239E+02   8.38408020E-01   1.60491720E-01   4.87257081E-04   2.61042739E-04   2.54028741E-04   5.95119102E-05   1.00817124E-09   2.42904798E-05  
  66               1.61797259E+00   1.00948469E+03   8.38410089E-01   1.60489680E-01   4.87253759E-04   2.61042115E-04   2.54027002E-04   5.95114859E-05   2.09032159E-09   2.42901230E-05  
  67               1.79362524E+00   1.04090319E+03   8.38413733E-01   1.60486065E-01   4.87248010E-04   2.61042861E-04   2.54023967E-04   5.95107692E-05   4.41698602E-09   2.42894908E-05  
  68               1.98694548E+00   1.07099029E+03   8.38418924E-01   1.60480892E-01   4.87239895E-04   2.61051111E-04   2.54019509E-04   5.95097891E-05   8.64208803E-09   2.42885805E-05  
  69               2.19960980E+00   1.10353090E+03   8.38427239E-01   1.60472574E-01   4.87226395E-04   2.61082855E-04   2.54011301E-04   5.95082811E-05   1.71725116E-08   2.42871071E-05  
  70               2.43335476E+00   1.13479167E+03   8.38437790E-01   1.60461948E-01   4.87205049E-04   2.61191288E-04   2.53994167E-04   5.95064759E-05   3.18807550E-08   2.42851894E-05  
  71               2.69026904E+00   1.16846425E+03   8.38452391E-01   1.60447102E-01   4.87156169E-04   2.61513621E-04   2.53941499E-04   5.95041681E-05   5.99259207E-08   2.42824442E-05  
  72               2.97276399E+00   1.20096759E+03   8.38468259E-01   1.60430609E-01   4.87008728E-04   2.62432371E-04   2.53744934E-04   5.95021019E-05   1.06172981E-07   2.42792513E-05  
  73               3.28369005E+00   1.23590657E+03   8.38486914E-01   1.60410691E-01   4.86494913E-04   2.64842539E-04   2.53011898E-04   5.95004133E-05   1.90154709E-07   2.42751541E-05  
  74               3.62698713E+00   1.26990638E+03   8.38504705E-01   1.60391224E-01   4.84728400E-04   2.70699096E-04   2.50434736E-04   5.95001842E-05   3.23977582E-07   2.42707215E-05  
  75               4.00964889E+00   1.30673886E+03   8.38525453E-01   1.60370590E-01   4.79452609E-04   2.83225276E-04   2.42788691E-04   5.95007535E-05   5.59971415E-07   2.42652961E-05  
  76               4.44347990E+00   1.34365232E+03   8.38550750E-01   1.60353151E-01   4.66997264E-04   3.04643465E-04   2.25518363E-04   5.95005874E-05   9.37119818E-07   2.42593159E-05  
  77               4.94579375E+00   1.38473789E+03   8.38587023E-01   1.60337579E-01   4.44411656E-04   3.34508337E-04   1.96741176E-04   5.94979235E-05   1.61094831E-06   2.42510308E-05  
  78               5.53510079E+00   1.42735322E+03   8.38627080E-01   1.60325765E-01   4.15026482E-04   3.66874989E-04   1.64040928E-04   5.94943583E-05   2.72466213E-06   2.42376831E-05  
  79               6.22554617E+00   1.47455370E+03   8.38665742E-01   1.60315071E-01   3.84524400E-04   3.98312940E-04   1.32259771E-04   5.94912767E-05   4.70816872E-06   2.42045961E-05  
  80               7.02099639E+00   1.52262172E+03   8.38692776E-01   1.60305941E-01   3.59690519E-04   4.24191629E-04   1.06433505E-04   5.94897116E-05   7.90905980E-06   2.41087034E-05  
  81               7.91569753E+00   1.57327623E+03   8.38699564E-01   1.60295584E-01   3.40992871E-04   4.46372353E-04   8.41987775E-05   5.94921509E-05   1.32010309E-05   2.37954794E-05  
  82               8.88636529E+00   1.62206683E+03   8.38698689E-01   1.60288742E-01   3.40965599E-04   4.65032860E-04   6.54760946E-05   5.95144510E-05   2.09133528E-05   2.22447997E-05  
  83               9.91536004E+00   1.67067477E+03   8.38699091E-01   1.60283111E-01   3.30855255E-04   4.77637988E-04   5.28415573E-05   5.95143447E-05   3.21998978E-05   2.21625729E-05  
  84               1.09845032E+01   1.71599218E+03   8.38679663E-01   1.60276766E-01   3.29085328E-04   4.87255924E-04   4.31800492E-05   5.95148760E-05   4.69811921E-05   2.19684095E-05  
  85               1.20547300E+01   1.75909982E+03   8.38634429E-01   1.60268783E-01   3.40134210E-04   4.95729872E-04   3.46561319E-05   5.95203448E-05   6.60966560E-05   2.15642364E-05  
  86               1.30761734E+01   1.79658689E+03   8.38559553E-01   1.60258799E-01   3.65689044E-04   5.02530080E-04   2.78101113E-05   5.95250679E-05   8.76033249E-05   2.10237476E-05  
  87               1.41573981E+01   1.83476748E+03   8.38481576E-01   1.60250720E-01   3.98810790E-04   5.08266774E-04   2.20383599E-05   5.95242155E-05   1.15365947E-04   2.05184858E-05  
