# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                N2               H2S             
  86               5.44473196E+02   1.76862963E+03   8.38065291E-01   1.60446828E-01   7.94588824E-04   5.21745472E-04   6.75355058E-05   1.06850037E-05   2.70650692E-05   2.34319627E-05  
  87               6.02400139E+02   1.81568516E+03   8.38062615E-01   1.60445701E-01   7.92942995E-04   5.19688350E-04   6.76620663E-05   1.51301056E-05   2.69934140E-05   2.34412011E-05  
  88               6.65425702E+02   1.86362181E+03   8.38058763E-01   1.60444410E-01   7.91226876E-04   5.17338698E-04   6.78659479E-05   2.11666673E-05   2.68810275E-05   2.34465363E-05  
  89               7.35074355E+02   1.91182717E+03   8.38051003E-01   1.60442684E-01   7.90184013E-04   5.14793321E-04   6.82555067E-05   2.91110939E-05   2.66734020E-05   2.34396718E-05  
  90               8.13141256E+02   1.96234051E+03   8.38035796E-01   1.60440132E-01   7.91228319E-04   5.11832508E-04   6.87283785E-05   3.99503077E-05   2.64204733E-05   2.34045305E-05  
  91               9.01276320E+02   2.01416148E+03   8.38003347E-01   1.60435740E-01   7.97941857E-04   5.08498585E-04   6.93880954E-05   5.42622276E-05   2.60700347E-05   2.33086666E-05  
  92               1.00082481E+03   2.06858674E+03   8.37936911E-01   1.60427714E-01   8.17044559E-04   5.04364599E-04   7.01439811E-05   7.35564910E-05   2.56654605E-05   2.30967355E-05  
  93               1.11873452E+03   2.12695711E+03   8.37820582E-01   1.60418461E-01   8.74601999E-04   4.98469744E-04   7.11229111E-05   9.99681601E-05   2.51432671E-05   2.25973811E-05  
  94               1.24983873E+03   2.18671496E+03   8.37788965E-01   1.60413989E-01   8.70977130E-04   4.94204876E-04   7.22105278E-05   1.34404121E-04   2.45623220E-05   2.26020746E-05  
  95               1.38660776E+03   2.24323604E+03   8.37755146E-01   1.60409936E-01   8.67744476E-04   4.90242088E-04   7.33771679E-05   1.74923271E-04   2.39393006E-05   2.26010663E-05  
  96               1.54696275E+03   2.30440559E+03   8.37706937E-01   1.60404363E-01   8.64397741E-04   4.85943420E-04   7.46938081E-05   2.29022735E-04   2.32319181E-05   2.25937332E-05  
  97               1.69996424E+03   2.35757075E+03   8.37640374E-01   1.60397092E-01   8.66478832E-04   4.82120517E-04   7.59393055E-05   2.85706215E-04   2.25613397E-05   2.25893414E-05  
  98               1.83303192E+03   2.40101956E+03   8.37592409E-01   1.60392334E-01   8.64686102E-04   4.79177024E-04   7.69718514E-05   3.39636889E-04   2.20029478E-05   2.25772611E-05  
  99               1.98778647E+03   2.44807816E+03   8.37532709E-01   1.60386519E-01   8.62920470E-04   4.76108975E-04   7.81456421E-05   4.06316277E-04   2.13671419E-05   2.25611509E-05  
  100              2.16715841E+03   2.49908706E+03   8.37457873E-01   1.60379420E-01   8.61226484E-04   4.72857642E-04   7.94415325E-05   4.89289537E-04   2.06620303E-05   2.25402067E-05  
  101              2.30867208E+03   2.53666146E+03   8.37365024E-01   1.60367802E-01   8.60149460E-04   4.70546373E-04   8.04275952E-05   5.57904486E-04   2.01222236E-05   2.25219628E-05  
