# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               H2S             
  79               1.62674748E+02   2.11715649E+03   8.38118833E-01   1.60295313E-01   5.67150610E-04   2.47060016E-04   1.89360661E-04   3.38891475E-04   5.27378168E-05   2.16609414E-05  
  80               1.71924076E+02   2.14635855E+03   8.38090568E-01   1.60290216E-01   5.61032608E-04   2.86480617E-04   1.82966524E-04   3.45006436E-04   5.26046403E-05   2.16345072E-05  
  81               1.82654630E+02   2.17947325E+03   8.38052501E-01   1.60284027E-01   5.54376013E-04   3.37315605E-04   1.75968186E-04   3.51665113E-04   5.24552108E-05   2.16014469E-05  
  82               1.95022250E+02   2.21501017E+03   8.37971230E-01   1.60270885E-01   5.48120699E-04   3.99279841E-04   1.69304025E-04   3.57913043E-04   5.22726819E-05   2.15640806E-05  
  83               2.04443415E+02   2.24142168E+03   8.37929309E-01   1.60265403E-01   5.43652713E-04   4.51118908E-04   1.64540181E-04   3.62362648E-04   5.21391838E-05   2.15343016E-05  
  84               2.11329286E+02   2.25963307E+03   8.37897443E-01   1.60261465E-01   5.40921107E-04   4.89622880E-04   1.61593468E-04   3.65080245E-04   5.20371447E-05   2.15137104E-05  
  85               2.19535368E+02   2.28126153E+03   8.37856345E-01   1.60256503E-01   5.37680990E-04   5.38894216E-04   1.58087405E-04   3.68303436E-04   5.19196967E-05   2.14874642E-05  
  86               2.29271636E+02   2.30556719E+03   8.37803730E-01   1.60250338E-01   5.34439498E-04   5.98509753E-04   1.54531008E-04   3.71522804E-04   5.17759013E-05   2.14575557E-05  
  87               2.40771821E+02   2.33361095E+03   8.37732785E-01   1.60242820E-01   5.35441248E-04   6.73734957E-04   1.49655027E-04   3.76019822E-04   5.16135655E-05   2.14363830E-05  
  88               2.54297243E+02   2.36483416E+03   8.37652685E-01   1.60234359E-01   5.32054262E-04   7.65589552E-04   1.45670016E-04   3.79523274E-04   5.14152464E-05   2.13944528E-05  
  89               2.70141001E+02   2.39993551E+03   8.37551816E-01   1.60224053E-01   5.28581285E-04   8.80139585E-04   1.41498520E-04   3.83115566E-04   5.11851689E-05   2.13442919E-05  
  90               2.88629391E+02   2.43861074E+03   8.37426705E-01   1.60211711E-01   5.25273769E-04   1.02079069E-03   1.37384919E-04   3.86539930E-04   5.09164011E-05   2.12860576E-05  
  91               3.10131705E+02   2.48100580E+03   8.37271640E-01   1.60196859E-01   5.22185635E-04   1.19367730E-03   1.33364403E-04   3.89740277E-04   5.06053445E-05   2.12184056E-05  
  92               3.35064589E+02   2.52729819E+03   8.37079394E-01   1.60178883E-01   5.19356833E-04   1.40660107E-03   1.29451965E-04   3.92676214E-04   5.02485687E-05   2.11397074E-05  
  93               3.63921846E+02   2.57681629E+03   8.36846044E-01   1.60157581E-01   5.17103836E-04   1.66335944E-03   1.25946871E-04   3.95031386E-04   4.98366465E-05   2.10513240E-05  
  94               3.97281103E+02   2.63070178E+03   8.36556362E-01   1.60131499E-01   5.15155345E-04   1.98092050E-03   1.22520007E-04   3.97085115E-04   4.93713201E-05   2.09481839E-05  
  95               4.35841202E+02   2.68732248E+03   8.36211233E-01   1.60100973E-01   5.14092760E-04   2.35745732E-03   1.19736332E-04   3.98261990E-04   4.88362904E-05   2.08356352E-05  
  96               4.80452421E+02   2.74859630E+03   8.35785227E-01   1.60063575E-01   5.13474904E-04   2.82128539E-03   1.17058667E-04   3.99020461E-04   4.82354527E-05   2.07056680E-05  
  97               5.32215690E+02   2.81270840E+03   8.35281279E-01   1.60019834E-01   5.13917184E-04   3.36829674E-03   1.15068658E-04   3.98759931E-04   4.75486971E-05   2.05655035E-05  
  98               5.92565533E+02   2.88193040E+03   8.34662741E-01   1.59966362E-01   5.15028816E-04   4.03893372E-03   1.13234126E-04   3.97898766E-04   4.67754901E-05   2.04058313E-05  
  99               6.63125786E+02   2.95431929E+03   8.33935104E-01   1.59903901E-01   5.17407204E-04   4.82632963E-03   1.12098888E-04   3.95861376E-04   4.58939960E-05   2.02354637E-05  
  100              7.45816699E+02   3.03208253E+03   8.33051645E-01   1.59828204E-01   5.20719695E-04   5.78179830E-03   1.11153655E-04   3.93014581E-04   4.49025930E-05   2.00446738E-05  
  101              8.42622429E+02   3.11267488E+03   8.32030816E-01   1.59741136E-01   5.25541799E-04   6.88439928E-03   1.10941250E-04   3.88795219E-04   4.37812535E-05   1.98455018E-05  
