# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H                H2               He               CO               O-3P             H2O              Mg               Fe              
  80               2.39647082E-01   4.30515016E+03   8.82049807E-01   2.76832092E-02   8.95246840E-02   2.89033388E-04   2.34918571E-04   6.02223145E-07   3.72290611E-05   3.10283589E-05  
  81               2.60799929E-01   4.37943365E+03   8.85638801E-01   2.43802640E-02   8.92364144E-02   2.84409341E-04   2.39486087E-04   4.61467228E-07   3.71102348E-05   3.09284976E-05  
  82               2.83024976E-01   4.45769389E+03   8.88967921E-01   2.13146048E-02   8.89686688E-02   2.78045067E-04   2.45679319E-04   3.50720375E-07   3.70003612E-05   3.08358092E-05  
  83               3.06269666E-01   4.53953640E+03   8.91988966E-01   1.85299582E-02   8.87251984E-02   2.69294946E-04   2.54152137E-04   2.65911487E-07   3.69009126E-05   3.07515834E-05  
  84               3.30496833E-01   4.62458107E+03   8.94680960E-01   1.60450125E-02   8.85075703E-02   2.57497563E-04   2.65578588E-04   2.02168920E-07   3.68124543E-05   3.06763524E-05  
  85               3.55683839E-01   4.71304048E+03   8.97065153E-01   1.38396529E-02   8.83139713E-02   2.42011908E-04   2.80614009E-04   1.54314677E-07   3.67342035E-05   3.06094843E-05  
  86               3.81821265E-01   4.80464034E+03   8.99148380E-01   1.19073264E-02   8.81438022E-02   2.22576505E-04   2.99540808E-04   1.18478074E-07   3.66658366E-05   3.05507617E-05  
  87               4.08896990E-01   4.90047987E+03   9.00983146E-01   1.01995316E-02   8.79928138E-02   1.99021939E-04   3.22545027E-04   9.09811130E-08   3.66056313E-05   3.04987179E-05  
  88               4.36889585E-01   4.99969837E+03   9.02564522E-01   8.72147251E-03   8.78615336E-02   1.72280629E-04   3.48723454E-04   6.99465898E-08   3.65536911E-05   3.04535200E-05  
  89               4.65765860E-01   5.10190066E+03   9.03913638E-01   7.45479314E-03   8.77484813E-02   1.43825798E-04   3.76627827E-04   5.37134912E-08   3.65093416E-05   3.04146468E-05  
  90               4.95456805E-01   5.20618907E+03   9.05049595E-01   6.38342395E-03   8.76524248E-02   1.15701629E-04   4.04235947E-04   4.11717346E-08   3.64719968E-05   3.03816608E-05  
  91               5.25837780E-01   5.31207608E+03   9.06002452E-01   5.48099635E-03   8.75712171E-02   8.97922854E-05   4.29675016E-04   3.14520035E-08   3.64407391E-05   3.03538140E-05  
  92               5.56733326E-01   5.41812404E+03   9.06791320E-01   4.73095909E-03   8.75035432E-02   6.77014413E-05   4.51346191E-04   2.40219417E-08   3.64149573E-05   3.03306413E-05  
  93               5.87942911E-01   5.52366434E+03   9.07443782E-01   4.10803584E-03   8.74472326E-02   4.99809777E-05   4.68690394E-04   1.83761477E-08   3.63937435E-05   3.03113892E-05  
  94               6.19277813E-01   5.62765966E+03   9.07980223E-01   3.59305087E-03   8.74005894E-02   3.65015038E-05   4.81826314E-04   1.41367835E-08   3.63763717E-05   3.02954663E-05  
  95               6.50593795E-01   5.72992265E+03   9.08422988E-01   3.16450537E-03   8.73616613E-02   2.65597057E-05   4.91443970E-04   1.09534110E-08   3.63620496E-05   3.02821985E-05  
  96               6.81811863E-01   5.82976041E+03   9.08786501E-01   2.80826154E-03   8.73291391E-02   1.94038691E-05   4.98285830E-04   8.57547707E-09   3.63502236E-05   3.02711299E-05  
  97               7.12914806E-01   5.92751066E+03   9.09086844E-01   2.50851763E-03   8.73015599E-02   1.42704246E-05   5.03106969E-04   6.78076472E-09   3.63403157E-05   3.02617575E-05  
  98               7.43934760E-01   6.02287621E+03   9.09333564E-01   2.25579100E-03   8.72780364E-02   1.06027629E-05   5.06460226E-04   5.42292696E-09   3.63319557E-05   3.02537729E-05  
  99               7.74939469E-01   6.11636197E+03   9.09536793E-01   2.03996272E-03   8.72576259E-02   7.95674386E-06   5.08785891E-04   4.38058732E-09   3.63247779E-05   3.02468527E-05  
  100              8.06018258E-01   6.20787150E+03   9.09702441E-01   1.85506971E-03   8.72397689E-02   6.03839686E-06   5.10377212E-04   3.57572820E-09   3.63185506E-05   3.02408027E-05  
  101              8.37269741E-01   6.29809706E+03   9.09836994E-01   1.69435663E-03   8.72238265E-02   4.62549837E-06   5.11453952E-04   2.94328641E-09   3.63130350E-05   3.02354051E-05  
