# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              CO               NH3              H                H2S             
  71               6.80649822E+00   1.11825596E+03   8.38150228E-01   1.60442832E-01   7.73427684E-04   5.24043322E-04   7.22478993E-06   1.10015770E-05   1.34371911E-08   2.42827594E-05  
  72               7.80269290E+00   1.16327149E+03   8.38159389E-01   1.60440534E-01   7.67021497E-04   5.17414859E-04   1.38401412E-05   1.00494657E-05   3.17497591E-08   2.42820717E-05  
  73               8.92152361E+00   1.20800504E+03   8.38173600E-01   1.60436998E-01   7.56675136E-04   5.06826457E-04   2.44087133E-05   9.31342623E-06   6.97990070E-08   2.42809717E-05  
  74               1.01853403E+01   1.25463379E+03   8.38195765E-01   1.60431510E-01   7.40234441E-04   4.90117904E-04   4.10869985E-05   8.67290656E-06   1.49356049E-07   2.42791842E-05  
  75               1.16205852E+01   1.30148659E+03   8.38225948E-01   1.60424050E-01   7.17598247E-04   4.67208679E-04   6.39553870E-05   8.17658688E-06   3.02625435E-07   2.42765424E-05  
  76               1.32568876E+01   1.34618317E+03   8.38260043E-01   1.60415612E-01   6.91819190E-04   4.41177389E-04   8.99398742E-05   7.86671036E-06   5.63288365E-07   2.42730967E-05  
  77               1.51244550E+01   1.39147585E+03   8.38298791E-01   1.60405983E-01   6.62333396E-04   4.11443927E-04   1.19618097E-04   7.63366767E-06   1.01215690E-06   2.42683434E-05  
  78               1.72638140E+01   1.43645017E+03   8.38338327E-01   1.60396063E-01   6.31976629E-04   3.80842108E-04   1.50159094E-04   7.49206423E-06   1.73882206E-06   2.42617377E-05  
  79               1.97172453E+01   1.48294745E+03   8.38379049E-01   1.60385643E-01   6.00304498E-04   3.48841781E-04   1.82089332E-04   7.38940563E-06   2.93424133E-06   2.42508301E-05  
  80               2.25170122E+01   1.52987142E+03   8.38417050E-01   1.60375461E-01   5.69855409E-04   3.17998521E-04   2.12854612E-04   7.34221559E-06   4.80353665E-06   2.42294547E-05  
  81               2.56792255E+01   1.57892040E+03   8.38452752E-01   1.60364921E-01   5.39679776E-04   2.86947521E-04   2.43813115E-04   7.30405231E-06   7.79329158E-06   2.41755780E-05  
  82               2.91952485E+01   1.62880368E+03   8.38469548E-01   1.60352078E-01   5.12523963E-04   2.57435272E-04   2.73210622E-04   7.28800924E-06   1.23617998E-05   2.40273674E-05  
