# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               H2S             
  60               5.61209965E+00   1.37584750E+03   8.38532099E-01   1.60349139E-01   1.33342059E-06   4.88001307E-04   2.36661087E-04   2.94170426E-04   5.92740275E-05   2.42556102E-05  
  61               6.87932757E+00   1.42630514E+03   8.38570440E-01   1.60339353E-01   2.41019338E-06   4.58100266E-04   2.06506491E-04   3.24275567E-04   5.92162719E-05   2.42444558E-05  
  62               8.41153643E+00   1.48149078E+03   8.38607131E-01   1.60329402E-01   4.41324187E-06   4.28424355E-04   1.76411583E-04   3.54311752E-04   5.91624827E-05   2.42169248E-05  
  63               1.02353160E+01   1.53231655E+03   8.38627961E-01   1.60322402E-01   7.32951240E-06   4.09275632E-04   1.56436323E-04   3.74231514E-04   5.90739454E-05   2.41493191E-05  
  64               1.23586461E+01   1.58767275E+03   8.38632902E-01   1.60312240E-01   1.23490679E-05   3.90925605E-04   1.35294586E-04   3.95294478E-04   5.89947895E-05   2.39231139E-05  
  65               1.47458014E+01   1.63866188E+03   8.38631495E-01   1.60305830E-01   1.92279804E-05   3.92437824E-04   1.17314644E-04   4.13204308E-04   5.88987983E-05   2.24969251E-05  
  66               1.73540212E+01   1.69496827E+03   8.38636579E-01   1.60298852E-01   3.07176749E-05   3.77986042E-04   1.00780149E-04   4.29649348E-04   5.88269566E-05   2.24280972E-05  
  67               2.01260245E+01   1.74778398E+03   8.38620346E-01   1.60290981E-01   4.62857462E-05   3.72103285E-04   8.72513899E-05   4.43080879E-04   5.87498238E-05   2.22492098E-05  
  68               2.28685864E+01   1.80770587E+03   8.38555226E-01   1.60275740E-01   7.27062155E-05   3.82415179E-04   6.81246607E-05   4.62091412E-04   5.87248847E-05   2.16719691E-05  
  69               2.53304169E+01   1.85668644E+03   8.38452809E-01   1.60261743E-01   1.02751416E-04   4.28589506E-04   5.18443445E-05   4.78303817E-04   5.87078856E-05   2.07855905E-05  
  70               2.73959105E+01   1.89493158E+03   8.38432464E-01   1.60257564E-01   1.32832719E-04   4.23015359E-04   4.62323814E-05   4.83847471E-04   5.86799739E-05   2.07744862E-05  
  71               2.97358383E+01   1.93546050E+03   8.38392942E-01   1.60250967E-01   1.72289514E-04   4.18039019E-04   4.12217866E-05   4.88773456E-04   5.86444788E-05   2.07596043E-05  
  72               3.17269267E+01   1.96799302E+03   8.38362230E-01   1.60246833E-01   2.10527461E-04   4.14621006E-04   3.77717859E-05   4.92155446E-04   5.86130828E-05   2.07447686E-05  
  73               3.33313936E+01   1.99293732E+03   8.38334170E-01   1.60243401E-01   2.44303174E-04   4.12311634E-04   3.54358586E-05   4.94435698E-04   5.85864707E-05   2.07312694E-05  
  74               3.51988637E+01   2.02085735E+03   8.38297694E-01   1.60239231E-01   2.87236453E-04   4.09988135E-04   3.30788181E-05   4.96726674E-04   5.85548146E-05   2.07134672E-05  
  75               3.73572285E+01   2.05151890E+03   8.38219082E-01   1.60228109E-01   3.41175262E-04   4.07731212E-04   3.07916539E-05   4.98915897E-04   5.85145166E-05   2.06898062E-05  
  76               3.89617478E+01   2.07349620E+03   8.38180860E-01   1.60224193E-01   3.84704589E-04   4.06294923E-04   2.93021719E-05   5.00346390E-04   5.84860111E-05   2.06709458E-05  
  77               4.01225885E+01   2.08883112E+03   8.38151807E-01   1.60221268E-01   4.17594034E-04   4.05356976E-04   2.83494822E-05   5.01255797E-04   5.84647162E-05   2.06565061E-05  
  78               4.15075556E+01   2.10682134E+03   8.38114939E-01   1.60217620E-01   4.59084379E-04   4.04342076E-04   2.72847847E-05   5.02267973E-04   5.84395023E-05   2.06381783E-05  
  79               4.31511039E+01   2.12735715E+03   8.38069212E-01   1.60213185E-01   5.10321002E-04   4.03253387E-04   2.61745672E-05   5.03315088E-04   5.84086930E-05   2.06153563E-05  
  80               4.50945715E+01   2.15101865E+03   8.38011217E-01   1.60207651E-01   5.75002434E-04   4.02086952E-04   2.49823011E-05   5.04431038E-04   5.83723482E-05   2.05862629E-05  
  81               4.73801740E+01   2.17756660E+03   8.37939116E-01   1.60200892E-01   6.55013458E-04   4.00918983E-04   2.37830778E-05   5.05538942E-04   5.83284675E-05   2.05504704E-05  
  82               5.00535555E+01   2.20753595E+03   8.37847943E-01   1.60192463E-01   7.55798381E-04   3.99720536E-04   2.25469834E-05   5.06665198E-04   5.82771317E-05   2.05053671E-05  
