# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              CO               H                H2S             
  62               1.47541183E+00   6.03703396E+02   8.38080495E-01   1.60461427E-01   5.31337351E-04   7.79962575E-04   1.08982716E-04   2.18907351E-13   4.54850968E-17   2.29800528E-05  
  63               1.72159007E+00   6.32073317E+02   8.38085543E-01   1.60460203E-01   5.31333297E-04   7.79956789E-04   1.01354660E-04   1.13332363E-12   3.00977462E-16   2.29798775E-05  
  64               2.01685912E+00   6.62769406E+02   8.38092071E-01   1.60458620E-01   5.31328050E-04   7.79949472E-04   9.14900317E-05   5.70056171E-12   1.93508976E-15   2.29796508E-05  
  65               2.37377844E+00   6.95642397E+02   8.38099425E-01   1.60456835E-01   5.31322117E-04   7.79941626E-04   8.03708930E-05   2.71617109E-11   1.18000432E-14   2.29793952E-05  
  66               2.80581331E+00   7.31262736E+02   8.38107018E-01   1.60454987E-01   5.31315895E-04   7.79934412E-04   6.88704950E-05   1.24935274E-10   6.95347509E-14   2.29791304E-05  
  67               3.32541633E+00   7.68989997E+02   8.38113853E-01   1.60453247E-01   5.31309722E-04   7.79929417E-04   5.82546104E-05   5.32316457E-10   3.79262378E-13   2.29788811E-05  
  68               3.94406081E+00   8.09014820E+02   8.38119800E-01   1.60451702E-01   5.31303009E-04   7.79927934E-04   4.89103500E-05   2.11765074E-09   1.92549937E-12   2.29786595E-05  
  69               4.67341557E+00   8.50494207E+02   8.38124867E-01   1.60450465E-01   5.31293390E-04   7.79930372E-04   4.12295245E-05   7.61527890E-09   8.79728032E-12   2.29784813E-05  
  70               5.52209105E+00   8.93497437E+02   8.38128967E-01   1.60449446E-01   5.31272519E-04   7.79931871E-04   3.49688291E-05   2.50594623E-08   3.65428192E-11   2.29879783E-05  
  71               6.49521274E+00   9.36951660E+02   8.38132059E-01   1.60448616E-01   5.31221076E-04   7.79916042E-04   3.00775282E-05   7.36446163E-08   1.34507818E-10   2.30240202E-05  
  72               7.59754775E+00   9.81030170E+02   8.38134151E-01   1.60447858E-01   5.31094717E-04   7.79840712E-04   2.61864675E-05   1.97281452E-07   4.47458755E-10   2.31568391E-05  
  73               8.83951891E+00   1.02507305E+03   8.38135100E-01   1.60447097E-01   5.30810796E-04   7.79621651E-04   2.31575441E-05   4.78275653E-07   1.33747132E-09   2.35816932E-05  
  74               1.02322364E+01   1.06959559E+03   8.38136125E-01   1.60446394E-01   5.30210614E-04   7.79115535E-04   2.07183118E-05   1.07538838E-06   3.68496879E-09   2.42835479E-05  
  75               1.17867846E+01   1.11394601E+03   8.38138767E-01   1.60445703E-01   5.29055612E-04   7.78116512E-04   1.87974893E-05   2.22681177E-06   9.30660612E-09   2.42833077E-05  
  76               1.35158618E+01   1.15868196E+03   8.38142405E-01   1.60444758E-01   5.26945186E-04   7.76190687E-04   1.72269726E-05   4.33191238E-06   2.20167896E-08   2.42829237E-05  
  77               1.54369620E+01   1.20328821E+03   8.38147695E-01   1.60443401E-01   5.23398928E-04   7.72851374E-04   1.59739638E-05   7.87012599E-06   4.86322179E-08   2.42823147E-05  
  78               1.75775287E+01   1.24856901E+03   8.38155683E-01   1.60441374E-01   5.17667840E-04   7.67347969E-04   1.49302545E-05   1.35888232E-05   1.02448652E-07   2.42813458E-05  
  79               1.99671742E+01   1.29411708E+03   8.38167241E-01   1.60438459E-01   5.09085933E-04   7.59004987E-04   1.40870578E-05   2.21524231E-05   2.05206978E-07   2.42798650E-05  
  80               2.26356501E+01   1.34057201E+03   8.38183557E-01   1.60434357E-01   4.96760111E-04   7.46926671E-04   1.33794939E-05   3.44516495E-05   3.96412985E-07   2.42776263E-05  
  81               2.56121501E+01   1.38739533E+03   8.38204914E-01   1.60428983E-01   4.80436070E-04   7.30850666E-04   1.28108006E-05   5.07392290E-05   7.34648118E-07   2.42743546E-05  
