# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                CO               H2S             
  72               4.60695572E+01   1.37569513E+03   8.38151862E-01   1.60442012E-01   7.66076667E-04   5.15885245E-04   2.28652923E-05   4.99170969E-07   1.53608728E-05   2.42784668E-05  
  73               5.17200289E+01   1.41376461E+03   8.38158095E-01   1.60440347E-01   7.61321280E-04   5.10955968E-04   2.25791749E-05   7.88809138E-07   2.02732281E-05   2.42763457E-05  
  74               5.79384662E+01   1.45189320E+03   8.38165900E-01   1.60438242E-01   7.55250448E-04   5.04697760E-04   2.22985709E-05   1.23792223E-06   2.65081817E-05   2.42732816E-05  
  75               6.47670901E+01   1.49216112E+03   8.38175092E-01   1.60435672E-01   7.47858902E-04   4.97093983E-04   2.20613506E-05   1.91490211E-06   3.40808371E-05   2.42686949E-05  
  76               7.22759811E+01   1.53283269E+03   8.38186089E-01   1.60432514E-01   7.38895295E-04   4.87744064E-04   2.18258716E-05   2.94556081E-06   4.33884983E-05   2.42556896E-05  
  77               8.05138016E+01   1.57574546E+03   8.38198490E-01   1.60428741E-01   7.28290149E-04   4.76747647E-04   2.16245815E-05   4.47437213E-06   5.43289178E-05   2.42415168E-05  
  78               8.94962497E+01   1.61923075E+03   8.38207292E-01   1.60423216E-01   7.15909413E-04   4.63663851E-04   2.14156103E-05   6.76256156E-06   6.73344005E-05   2.42113921E-05  
  79               9.91905350E+01   1.66509401E+03   8.38211751E-01   1.60416838E-01   7.07818892E-04   4.48231462E-04   2.12299273E-05   1.00660749E-05   8.26661604E-05   2.38919889E-05  
  80               1.09537745E+02   1.71068962E+03   8.38216597E-01   1.60409982E-01   6.98583195E-04   4.31566698E-04   2.10786291E-05   1.46542846E-05   9.92067756E-05   2.35717132E-05  
  81               1.20496721E+02   1.75501359E+03   8.38225610E-01   1.60403880E-01   6.88943340E-04   4.14531504E-04   2.09935802E-05   2.07852056E-05   1.16097395E-04   2.32621310E-05  
  82               1.32003095E+02   1.79857164E+03   8.38236729E-01   1.60397739E-01   6.74089120E-04   3.98264081E-04   2.09756817E-05   2.87423591E-05   1.32195934E-04   2.32358255E-05  
  83               1.44162688E+02   1.84107917E+03   8.38241236E-01   1.60391020E-01   6.61323613E-04   3.82107748E-04   2.10067161E-05   3.88975135E-05   1.48155450E-04   2.31809172E-05  
  84               1.56896986E+02   1.88289623E+03   8.38235000E-01   1.60383390E-01   6.52765938E-04   3.66090323E-04   2.10867280E-05   5.14784113E-05   1.63948975E-04   2.30737678E-05  
