# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               N2              
  76               1.96253309E+00   3.41824181E+03   5.93205993E-01   2.66899669E-01   1.38848722E-01   4.59695254E-04   2.66697020E-04   5.63109571E-05   4.79423271E-05   4.71998416E-05  
  77               2.23863762E+00   3.46456834E+03   5.84402994E-01   2.76473653E-01   1.38080892E-01   4.57144563E-04   2.61018886E-04   5.58926409E-05   4.76615902E-05   4.53205293E-05  
  78               2.55211933E+00   3.51014312E+03   5.76272709E-01   2.85315498E-01   1.37371686E-01   4.54786441E-04   2.55669094E-04   5.54925438E-05   4.74001722E-05   4.31503984E-05  
  79               2.90817776E+00   3.55782538E+03   5.67468236E-01   2.94890193E-01   1.36603628E-01   4.52231393E-04   2.49840502E-04   5.50638598E-05   4.71175021E-05   4.04445927E-05  
  80               3.31272288E+00   3.60493908E+03   5.59305322E-01   3.03766569E-01   1.35891471E-01   4.49859224E-04   2.44337305E-04   5.46515473E-05   4.68530593E-05   3.73702202E-05  
  81               3.77255934E+00   3.65435518E+03   5.50441068E-01   3.13405240E-01   1.35118082E-01   4.47281286E-04   2.38330740E-04   5.42093689E-05   4.65664407E-05   3.36602951E-05  
  82               4.29546160E+00   3.70335484E+03   5.42202068E-01   3.22363371E-01   1.34399178E-01   4.44880498E-04   2.32651308E-04   5.37821869E-05   4.62973892E-05   2.96211909E-05  
  83               4.89042746E+00   3.75479570E+03   5.33270108E-01   3.32074785E-01   1.33619778E-01   4.42274846E-04   2.26464222E-04   5.33250692E-05   4.60062969E-05   2.50544834E-05  
  84               5.56778915E+00   3.80590705E+03   5.24981683E-01   3.41086074E-01   1.32896486E-01   4.39849991E-04   2.20625202E-04   5.28826475E-05   4.57331270E-05   2.04775460E-05  
  85               6.33949258E+00   3.85970307E+03   5.15970268E-01   3.50883743E-01   1.32110115E-01   4.37208953E-04   2.14249311E-04   5.24089122E-05   4.54368921E-05   1.58268616E-05  
  86               7.21927271E+00   3.91329702E+03   5.07605171E-01   3.59978798E-01   1.31380145E-01   4.34746397E-04   2.08230955E-04   5.19489676E-05   4.51584459E-05   1.17343524E-05  
  87               8.22307279E+00   3.96982756E+03   4.98495920E-01   3.69883818E-01   1.30585298E-01   4.32056369E-04   2.01653536E-04   5.14566551E-05   4.48561649E-05   8.16109090E-06  
