# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H                CO               H2S             
  85               2.28300195E+02   1.84230354E+03   8.38156387E-01   1.60416680E-01   4.52531839E-04   7.28195611E-04   3.14133102E-05   3.05195838E-05   7.79562920E-05   2.33299609E-05  
  86               2.53788317E+02   1.89392406E+03   8.38150660E-01   1.60410393E-01   4.39617303E-04   7.19705240E-04   3.16010491E-05   4.33029216E-05   9.06108827E-05   2.32729399E-05  
  87               2.80872161E+02   1.94420936E+03   8.38128953E-01   1.60402570E-01   4.26225842E-04   7.17694222E-04   3.18788562E-05   5.97173650E-05   1.03689965E-04   2.31358313E-05  
  88               3.09027237E+02   1.99270008E+03   8.38074917E-01   1.60390944E-01   4.11727216E-04   7.27408824E-04   3.22085652E-05   8.00899717E-05   1.17821501E-04   2.28698951E-05  
  89               3.40311721E+02   2.04239431E+03   8.37977780E-01   1.60376552E-01   3.92647406E-04   7.69216211E-04   3.26240164E-05   1.06499222E-04   1.36475678E-04   2.23034450E-05  
  90               3.72539799E+02   2.08998656E+03   8.37962951E-01   1.60370611E-01   3.81237514E-04   7.58287962E-04   3.30824300E-05   1.38023878E-04   1.47414992E-04   2.22884704E-05  
  91               4.04571966E+02   2.13395293E+03   8.37942665E-01   1.60364815E-01   3.71244461E-04   7.48803510E-04   3.35648603E-05   1.73404774E-04   1.56907435E-04   2.22707421E-05  
  92               4.41152784E+02   2.18097812E+03   8.37900843E-01   1.60355849E-01   3.61076869E-04   7.39252166E-04   3.41248490E-05   2.18915678E-04   1.66455063E-04   2.22471502E-05  
  93               4.74433766E+02   2.22084045E+03   8.37868477E-01   1.60349932E-01   3.53036563E-04   7.31809894E-04   3.46525620E-05   2.64426737E-04   1.73909856E-04   2.22243742E-05  
  94               5.02314607E+02   2.25269287E+03   8.37837480E-01   1.60344856E-01   3.46878599E-04   7.26183195E-04   3.50910550E-05   3.05927285E-04   1.79552385E-04   2.22038588E-05  
  95               5.34937360E+02   2.28794932E+03   8.37795271E-01   1.60338553E-01   3.40481852E-04   7.20464726E-04   3.56141820E-05   3.57550493E-04   1.85325946E-04   2.21792242E-05  
  96               5.72995977E+02   2.32707684E+03   8.37736876E-01   1.60331225E-01   3.33021151E-04   7.18830737E-04   3.62177464E-05   4.22559741E-04   1.92040747E-04   2.21578628E-05  
  97               6.17423904E+02   2.36989133E+03   8.37639807E-01   1.60317234E-01   3.26189554E-04   7.13107207E-04   3.69262670E-05   5.03634660E-04   1.97942152E-04   2.21214226E-05  
  98               6.55428283E+02   2.40474982E+03   8.37576527E-01   1.60310044E-01   3.20927903E-04   7.08824584E-04   3.75197670E-05   5.78142143E-04   2.02392353E-04   2.20897496E-05  
  99               6.86641659E+02   2.43198665E+03   8.37521672E-01   1.60303987E-01   3.17107820E-04   7.05811027E-04   3.80097137E-05   6.41868916E-04   2.05532736E-04   2.20637279E-05  
  100              7.23930721E+02   2.46341043E+03   8.37452071E-01   1.60296540E-01   3.12867531E-04   7.02549288E-04   3.85824057E-05   7.21951422E-04   2.08937204E-04   2.20318927E-05  
  101              7.68256516E+02   2.49880446E+03   8.37365186E-01   1.60287613E-01   3.08478474E-04   6.99326550E-04   3.92634720E-05   8.20718016E-04   2.12316325E-04   2.19943799E-05  
