# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               O-3P             Fe              
  76               2.34005353E-01   3.42632795E+03   3.12704044E-01   5.72038956E-01   1.14384001E-01   3.78729911E-04   1.01269409E-04   4.73515007E-05   9.16307247E-05   3.96189144E-05  
  77               2.60246053E-01   3.46000950E+03   3.05377693E-01   5.80006422E-01   1.13744640E-01   3.76610355E-04   9.61973327E-05   4.70705895E-05   9.54227121E-05   3.93951675E-05  
  78               2.89292536E-01   3.49171039E+03   2.99716004E-01   5.86162955E-01   1.13250491E-01   3.74971144E-04   9.22179219E-05   4.68485270E-05   9.85107725E-05   3.92215513E-05  
  79               3.21460997E-01   3.52620503E+03   2.92622063E-01   5.93877134E-01   1.12631378E-01   3.72917212E-04   8.74783860E-05   4.65749457E-05   1.02314305E-04   3.90046403E-05  
  80               3.57099852E-01   3.55892248E+03   2.87034372E-01   5.99952800E-01   1.12143665E-01   3.71297691E-04   8.37094420E-05   4.63543714E-05   1.05462173E-04   3.88330559E-05  
  81               3.96604781E-01   3.59439481E+03   2.80146655E-01   6.07442373E-01   1.11542535E-01   3.69301184E-04   7.92884439E-05   4.60870615E-05   1.09276155E-04   3.86221744E-05  
  82               4.40411767E-01   3.62837357E+03   2.74568633E-01   6.13507392E-01   1.11055672E-01   3.67681998E-04   7.56969765E-05   4.58655810E-05   1.12506526E-04   3.84506683E-05  
  83               4.89014468E-01   3.66511802E+03   2.67792153E-01   6.20876017E-01   1.10464271E-01   3.65714446E-04   7.15408732E-05   4.56010613E-05   1.16362988E-04   3.82429409E-05  
  84               5.42956768E-01   3.70077570E+03   2.62077030E-01   6.27090375E-01   1.09965486E-01   3.64051861E-04   6.80532054E-05   4.53734052E-05   1.19738655E-04   3.80670824E-05  
  85               6.02853106E-01   3.73923598E+03   2.55256847E-01   6.34506942E-01   1.09370332E-01   3.62066662E-04   6.40836601E-05   4.51061350E-05   1.23699235E-04   3.78578349E-05  
  86               6.69383997E-01   3.77687415E+03   2.49353963E-01   6.40926032E-01   1.08855234E-01   3.60343704E-04   6.06868898E-05   4.48704960E-05   1.27233711E-04   3.76760953E-05  
  87               7.43317157E-01   3.81723649E+03   2.42504331E-01   6.48375231E-01   1.08257589E-01   3.58341834E-04   5.69207425E-05   4.46009482E-05   1.31271898E-04   3.74657496E-05  
  88               8.25505455E-01   3.85674744E+03   2.36587771E-01   6.54809760E-01   1.07741371E-01   3.56605030E-04   5.37127456E-05   4.43634135E-05   1.34857401E-04   3.72833569E-05  
  89               9.16904631E-01   3.89891098E+03   2.29864423E-01   6.62122129E-01   1.07154813E-01   3.54626503E-04   5.02275425E-05   4.40969823E-05   1.38865974E-04   3.70765781E-05  
  90               1.01857144E+00   3.94024617E+03   2.24051149E-01   6.68444734E-01   1.06647663E-01   3.52903609E-04   4.72626590E-05   4.38615546E-05   1.42414470E-04   3.68970235E-05  
  91               1.13167743E+00   3.98449892E+03   2.17403069E-01   6.75675589E-01   1.06067724E-01   3.50925296E-04   4.40303177E-05   4.35963808E-05   1.46386327E-04   3.66922512E-05  
  92               1.25750976E+00   4.02818637E+03   2.11536308E-01   6.82056648E-01   1.05555952E-01   3.49160300E-04   4.12390223E-05   4.33575642E-05   1.49947606E-04   3.65108022E-05  
  93               1.39748107E+00   4.07522304E+03   2.04757473E-01   6.89429961E-01   1.04964650E-01   3.47107514E-04   3.81778820E-05   4.30865547E-05   1.53955821E-04   3.63018408E-05  
  94               1.55313340E+00   4.12180028E+03   1.98719042E-01   6.95997925E-01   1.04437940E-01   3.45247306E-04   3.55257549E-05   4.28403936E-05   1.57562146E-04   3.61149534E-05  
  95               1.72613433E+00   4.17202950E+03   1.91772683E-01   7.03553601E-01   1.03832063E-01   3.43083148E-04   3.26419065E-05   4.25625257E-05   1.61598218E-04   3.59007207E-05  
  96               1.91828094E+00   4.22191154E+03   1.85528280E-01   7.10345713E-01   1.03287420E-01   3.41084358E-04   3.01392112E-05   4.23081568E-05   1.65247611E-04   3.57073978E-05  
  97               2.13148051E+00   4.27515970E+03   1.78607335E-01   7.17873796E-01   1.02683790E-01   3.38821502E-04   2.75219818E-05   4.20303864E-05   1.69204345E-04   3.54937133E-05  
  98               2.36776340E+00   4.32773295E+03   1.72485854E-01   7.24532203E-01   1.02149893E-01   3.36728525E-04   2.52969584E-05   4.17793684E-05   1.72738074E-04   3.53038415E-05  
  99               2.62923662E+00   4.38355760E+03   1.65812388E-01   7.31791034E-01   1.01567870E-01   3.34363995E-04   2.30160974E-05   4.15095358E-05   1.76532926E-04   3.50973820E-05  
  100              2.91809484E+00   4.43912165E+03   1.59762324E-01   7.38371657E-01   1.01040221E-01   3.32073032E-04   2.10453233E-05   4.12604948E-05   1.80026733E-04   3.49094623E-05  
  101              3.23652671E+00   4.49849274E+03   1.53077358E-01   7.45642815E-01   1.00457212E-01   3.29403780E-04   1.90130735E-05   4.09903992E-05   1.83869456E-04   3.47025530E-05  
