# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               NH3              N2              
  73               4.53972962E+01   1.83135741E+03   8.38487012E-01   1.60308393E-01   4.51296097E-04   6.26701229E-05   1.52817555E-04   3.77248311E-04   7.18727698E-06   5.70219060E-05  
  74               5.06684956E+01   1.88578881E+03   8.38414236E-01   1.60291007E-01   4.69330463E-04   9.10978123E-05   1.27181958E-04   4.02704947E-04   7.21876134E-06   5.69729755E-05  
  75               5.55546583E+01   1.93013317E+03   8.38355444E-01   1.60279724E-01   4.86953601E-04   1.21241603E-04   1.10198585E-04   4.19549654E-04   7.29495544E-06   5.69095100E-05  
  76               5.98860731E+01   1.96894546E+03   8.38337036E-01   1.60274185E-01   4.77886486E-04   1.54263971E-04   1.00996716E-04   4.28605018E-04   7.34557602E-06   5.68538178E-05  
  77               6.47996410E+01   2.00800374E+03   8.38300526E-01   1.60266812E-01   4.70471252E-04   1.94165460E-04   9.34431979E-05   4.35990112E-04   7.44035711E-06   5.67729757E-05  
  78               6.90690097E+01   2.04197639E+03   8.38270348E-01   1.60261524E-01   4.64298614E-04   2.35793394E-04   8.71378145E-05   4.42145314E-04   7.50450534E-06   5.67111642E-05  
  79               7.26076488E+01   2.06695913E+03   8.38243385E-01   1.60257597E-01   4.60629015E-04   2.70319295E-04   8.33628974E-05   4.45799766E-04   7.58316126E-06   5.66485614E-05  
  80               7.67336248E+01   2.09704878E+03   8.38205585E-01   1.60252351E-01   4.56107176E-04   3.17858033E-04   7.87058086E-05   4.50306739E-04   7.65222511E-06   5.65853679E-05  
  81               8.15132291E+01   2.12814076E+03   8.38127929E-01   1.60240666E-01   4.52330251E-04   3.73067571E-04   7.47857843E-05   4.54036958E-04   7.75939755E-06   5.64978843E-05  
  82               8.51195936E+01   2.15236429E+03   8.38086912E-01   1.60235835E-01   4.49321829E-04   4.21880060E-04   7.16284526E-05   4.57058099E-04   7.82253054E-06   5.64412407E-05  
  83               8.77595251E+01   2.16791480E+03   8.38058280E-01   1.60232705E-01   4.47813645E-04   4.55134178E-04   7.00463073E-05   4.58544993E-04   7.88768362E-06   5.63914940E-05  
  84               9.09159821E+01   2.18808818E+03   8.38017831E-01   1.60228215E-01   4.45551250E-04   5.02331743E-04   6.76887929E-05   4.60779705E-04   7.94382138E-06   5.63413330E-05  
  85               9.46710185E+01   2.20931677E+03   8.37971677E-01   1.60223415E-01   4.43696129E-04   5.55121125E-04   6.57251079E-05   4.62602954E-04   8.03320178E-06   5.62718953E-05  
  86               9.91151891E+01   2.23552901E+03   8.37908463E-01   1.60216857E-01   4.41221039E-04   6.27358050E-04   6.31142498E-05   4.65037426E-04   8.11900320E-06   5.61981545E-05  
  87               1.04347159E+02   2.26325311E+03   8.37834734E-01   1.60209574E-01   4.39160271E-04   7.10405807E-04   6.08961825E-05   4.67051823E-04   8.24112510E-06   5.61022619E-05  
  88               1.10475173E+02   2.29610992E+03   8.37734292E-01   1.60199567E-01   4.36661671E-04   8.20975112E-04   5.82052388E-05   4.69490678E-04   8.36618991E-06   5.59972395E-05  
  89               1.17616218E+02   2.33069964E+03   8.37611253E-01   1.60188325E-01   4.39804167E-04   9.49843743E-04   5.53505556E-05   4.72085596E-04   8.53190279E-06   5.58727138E-05  
  90               1.25900529E+02   2.37045732E+03   8.37459094E-01   1.60174121E-01   4.37660267E-04   1.11829113E-03   5.27739452E-05   4.74313485E-04   8.70632500E-06   5.57289921E-05  
  91               1.35471336E+02   2.41193047E+03   8.37279899E-01   1.60157792E-01   4.36015239E-04   1.31539368E-03   5.06619992E-05   4.76020685E-04   8.92591551E-06   5.55552811E-05  
  92               1.46488072E+02   2.45839613E+03   8.37049373E-01   1.60136947E-01   4.34267230E-04   1.56845925E-03   4.83838538E-05   4.77811505E-04   9.16114869E-06   5.53621866E-05  
  93               1.59127802E+02   2.50643772E+03   8.36778965E-01   1.60112872E-01   4.33049823E-04   1.86410105E-03   4.65829976E-05   4.79046617E-04   9.44638564E-06   5.51342893E-05  
  94               1.73597477E+02   2.55915231E+03   8.36437706E-01   1.60082639E-01   4.31865407E-04   2.23673136E-03   4.47276596E-05   4.80225789E-04   9.75465707E-06   5.48803545E-05  
  95               1.90139190E+02   2.61330493E+03   8.36040006E-01   1.60047739E-01   4.31233749E-04   2.66991034E-03   4.33336987E-05   4.80834220E-04   1.01185756E-05   5.45856242E-05  
  96               2.09037490E+02   2.67181294E+03   8.35547312E-01   1.60004625E-01   4.30756546E-04   3.20615362E-03   4.19595897E-05   4.81273980E-04   1.05142959E-05   5.42565109E-05  
  97               2.30624153E+02   2.73169368E+03   8.34977609E-01   1.59955053E-01   4.30857846E-04   3.82527330E-03   4.10117181E-05   4.81135273E-04   1.09724937E-05   5.38789203E-05  
  98               2.55292080E+02   2.79562023E+03   8.34284964E-01   1.59894876E-01   4.31236551E-04   4.57766829E-03   4.01332370E-05   4.80726319E-04   1.14729571E-05   5.34564561E-05  
  99               2.83501074E+02   2.86105010E+03   8.33489272E-01   1.59825974E-01   4.32227456E-04   5.44120605E-03   3.96270920E-05   4.79733063E-04   1.20432878E-05   5.29758116E-05  
  100              3.15793216E+02   2.93011407E+03   8.32542363E-01   1.59744054E-01   4.33645332E-04   6.46854496E-03   3.92392079E-05   4.78352341E-04   1.26693045E-05   5.24366072E-05  
  101              3.52797418E+02   3.00089688E+03   8.31462615E-01   1.59650823E-01   4.35736378E-04   7.63933087E-03   3.91711327E-05   4.76359704E-04   1.33737458E-05   5.18262967E-05  
