# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CH4              CO               N2               Mg              
  87               2.63007749E+01   2.26952756E+03   8.37223763E-01   1.60129456E-01   1.46264247E-03   3.81244392E-04   4.83477143E-06   5.24768275E-04   5.94907782E-05   6.15868227E-05  
  88               2.79772334E+01   2.30367117E+03   8.37007610E-01   1.60110335E-01   1.69585169E-03   3.80953453E-04   4.59164219E-06   5.24903077E-04   5.94507506E-05   6.13514434E-05  
  89               2.98319598E+01   2.33898062E+03   8.36751895E-01   1.60088507E-01   1.96522897E-03   3.86811101E-04   4.31004866E-06   5.25071779E-04   5.94085226E-05   6.10995389E-05  
  90               3.18805488E+01   2.37619039E+03   8.36458954E-01   1.60062929E-01   2.28388704E-03   3.86671927E-04   4.11167462E-06   5.25129449E-04   5.93583643E-05   6.08285182E-05  
  91               3.41404432E+01   2.41435778E+03   8.36123645E-01   1.60033674E-01   2.64858782E-03   3.86546610E-04   3.94305839E-06   5.25138167E-04   5.93017674E-05   6.05401587E-05  
  92               3.66300985E+01   2.45431563E+03   8.35730276E-01   1.59999368E-01   3.07641811E-03   3.86417353E-04   3.78660855E-06   5.25110082E-04   5.92389596E-05   6.02316155E-05  
  93               3.93696852E+01   2.49499468E+03   8.35284984E-01   1.59960553E-01   3.56067689E-03   3.86303588E-04   3.65863605E-06   5.25029805E-04   5.91685549E-05   5.99052732E-05  
  94               4.23818949E+01   2.53724435E+03   8.34769178E-01   1.59915604E-01   4.12160136E-03   3.86189518E-04   3.54323117E-06   5.24906720E-04   5.90905790E-05   5.95581608E-05  
  95               4.56923777E+01   2.58009136E+03   8.34190580E-01   1.59865199E-01   4.75076559E-03   3.86093613E-04   3.45321969E-06   5.24729092E-04   5.90037076E-05   5.91924892E-05  
  96               4.93298339E+01   2.62441102E+03   8.33526892E-01   1.59807390E-01   5.47243543E-03   3.86001754E-04   3.37447906E-06   5.24503097E-04   5.89076862E-05   5.88050735E-05  
  97               5.33263361E+01   2.66916333E+03   8.32790751E-01   1.59743287E-01   6.27283870E-03   3.85934763E-04   3.31946873E-06   5.24218439E-04   5.88011440E-05   5.83984719E-05  
  98               5.77175512E+01   2.71534360E+03   8.31953848E-01   1.59670415E-01   7.18277652E-03   3.85878325E-04   3.27425181E-06   5.23878916E-04   5.86835337E-05   5.79690402E-05  
  99               6.25429940E+01   2.76176143E+03   8.31037367E-01   1.59590629E-01   8.17917801E-03   3.85857511E-04   3.25213488E-06   5.23475425E-04   5.85534261E-05   5.75200342E-05  
  100              6.78454121E+01   2.80958962E+03   8.30004312E-01   1.59500700E-01   9.30228991E-03   3.85856636E-04   3.23847213E-06   5.23009412E-04   5.84098878E-05   5.70472450E-05  
  101              7.36714089E+01   2.85753876E+03   8.28885145E-01   1.59403291E-01   1.05189485E-02   3.85904260E-04   3.24682803E-06   5.22473708E-04   5.82514698E-05   5.65546294E-05  
