# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H2O(l)           Ar              
  69               7.40423336E+01   3.62103203E+02   8.38074986E-01   1.60463844E-01   5.31345354E-04   7.80834978E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
  70               8.39904139E+01   3.76101582E+02   8.38074986E-01   1.60463844E-01   5.31345354E-04   7.80834674E-04   1.21724007E-04   2.29800849E-05   0.00000000E+00   4.22061916E-06  
  71               9.52348487E+01   3.90423206E+02   8.38074973E-01   1.60463841E-01   5.31345346E-04   7.80834662E-04   1.21724005E-04   2.29800845E-05   0.00000000E+00   4.22061909E-06  
  72               1.07865536E+02   4.05313946E+02   8.38074987E-01   1.60463843E-01   5.31345350E-04   7.80818728E-04   1.21724006E-04   2.29800847E-05   0.00000000E+00   4.22061912E-06  
  73               1.21934598E+02   4.20344752E+02   8.38074987E-01   1.60463843E-01   5.31345350E-04   7.80818728E-04   1.21724006E-04   2.29800847E-05   0.00000000E+00   4.22061912E-06  
  74               1.37542392E+02   4.35817258E+02   8.38074987E-01   1.60463843E-01   5.31345350E-04   7.80818730E-04   1.21724006E-04   2.29800847E-05   0.00000000E+00   4.22061912E-06  
  75               1.54912793E+02   4.51450923E+02   8.38074987E-01   1.60463843E-01   5.31345350E-04   7.80818762E-04   1.21724005E-04   2.29800847E-05   0.00000000E+00   4.22061912E-06  
  76               1.74239845E+02   4.67625000E+02   8.38074986E-01   1.60463842E-01   5.31345350E-04   7.80819176E-04   1.21724003E-04   2.29800847E-05   0.00000000E+00   4.22061912E-06  
  77               1.95702923E+02   4.83957061E+02   8.38074841E-01   1.60463815E-01   5.31345260E-04   7.80823563E-04   1.21723980E-04   2.29800808E-05   0.00000000E+00   4.22061841E-06  
  78               2.19487344E+02   5.00813692E+02   8.38074863E-01   1.60463813E-01   5.31345253E-04   7.80710995E-04   1.21723973E-04   2.29800805E-05   0.00000000E+00   4.22061835E-06  
  79               2.45806940E+02   5.17799263E+02   8.38074176E-01   1.60463752E-01   5.31345051E-04   7.81078970E-04   1.21723918E-04   2.29800718E-05   0.00000000E+00   4.22061675E-06  
  80               2.75004316E+02   5.35374114E+02   8.38072656E-01   1.60463752E-01   5.31345051E-04   7.82599711E-04   1.21723904E-04   2.29800718E-05   0.00000000E+00   4.22061675E-06  
  81               3.07680414E+02   5.53295211E+02   8.38072656E-01   1.60463752E-01   5.31345051E-04   7.82599711E-04   1.21723881E-04   2.29800718E-05   0.00000000E+00   4.22061675E-06  
  82               3.44363981E+02   5.72050394E+02   8.38072115E-01   1.60463649E-01   5.31344708E-04   7.82599206E-04   1.21723765E-04   2.29800570E-05   0.00000000E+00   4.22061402E-06  
  83               3.85503429E+02   5.91193457E+02   8.38072708E-01   1.60463700E-01   5.31344879E-04   7.81954436E-04   1.21723748E-04   2.29800644E-05   0.00000000E+00   4.22061538E-06  
  84               4.31472336E+02   6.11118040E+02   8.38072708E-01   1.60463700E-01   5.31344879E-04   7.81954437E-04   1.21723660E-04   2.29800644E-05   0.00000000E+00   4.22061538E-06  
  85               4.82581618E+02   6.31255266E+02   8.38072708E-01   1.60463700E-01   5.31344879E-04   7.81954439E-04   1.21723534E-04   2.29800644E-05   0.00000000E+00   4.22061538E-06  
  86               5.38487116E+02   6.51805563E+02   8.38070313E-01   1.60463242E-01   5.31343360E-04   7.81952207E-04   1.21723005E-04   2.29799987E-05   0.00000000E+00   4.22060332E-06  
  87               5.99379670E+02   6.72176347E+02   8.38072940E-01   1.60463471E-01   5.31344118E-04   7.79095588E-04   1.21722935E-04   2.29800315E-05   0.00000000E+00   4.22060935E-06  
  88               6.67244811E+02   6.93419440E+02   8.38072940E-01   1.60463471E-01   5.31344117E-04   7.79095623E-04   1.21722592E-04   2.29800315E-05   0.00000000E+00   4.22060935E-06  
  89               7.44472395E+02   7.15392601E+02   8.38072940E-01   1.60463471E-01   5.31344116E-04   7.79095679E-04   1.21722130E-04   2.29800315E-05   0.00000000E+00   4.22060935E-06  
  90               8.34239784E+02   7.39204089E+02   8.38072940E-01   1.60463471E-01   5.31344114E-04   7.79095773E-04   1.21721472E-04   2.29800315E-05   0.00000000E+00   4.22060934E-06  
  91               9.41137769E+02   7.64807327E+02   8.38072940E-01   1.60463471E-01   5.31344110E-04   7.79095931E-04   1.21720566E-04   2.29800314E-05   0.00000000E+00   4.22060934E-06  
  92               1.07260586E+03   7.93812597E+02   8.38072941E-01   1.60463470E-01   5.31344105E-04   7.79096211E-04   1.21719231E-04   2.29800314E-05   0.00000000E+00   4.22060933E-06  
  93               1.23779976E+03   8.26291234E+02   8.38072940E-01   1.60463470E-01   5.31344097E-04   7.79096708E-04   1.21717327E-04   2.29800313E-05   0.00000000E+00   4.22060931E-06  
  94               1.44615181E+03   8.63284170E+02   8.38072936E-01   1.60463468E-01   5.31344081E-04   7.79097610E-04   1.21714531E-04   2.29800310E-05   0.00000000E+00   4.22060928E-06  
  95               1.70890674E+03   9.04176727E+02   8.38072922E-01   1.60463465E-01   5.31344052E-04   7.79099190E-04   1.21710672E-04   2.29800302E-05   0.00000000E+00   4.22060918E-06  
  96               2.03823723E+03   9.49632037E+02   8.38072840E-01   1.60463448E-01   5.31343967E-04   7.79101838E-04   1.21705324E-04   2.29800273E-05   0.00000000E+00   4.22060873E-06  
  97               2.44771535E+03   9.98557685E+02   8.38072694E-01   1.60463418E-01   5.31343824E-04   7.79105256E-04   1.21698495E-04   2.29800217E-05   0.00000000E+00   4.22060796E-06  
  98               2.95422082E+03   1.05158708E+03   8.38072476E-01   1.60463376E-01   5.31343609E-04   7.79104970E-04   1.21689867E-04   2.29897750E-05   0.00000000E+00   4.22060685E-06  
  99               3.57953772E+03   1.10785265E+03   8.38072394E-01   1.60463361E-01   5.31343441E-04   7.79113826E-04   1.21679857E-04   2.29978605E-05   0.00000000E+00   4.22060647E-06  
  100              4.35272660E+03   1.16830839E+03   8.38072132E-01   1.60463321E-01   5.31343109E-04   7.79110056E-04   1.21668326E-04   2.30614668E-05   0.00000000E+00   4.22060540E-06  
  101              5.30909750E+03   1.23224019E+03   8.37976417E-01   1.60445032E-01   5.31282216E-04   7.78997137E-04   1.21642340E-04   2.32481144E-05   0.00000000E+00   4.22012435E-06  
