# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               Fe               OH              
  89               4.53290658E+00   4.05602501E+03   3.76520584E-01   5.02572825E-01   1.19945761E-01   3.96809524E-04   1.24411654E-04   4.81772812E-05   4.13322363E-05   1.04113913E-04  
  90               4.95134471E+00   4.09424087E+03   3.70800940E-01   5.08793787E-01   1.19446747E-01   3.95096504E-04   1.20354201E-04   4.79015894E-05   4.11481551E-05   1.05154554E-04  
  91               5.40947931E+00   4.13381609E+03   3.64801325E-01   5.15319435E-01   1.18923323E-01   3.93289643E-04   1.16151073E-04   4.76143857E-05   4.09552671E-05   1.06129904E-04  
  92               5.91122073E+00   4.17366693E+03   3.59049137E-01   5.21576026E-01   1.18421490E-01   3.91540729E-04   1.12134293E-04   4.73330213E-05   4.07692835E-05   1.07012358E-04  
  93               6.46087483E+00   4.21491987E+03   3.53036990E-01   5.28115488E-01   1.17896988E-01   3.89697849E-04   1.07994857E-04   4.70407806E-05   4.05750653E-05   1.07814121E-04  
  94               7.06315236E+00   4.25650464E+03   3.47267572E-01   5.34390964E-01   1.17393665E-01   3.87905290E-04   1.04044060E-04   4.67540281E-05   4.03875603E-05   1.08522853E-04  
  95               7.72321620E+00   4.29956819E+03   3.41243348E-01   5.40943674E-01   1.16868120E-01   3.86011505E-04   9.99862128E-05   4.64565675E-05   4.01919516E-05   1.09138138E-04  
  96               8.44668786E+00   4.34306175E+03   3.35439084E-01   5.47257135E-01   1.16361768E-01   3.84152013E-04   9.61097857E-05   4.61636905E-05   4.00023300E-05   1.09662026E-04  
  97               9.23968867E+00   4.38814753E+03   3.29371053E-01   5.53857556E-01   1.15832413E-01   3.82175536E-04   9.21360109E-05   4.58598780E-05   3.98043235E-05   1.10081271E-04  
  98               1.01088483E+01   4.43376466E+03   3.23500622E-01   5.60243029E-01   1.15320298E-01   3.80212658E-04   8.83388657E-05   4.55598310E-05   3.96115991E-05   1.10411960E-04  
  99               1.10613432E+01   4.48104256E+03   3.17377994E-01   5.66902852E-01   1.14786191E-01   3.78116756E-04   8.44684665E-05   4.52493563E-05   3.94108282E-05   1.10630417E-04  
  100              1.21049019E+01   4.52889621E+03   3.11453668E-01   5.73346934E-01   1.14269386E-01   3.76013890E-04   8.07842997E-05   4.49426297E-05   3.92153261E-05   1.10767951E-04  
  101              1.32478288E+01   4.57839698E+03   3.05318941E-01   5.80019866E-01   1.13734234E-01   3.73762485E-04   7.70680734E-05   4.46269840E-05   3.90130168E-05   1.10794666E-04  
