# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              NH3              H                H2S              CO              
  78               2.12977567E+02   1.49811903E+03   8.38113026E-01   1.60451187E-01   7.77714007E-04   5.27460272E-04   5.72710104E-05   1.16374847E-06   2.42768848E-05   3.81067468E-06  
  79               2.40396386E+02   1.54667453E+03   8.38114469E-01   1.60450488E-01   7.76455363E-04   5.25970896E-04   5.64617026E-05   1.92437508E-06   2.42724179E-05   5.27907528E-06  
  80               2.70570542E+02   1.59710859E+03   8.38110195E-01   1.60448538E-01   7.74828060E-04   5.24046383E-04   5.57712724E-05   3.11172410E-06   2.42639966E-05   7.16899871E-06  
  81               3.03794120E+02   1.64766767E+03   8.38099149E-01   1.60446380E-01   7.79755754E-04   5.21548560E-04   5.52338194E-05   4.90582291E-06   2.39717968E-05   9.61851887E-06  
  82               3.40223593E+02   1.69840307E+03   8.38087862E-01   1.60444043E-01   7.84189266E-04   5.18576640E-04   5.49001078E-05   7.51945622E-06   2.36874466E-05   1.25247254E-05  
  83               3.79942315E+02   1.74893650E+03   8.38081591E-01   1.60442562E-01   7.88170304E-04   5.15135148E-04   5.47443904E-05   1.12268877E-05   2.34106175E-05   1.58817273E-05  
  84               4.23058116E+02   1.79934065E+03   8.38080721E-01   1.60440839E-01   7.84856963E-04   5.11364738E-04   5.47535882E-05   1.63398219E-05   2.34197945E-05   1.95402114E-05  
  85               4.69666306E+02   1.84931136E+03   8.38077500E-01   1.60438775E-01   7.81688931E-04   5.07214584E-04   5.49032575E-05   2.32206790E-05   2.34193042E-05   2.35450346E-05  
  86               5.19690987E+02   1.89881635E+03   8.38069828E-01   1.60436197E-01   7.79535511E-04   5.02736199E-04   5.51812159E-05   3.22251603E-05   2.34014166E-05   2.78392545E-05  
  87               5.72941778E+02   1.94736606E+03   8.38052905E-01   1.60432604E-01   7.80288136E-04   4.97874103E-04   5.55679698E-05   4.38401061E-05   2.33470107E-05   3.24700309E-05  
  88               6.30419829E+02   1.99597636E+03   8.38017724E-01   1.60426970E-01   7.87271354E-04   4.92476467E-04   5.60588947E-05   5.86452858E-05   2.32267310E-05   3.75786356E-05  
  89               6.92883220E+02   2.04479616E+03   8.37950759E-01   1.60419047E-01   8.12526815E-04   4.85776637E-04   5.66475880E-05   7.75836253E-05   2.29482879E-05   4.39204617E-05  
  90               7.62139807E+02   2.09504295E+03   8.37885570E-01   1.60411252E-01   8.34258452E-04   4.78900799E-04   5.73434137E-05   1.01710071E-04   2.27054400E-05   5.03615670E-05  
  91               8.38816262E+02   2.14642311E+03   8.37831320E-01   1.60404809E-01   8.48924916E-04   4.72102581E-04   5.81395349E-05   1.32188011E-04   2.25309168E-05   5.66379081E-05  
  92               9.22455773E+02   2.19844372E+03   8.37801251E-01   1.60400012E-01   8.43732807E-04   4.66249534E-04   5.90403711E-05   1.70304818E-04   2.25257258E-05   6.18658737E-05  
  93               1.01505351E+03   2.25160223E+03   8.37759982E-01   1.60393994E-01   8.38726731E-04   4.60462257E-04   6.00195010E-05   2.16828454E-04   2.25153093E-05   6.69121183E-05  
  94               1.11303768E+03   2.30390213E+03   8.37709112E-01   1.60387471E-01   8.35664957E-04   4.54859135E-04   6.10407360E-05   2.70774386E-04   2.25029663E-05   7.16822483E-05  
  95               1.20947232E+03   2.35173731E+03   8.37651645E-01   1.60380584E-01   8.33176848E-04   4.49673785E-04   6.20626262E-05   3.31093144E-04   2.24872166E-05   7.59620751E-05  
  96               1.30693323E+03   2.39715953E+03   8.37591680E-01   1.60374154E-01   8.31246439E-04   4.44900685E-04   6.30907639E-05   3.98190282E-04   2.24686825E-05   7.97575131E-05  
  97               1.41163889E+03   2.44279131E+03   8.37516367E-01   1.60365350E-01   8.28202759E-04   4.40525710E-04   6.41284555E-05   4.73043241E-04   2.24447432E-05   8.30604917E-05  
  98               1.51869514E+03   2.48683610E+03   8.37436930E-01   1.60356464E-01   8.25610685E-04   4.36597001E-04   6.51340463E-05   5.51682184E-04   2.24196785E-05   8.58863523E-05  
  99               1.61330566E+03   2.52353223E+03   8.37356485E-01   1.60347682E-01   8.23483832E-04   4.33168670E-04   6.60639090E-05   6.30802534E-04   2.23947300E-05   8.82261597E-05  
  100              1.70327114E+03   2.55698199E+03   8.37285158E-01   1.60340901E-01   8.21784663E-04   4.30195989E-04   6.69333498E-05   7.10203046E-04   2.23704819E-05   9.01323282E-05  
  101              1.79807517E+03   2.59048225E+03   8.37211612E-01   1.60333920E-01   8.20267991E-04   4.27390778E-04   6.77888016E-05   7.91849304E-04   2.23458888E-05   9.18521692E-05  
