# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              CO               N2              
  59               9.94695434E-01   4.36954487E+02   8.38074029E-01   1.60463817E-01   5.31345264E-04   7.81522140E-04   1.21706567E-04   2.29827217E-05   3.86346861E-20   8.70982964E-09  
  60               1.15229579E+00   4.56672851E+02   8.38073981E-01   1.60463803E-01   5.31345218E-04   7.81532854E-04   1.21682459E-04   2.29827197E-05   3.60229296E-19   2.07587374E-08  
  61               1.33485722E+00   4.77243040E+02   8.38073413E-01   1.60463727E-01   5.31344967E-04   7.81784579E-04   1.21629273E-04   2.29827088E-05   3.02617828E-18   4.73230447E-08  
  62               1.54606497E+00   4.98735166E+02   8.38068989E-01   1.60463168E-01   5.31343117E-04   7.83456916E-04   1.21516441E-04   2.29826288E-05   2.31362230E-17   1.03526955E-07  
  63               1.79028736E+00   5.21114977E+02   8.38072235E-01   1.60463402E-01   5.31343891E-04   7.80088376E-04   1.21290160E-04   2.29826623E-05   1.59144564E-16   2.16756294E-07  
  64               2.07292613E+00   5.44508685E+02   8.38072525E-01   1.60463332E-01   5.31343659E-04   7.80088040E-04   1.20851744E-04   2.29826522E-05   1.00804844E-15   4.35937209E-07  
  65               2.40014744E+00   5.68902554E+02   8.38073059E-01   1.60463202E-01   5.31343230E-04   7.80087426E-04   1.20045498E-04   2.29826337E-05   5.84505697E-15   8.39011579E-07  
  66               2.77928762E+00   5.94431237E+02   8.38073995E-01   1.60462976E-01   5.31342479E-04   7.80086360E-04   1.18631746E-04   2.29826012E-05   3.13537850E-14   1.54580152E-06  
  67               3.21905968E+00   6.21087715E+02   8.38075533E-01   1.60462603E-01   5.31341243E-04   7.80084629E-04   1.16307436E-04   2.29825478E-05   1.55325723E-13   2.70781499E-06  
  68               3.73025500E+00   6.49051346E+02   8.38077902E-01   1.60462028E-01   5.31339339E-04   7.80082015E-04   1.12726051E-04   2.29824655E-05   7.18339852E-13   4.49828917E-06  
  69               4.32763467E+00   6.78435690E+02   8.38081269E-01   1.60461211E-01   5.31336632E-04   7.80078424E-04   1.07637196E-04   2.29823485E-05   3.11150597E-12   7.04240719E-06  
  70               5.02916859E+00   7.09518871E+02   8.38085681E-01   1.60460140E-01   5.31333074E-04   7.80073989E-04   1.00965812E-04   2.29821951E-05   1.27640417E-11   1.03776928E-05  
  71               5.85529159E+00   7.42338292E+02   8.38090934E-01   1.60458861E-01   5.31328800E-04   7.80069282E-04   9.30094453E-05   2.29820119E-05   4.94114179E-11   1.43553912E-05  
  72               6.82773643E+00   7.77020204E+02   8.38096668E-01   1.60457452E-01   5.31323996E-04   7.80065256E-04   8.42766850E-05   2.29818099E-05   1.80896713E-10   1.87212367E-05  
  73               7.97083824E+00   8.13462743E+02   8.38102326E-01   1.60455997E-01   5.31318733E-04   7.80063136E-04   7.54388097E-05   2.29816013E-05   6.21689383E-10   2.31396227E-05  
  74               9.31214899E+00   8.51753859E+02   8.38107712E-01   1.60454601E-01   5.31312706E-04   7.80064108E-04   6.69838379E-05   2.29814006E-05   2.01043649E-09   2.73665789E-05  
  75               1.08754015E+01   8.91569816E+02   8.38112746E-01   1.60453367E-01   5.31304554E-04   7.80070217E-04   5.93329488E-05   2.29821650E-05   6.05421235E-09   3.11915553E-05  
  76               1.26771990E+01   9.32641869E+02   8.38117089E-01   1.60452277E-01   5.31290033E-04   7.80078412E-04   5.26449715E-05   2.29987357E-05   1.69237084E-08   3.45351297E-05  
  77               1.47284203E+01   9.74417985E+02   8.38120582E-01   1.60451322E-01   5.31260173E-04   7.80081500E-04   4.69946246E-05   2.30548204E-05   4.35452558E-08   3.73599383E-05  
  78               1.70465965E+01   1.01681819E+03   8.38123012E-01   1.60450431E-01   5.31196791E-04   7.80061126E-04   4.22592794E-05   2.32317922E-05   1.03841914E-07   3.97272659E-05  
  79               1.96538310E+01   1.05959751E+03   8.38124341E-01   1.60449591E-01   5.31067720E-04   7.79982283E-04   3.83423080E-05   2.37323925E-05   2.29890505E-07   4.16854156E-05  
  80               2.25675868E+01   1.10272798E+03   8.38125721E-01   1.60448896E-01   5.30818694E-04   7.79816915E-04   3.50932270E-05   2.42839009E-05   4.76200569E-07   4.33096535E-05  
  81               2.58045475E+01   1.14590900E+03   8.38127941E-01   1.60448312E-01   5.30368375E-04   7.79503818E-04   3.24249637E-05   2.42836704E-05   9.23873605E-07   4.46434815E-05  
  82               2.93857786E+01   1.18923432E+03   8.38130258E-01   1.60447696E-01   5.29595456E-04   7.78889609E-04   3.02119476E-05   2.42833381E-05   1.69354378E-06   4.57495925E-05  
  83               3.33430925E+01   1.23258933E+03   8.38132916E-01   1.60446985E-01   5.28343357E-04   7.77814789E-04   2.83887752E-05   2.42828464E-05   2.94129643E-06   4.66606054E-05  
  84               3.77227282E+01   1.27630897E+03   8.38136255E-01   1.60446095E-01   5.26392862E-04   7.76057772E-04   2.68630785E-05   2.42821104E-05   4.88558674E-06   4.74225737E-05  
