# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              O-3P             Mg               OH              
  79               2.11867647E-01   3.53050602E+03   2.33096698E-01   6.58629463E-01   1.07439210E-01   3.55725891E-04   5.70010810E-05   1.29404954E-04   4.45262457E-05   7.85945253E-05  
  80               2.32759961E-01   3.56080192E+03   2.27488385E-01   6.64727645E-01   1.06949757E-01   3.54100097E-04   5.38728860E-05   1.32713932E-04   4.43125556E-05   7.81252601E-05  
  81               2.55669234E-01   3.59258718E+03   2.22154614E-01   6.70527210E-01   1.06484265E-01   3.52552543E-04   5.09700918E-05   1.35907549E-04   4.41084032E-05   7.76311793E-05  
  82               2.80800322E-01   3.62378914E+03   2.16700620E-01   6.76457596E-01   1.06008301E-01   3.50968804E-04   4.80997029E-05   1.39184029E-04   4.38997139E-05   7.70479288E-05  
  83               3.08378944E-01   3.65659478E+03   2.11493197E-01   6.82119914E-01   1.05553868E-01   3.49454703E-04   4.54308388E-05   1.42352934E-04   4.36995272E-05   7.64422887E-05  
  84               3.38654166E-01   3.68896277E+03   2.06119066E-01   6.87963729E-01   1.05084919E-01   3.47890201E-04   4.27734858E-05   1.45622899E-04   4.34931508E-05   7.57355105E-05  
  85               3.71899911E-01   3.72317088E+03   2.00914764E-01   6.93623028E-01   1.04630813E-01   3.46372237E-04   4.02757577E-05   1.48816747E-04   4.32925242E-05   7.49944078E-05  
  86               4.08417895E-01   3.75714224E+03   1.95488749E-01   6.99523707E-01   1.04157399E-01   3.44786617E-04   3.77701979E-05   1.52132008E-04   4.30837779E-05   7.41328535E-05  
  87               4.48539441E-01   3.79314965E+03   1.90192399E-01   7.05283566E-01   1.03695325E-01   3.43234353E-04   3.54037857E-05   1.55381857E-04   4.28793501E-05   7.32272515E-05  
  88               4.92628236E-01   3.82897500E+03   1.84689292E-01   7.11268523E-01   1.03215246E-01   3.41616544E-04   3.30422902E-05   1.58734344E-04   4.26673691E-05   7.21948856E-05  
  89               5.41081758E-01   3.86685980E+03   1.79343794E-01   7.17082217E-01   1.02748939E-01   3.40037673E-04   3.08276816E-05   1.61994892E-04   4.24606915E-05   7.11245549E-05  
  90               5.94333162E-01   3.90452879E+03   1.73839690E-01   7.23068582E-01   1.02268822E-01   3.38403672E-04   2.86413514E-05   1.65320015E-04   4.22482018E-05   6.99323132E-05  
  91               6.52852226E-01   3.94431684E+03   1.68506159E-01   7.28869524E-01   1.01803602E-01   3.36808303E-04   2.66016681E-05   1.68534248E-04   4.20414743E-05   6.87077313E-05  
  92               7.17145854E-01   3.98397660E+03   1.63021379E-01   7.34835087E-01   1.01325209E-01   3.35154104E-04   2.45965151E-05   1.71796328E-04   4.18292513E-05   6.73589454E-05  
  93               7.87758250E-01   4.02592729E+03   1.57682169E-01   7.40642376E-01   1.00859527E-01   3.33524403E-04   2.27247997E-05   1.74950377E-04   4.16219382E-05   6.59746944E-05  
  94               8.65268757E-01   4.06788594E+03   1.52175014E-01   7.46632413E-01   1.00379214E-01   3.31821030E-04   2.08869703E-05   1.78150795E-04   4.14086405E-05   6.44586433E-05  
  95               9.50290391E-01   4.11238147E+03   1.46773971E-01   7.52507067E-01   9.99081675E-02   3.30118576E-04   1.91679935E-05   1.81258291E-04   4.11989443E-05   6.28997446E-05  
  96               1.04346289E+00   4.15709525E+03   1.41189584E-01   7.58581190E-01   9.94211451E-02   3.28320429E-04   1.74849599E-05   1.84416846E-04   4.09828765E-05   6.12035228E-05  
  97               1.14544888E+00   4.20454200E+03   1.35707929E-01   7.64543573E-01   9.89430925E-02   3.26501298E-04   1.59185348E-05   1.87489675E-04   4.07704075E-05   5.94710668E-05  
  98               1.25692264E+00   4.25216355E+03   1.30100596E-01   7.70642660E-01   9.84540904E-02   3.24574314E-04   1.44085502E-05   1.90596842E-04   4.05537472E-05   5.76263246E-05  
  99               1.37856751E+00   4.30238834E+03   1.24657843E-01   7.76562685E-01   9.79794476E-02   3.22610746E-04   1.30263199E-05   1.93612325E-04   4.03429507E-05   5.57814217E-05  
  100              1.51105859E+00   4.35264103E+03   1.19149274E-01   7.82554239E-01   9.74990711E-02   3.20508994E-04   1.17151186E-05   1.96669177E-04   4.01302053E-05   5.38587203E-05  
  101              1.65537864E+00   4.40573341E+03   1.13682451E-01   7.88500328E-01   9.70223376E-02   3.18332516E-04   1.04714496E-05   1.99720517E-04   3.99191243E-05   5.19185348E-05  
