# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                CO               H2O              CH4              N2               Mg              
  85               1.86725011E+00   2.37885768E+03   8.29695656E-01   1.59469743E-01   9.65173206E-03   5.27965026E-04   3.78315076E-04   1.40568016E-08   6.04026112E-05   6.49522508E-05  
  86               2.00124426E+00   2.41370505E+03   8.28466287E-01   1.59362629E-01   1.09871164E-02   5.27608881E-04   3.79218437E-04   1.36223007E-08   6.03584269E-05   6.48342913E-05  
  87               2.14628431E+00   2.44850478E+03   8.27119553E-01   1.59245190E-01   1.24520747E-02   5.27218205E-04   3.78743250E-04   1.33207098E-08   6.03098730E-05   6.47088734E-05  
  88               2.30327140E+00   2.48364985E+03   8.25645621E-01   1.59116663E-01   1.40554014E-02   5.26790450E-04   3.78217572E-04   1.30878203E-08   6.02566478E-05   6.45755737E-05  
  89               2.47314933E+00   2.51864316E+03   8.24047621E-01   1.58977322E-01   1.57936864E-02   5.26326498E-04   3.77642689E-04   1.29250373E-08   6.01987834E-05   6.44345080E-05  
  90               2.65692730E+00   2.55393383E+03   8.22318205E-01   1.58826525E-01   1.76749232E-02   5.25824213E-04   3.77015843E-04   1.28228823E-08   6.01359592E-05   6.42853037E-05  
  91               2.85568809E+00   2.58894803E+03   8.20464098E-01   1.58664860E-01   1.96917941E-02   5.25285508E-04   3.76339255E-04   1.27840623E-08   6.00682956E-05   6.41282163E-05  
  92               3.07058663E+00   2.62420750E+03   8.18478026E-01   1.58491692E-01   2.18522081E-02   5.24708263E-04   3.75609830E-04   1.28000905E-08   5.99954315E-05   6.39628759E-05  
  93               3.30285125E+00   2.65911564E+03   8.16371553E-01   1.58308030E-01   2.41435845E-02   5.24095781E-04   3.74831387E-04   1.28756577E-08   5.99175993E-05   6.37897258E-05  
  94               3.55378469E+00   2.69426425E+03   8.14136981E-01   1.58113203E-01   2.65742958E-02   5.23445814E-04   3.74000478E-04   1.30028302E-08   5.98343548E-05   6.36083795E-05  
  95               3.82477548E+00   2.72895433E+03   8.11789502E-01   1.57908535E-01   2.91278139E-02   5.22762704E-04   3.73122270E-04   1.31873490E-08   5.97459764E-05   6.34194189E-05  
  96               4.11727786E+00   2.76387194E+03   8.09319488E-01   1.57693187E-01   3.18146100E-02   5.22043639E-04   3.72192510E-04   1.34213405E-08   5.96518452E-05   6.32223932E-05  
  97               4.43281120E+00   2.79829094E+03   8.06746717E-01   1.57468883E-01   3.46131664E-02   5.21294278E-04   3.71218239E-04   1.37121202E-08   5.95522793E-05   6.30180710E-05  
  98               4.77294382E+00   2.83298651E+03   8.04055521E-01   1.57234257E-01   3.75405255E-02   5.20510046E-04   3.70192896E-04   1.40520839E-08   5.94462592E-05   6.28056495E-05  
  99               5.13929523E+00   2.86711860E+03   8.01269691E-01   1.56991384E-01   4.05708058E-02   5.19697752E-04   3.69125298E-04   1.44498755E-08   5.93340621E-05   6.25860641E-05  
  100              5.53598726E+00   2.90173888E+03   7.98455178E-01   1.56746010E-01   4.36322889E-02   5.18877245E-04   3.68046784E-04   1.48373677E-08   5.92215410E-05   6.23653482E-05  
  101              5.96251967E+00   2.93572885E+03   7.95494181E-01   1.56487871E-01   4.68530643E-02   5.18012777E-04   3.66899520E-04   1.53541212E-08   5.90962695E-05   6.21318143E-05  
