# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              N2               H2O(s)          
  84               8.16243245E+00   9.53215093E+02   8.38129884E-01   1.60449075E-01   5.31219865E-04   7.80110940E-04   3.29912732E-05   2.30437108E-05   4.43607612E-05   0.00000000E+00  
  85               9.32526679E+00   9.90952782E+02   8.38131712E-01   1.60448402E-01   5.31121041E-04   7.80055749E-04   2.95161099E-05   2.31803673E-05   4.60980811E-05   0.00000000E+00  
  86               1.06148519E+01   1.02906473E+03   8.38132535E-01   1.60447696E-01   5.30923382E-04   7.79911316E-04   2.66361189E-05   2.35484915E-05   4.75377936E-05   0.00000000E+00  
  87               1.20374431E+01   1.06717449E+03   8.38133166E-01   1.60447078E-01   5.30554289E-04   7.79607813E-04   2.42801551E-05   2.42836678E-05   4.87155081E-05   0.00000000E+00  
  88               1.35993578E+01   1.10546375E+03   8.38135211E-01   1.60446542E-01   5.29895793E-04   7.79073917E-04   2.23168573E-05   2.42834870E-05   4.96968864E-05   0.00000000E+00  
  89               1.53087868E+01   1.14361182E+03   8.38137592E-01   1.60445917E-01   5.28792381E-04   7.78113934E-04   2.07017741E-05   2.42832297E-05   5.05040628E-05   0.00000000E+00  
  90               1.71822194E+01   1.18204471E+03   8.38140684E-01   1.60445111E-01   5.27004998E-04   7.76489206E-04   1.93373515E-05   2.42828481E-05   5.11857333E-05   0.00000000E+00  
  91               1.92376282E+01   1.22055647E+03   8.38144859E-01   1.60444033E-01   5.24261720E-04   7.73923940E-04   1.82017755E-05   2.42822864E-05   5.17527033E-05   0.00000000E+00  
  92               2.14922333E+01   1.25952061E+03   8.38150663E-01   1.60442546E-01   5.20173175E-04   7.70027081E-04   1.72318630E-05   2.42814596E-05   5.22364055E-05   0.00000000E+00  
  93               2.39626627E+01   1.29860962E+03   8.38158530E-01   1.60440544E-01   5.14406562E-04   7.64459685E-04   1.64232570E-05   2.42802775E-05   5.26388409E-05   0.00000000E+00  
  94               2.66650345E+01   1.33815609E+03   8.38169064E-01   1.60437872E-01   5.06510672E-04   7.56768649E-04   1.57310928E-05   2.42786009E-05   5.29821793E-05   0.00000000E+00  
  95               2.96147937E+01   1.37776355E+03   8.38182472E-01   1.60434472E-01   4.96308818E-04   7.46771907E-04   1.51582379E-05   2.42762862E-05   5.32647464E-05   0.00000000E+00  
  96               3.28408805E+01   1.41793093E+03   8.38199186E-01   1.60430222E-01   4.83451432E-04   7.34122781E-04   1.46681614E-05   2.42730491E-05   5.35044310E-05   0.00000000E+00  
  97               3.63847823E+01   1.45847216E+03   8.38218939E-01   1.60425155E-01   4.68068203E-04   7.18956078E-04   1.42662178E-05   2.42684468E-05   5.36982472E-05   0.00000000E+00  
  98               4.02811871E+01   1.49984344E+03   8.38241700E-01   1.60419229E-01   4.50078433E-04   7.01234799E-04   1.39257221E-05   2.42613719E-05   5.38590510E-05   0.00000000E+00  
  99               4.45551232E+01   1.54155969E+03   8.38265662E-01   1.60412523E-01   4.30200860E-04   6.81654496E-04   1.36569226E-05   2.42493679E-05   5.39814264E-05   0.00000000E+00  
  100              4.92180426E+01   1.58385622E+03   8.38291259E-01   1.60405401E-01   4.08627502E-04   6.61284436E-04   1.34383063E-05   2.41883377E-05   5.40757937E-05   0.00000000E+00  
  101              5.42661253E+01   1.62600576E+03   8.38223609E-01   1.60380178E-01   3.86684135E-04   6.39561578E-04   1.32792065E-05   2.41741793E-05   5.41306554E-05   0.00000000E+00  
