# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H                H2O              CO               CH4              N2               Mg              
  70               1.48497252E+00   1.88986699E+03   8.38072417E-01   1.60200417E-01   5.48866965E-04   3.76692124E-04   5.30216448E-04   1.73491001E-07   6.06430845E-05   6.57260769E-05  
  71               1.55417406E+00   1.91174548E+03   8.37995309E-01   1.60193683E-01   6.32696990E-04   3.76633781E-04   5.30206420E-04   1.61154114E-07   6.06394583E-05   6.56835703E-05  
  72               1.63030427E+00   1.93509204E+03   8.37902456E-01   1.60185578E-01   7.33627365E-04   3.76591960E-04   5.30191219E-04   1.49335486E-07   6.06351883E-05   6.56370680E-05  
  73               1.71408264E+00   1.95951673E+03   8.37792945E-01   1.60176020E-01   8.52763464E-04   3.76500653E-04   5.30170025E-04   1.38550887E-07   6.06301405E-05   6.55866063E-05  
  74               1.80700892E+00   1.98564745E+03   8.37659979E-01   1.60164416E-01   9.97414490E-04   3.76400081E-04   5.30141381E-04   1.28284429E-07   6.06241363E-05   6.55310138E-05  
  75               1.90984134E+00   2.01300174E+03   8.37502016E-01   1.60150632E-01   1.16925648E-03   3.76291345E-04   5.30104354E-04   1.18981042E-07   6.06170199E-05   6.54703998E-05  
  76               2.02339670E+00   2.04196511E+03   8.37311287E-01   1.60133991E-01   1.37674048E-03   3.76170982E-04   5.30057048E-04   1.10283948E-07   6.06085906E-05   6.54039981E-05  
  77               2.14855783E+00   2.07201741E+03   8.37085986E-01   1.60114335E-01   1.62183170E-03   3.76039938E-04   5.29998555E-04   1.02534711E-07   6.05986808E-05   6.53319474E-05  
  78               2.28628383E+00   2.10354984E+03   8.36815989E-01   1.60090781E-01   1.91554429E-03   3.75893988E-04   5.29926276E-04   9.53973461E-08   6.05870087E-05   6.52533839E-05  
  79               2.43762055E+00   2.13600381E+03   8.36499647E-01   1.60063186E-01   2.25966827E-03   3.75734053E-04   5.29839424E-04   8.91385456E-08   6.05734065E-05   6.51684937E-05  
  80               2.60370934E+00   2.16980070E+03   8.36123907E-01   1.60030411E-01   2.66840608E-03   3.75554885E-04   5.29734529E-04   8.34399710E-08   6.05574938E-05   6.50762757E-05  
  81               2.78579700E+00   2.20434590E+03   8.35687954E-01   1.59992387E-01   3.14264330E-03   3.75357594E-04   5.29611092E-04   7.85184904E-08   6.05391227E-05   6.49769888E-05  
