# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              H                CH4              CO               N2               NH3             
  61               5.20366513E+00   1.45528851E+03   8.38678245E-01   1.60312336E-01   3.75811639E-04   4.04065031E-06   1.23439071E-04   4.07248092E-04   5.96874209E-05   2.17473458E-06  
  62               6.13180734E+00   1.49314973E+03   8.38687827E-01   1.60308113E-01   3.64951221E-04   5.96062271E-06   1.12465293E-04   4.18192604E-04   5.96272795E-05   2.27766559E-06  
  63               7.18146726E+00   1.53711150E+03   8.38700248E-01   1.60302932E-01   3.53944340E-04   9.24610659E-06   9.75013652E-05   4.33118036E-04   5.95832961E-05   2.34387897E-06  
  64               8.35551649E+00   1.57694757E+03   8.38693990E-01   1.60296889E-01   3.44938955E-04   1.33741530E-05   8.82084274E-05   4.42366004E-04   5.95231130E-05   2.44026574E-06  
  65               9.63861816E+00   1.62372534E+03   8.38689394E-01   1.60291235E-01   3.48383615E-04   2.04262197E-05   7.29223701E-05   4.57604900E-04   5.94870652E-05   2.48875680E-06  
  66               1.10092088E+01   1.66724921E+03   8.38688404E-01   1.60287060E-01   3.40992454E-04   2.95555780E-05   6.38536417E-05   4.66625813E-04   5.94425404E-05   2.55072741E-06  
  67               1.24313890E+01   1.71828190E+03   8.38671389E-01   1.60279890E-01   3.36461663E-04   4.51033718E-05   5.19917555E-05   4.78425757E-04   5.94245700E-05   2.55546388E-06  
  68               1.38304676E+01   1.76757794E+03   8.38623045E-01   1.60270473E-01   3.46958319E-04   6.64531745E-05   4.09768321E-05   4.89379701E-04   5.94148507E-05   2.54996660E-06  
  69               1.51175599E+01   1.80921701E+03   8.38542059E-01   1.60259464E-01   3.75688318E-04   9.05537539E-05   3.22512343E-05   4.98055285E-04   5.94059827E-05   2.55452635E-06  
  70               1.62582126E+01   1.84411793E+03   8.38474779E-01   1.60252127E-01   4.03224794E-04   1.16061932E-04   2.64303015E-05   5.03842564E-04   5.93984417E-05   2.56166601E-06  
  71               1.72593820E+01   1.87283803E+03   8.38454765E-01   1.60249345E-01   4.00795461E-04   1.41258101E-04   2.40056515E-05   5.06234643E-04   5.93846156E-05   2.57256836E-06  
  72               1.83679808E+01   1.90347673E+03   8.38418382E-01   1.60244155E-01   3.98514250E-04   1.73036212E-04   2.17350308E-05   5.08461756E-04   5.93682051E-05   2.58530394E-06  
  73               1.92881713E+01   1.92744063E+03   8.38393953E-01   1.60241381E-01   3.96976699E-04   2.01748365E-04   2.02022022E-05   5.09963303E-04   5.93535714E-05   2.59919258E-06  
  74               2.00116269E+01   1.94597326E+03   8.38372494E-01   1.60239047E-01   3.95876388E-04   2.26620018E-04   1.91052001E-05   5.11034956E-04   5.93423300E-05   2.60945125E-06  
  75               2.08289746E+01   1.96584661E+03   8.38346885E-01   1.60236373E-01   3.94824907E-04   2.55925791E-04   1.80562125E-05   5.12055055E-04   5.93282949E-05   2.62377708E-06  
  76               2.17484678E+01   1.98786106E+03   8.38315039E-01   1.60233143E-01   3.93741196E-04   2.92048687E-04   1.69735561E-05   5.13104170E-04   5.93128801E-05   2.63894569E-06  
  77               2.27767533E+01   2.01118287E+03   8.38246098E-01   1.60223483E-01   3.92727508E-04   3.34597362E-04   1.59599655E-05   5.14060028E-04   5.92920543E-05   2.65860338E-06  
  78               2.35290339E+01   2.02807519E+03   8.38215684E-01   1.60220567E-01   3.92028041E-04   3.68602062E-04   1.52670072E-05   5.14724231E-04   5.92789139E-05   2.67189057E-06  
  79               2.40648631E+01   2.03949619E+03   8.38193736E-01   1.60218481E-01   3.91624922E-04   3.93006735E-04   1.48446608E-05   5.15126031E-04   5.92686874E-05   2.68314435E-06  
  80               2.46802447E+01   2.05280217E+03   8.38166531E-01   1.60215908E-01   3.91130419E-04   4.23251617E-04   1.43553704E-05   5.15590940E-04   5.92576636E-05   2.69441105E-06  
  81               2.53844060E+01   2.06724935E+03   8.38135115E-01   1.60212975E-01   3.90684606E-04   4.57996747E-04   1.38754273E-05   5.16043008E-04   5.92440167E-05   2.70947225E-06  
  82               2.61871327E+01   2.08377001E+03   8.38096504E-01   1.60209393E-01   3.90143662E-04   5.00717664E-04   1.33407255E-05   5.16544857E-04   5.92290960E-05   2.72508671E-06  
  83               2.71017371E+01   2.10163415E+03   8.38051630E-01   1.60205275E-01   3.89619986E-04   5.50219410E-04   1.28233258E-05   5.17024556E-04   5.92109759E-05   2.74514633E-06  
  84               2.81402568E+01   2.12177839E+03   8.37996514E-01   1.60200248E-01   3.89052670E-04   6.10916719E-04   1.22634959E-05   5.17540077E-04   5.91909541E-05   2.76647199E-06  
  85               2.93154756E+01   2.14337121E+03   8.37932269E-01   1.60194441E-01   3.88513567E-04   6.81493570E-04   1.17317318E-05   5.18021033E-04   5.91670847E-05   2.79298286E-06  
  86               3.06409618E+01   2.16734162E+03   8.37853776E-01   1.60187383E-01   3.87947619E-04   7.67596586E-04   1.11742852E-05   5.18518999E-04   5.91406087E-05   2.82150222E-06  
  87               3.21311084E+01   2.19278810E+03   8.37762251E-01   1.60179211E-01   3.87421129E-04   8.67807995E-04   1.06557852E-05   5.18969383E-04   5.91095362E-05   2.85601562E-06  
  88               3.38012136E+01   2.22063186E+03   8.37651081E-01   1.60169324E-01   3.86883865E-04   9.89390574E-04   1.01274538E-05   5.19418248E-04   5.90750386E-05   2.89333905E-06  
  89               3.56675834E+01   2.24989909E+03   8.37521740E-01   1.60157879E-01   3.86395523E-04   1.13065559E-03   9.64688596E-06   5.19807985E-04   5.90350860E-05   2.93752006E-06  
  90               3.77476856E+01   2.28150382E+03   8.37365756E-01   1.60144118E-01   3.85910020E-04   1.30088052E-03   9.16956882E-06   5.20179710E-04   5.89907524E-05   2.98538145E-06  
  91               4.00603146E+01   2.31440340E+03   8.37183195E-01   1.60127862E-01   3.85479332E-04   1.49776383E-03   8.74568083E-06   5.20481982E-04   5.89398303E-05   3.04103314E-06  
  92               4.26251132E+01   2.34953644E+03   8.36958994E-01   1.60108696E-01   3.91079621E-04   1.73322136E-03   8.20686804E-06   5.20895907E-04   5.88877662E-05   3.10124440E-06  
  93               4.54642470E+01   2.38578684E+03   8.36710462E-01   1.60086941E-01   3.90836373E-04   2.00373723E-03   7.85266777E-06   5.21093412E-04   5.88243500E-05   3.17016419E-06  
  94               4.86023555E+01   2.42414197E+03   8.36415710E-01   1.60061169E-01   3.90601022E-04   2.32449470E-03   7.51451356E-06   5.21250687E-04   5.87542544E-05   3.24450823E-06  
  95               5.20658283E+01   2.46344066E+03   8.36079559E-01   1.60031819E-01   3.90412038E-04   2.69019244E-03   7.22983365E-06   5.21330627E-04   5.86753294E-05   3.32860841E-06  
  96               5.58834439E+01   2.50469753E+03   8.35684733E-01   1.59997370E-01   3.90235093E-04   3.11966524E-03   6.96269006E-06   5.21362474E-04   5.85882690E-05   3.41907282E-06  
  97               6.00880563E+01   2.54671739E+03   8.35238562E-01   1.59958476E-01   3.90107551E-04   3.60488850E-03   6.74598319E-06   5.21314013E-04   5.84908758E-05   3.52039122E-06  
  98               6.47168204E+01   2.59055781E+03   8.34719866E-01   1.59913279E-01   3.89998894E-04   4.16893544E-03   6.54705313E-06   5.21209574E-04   5.83835403E-05   3.62924344E-06  
  99               6.98109459E+01   2.63502604E+03   8.34139019E-01   1.59862696E-01   3.89945318E-04   4.80047054E-03   6.39461680E-06   5.21021517E-04   5.82640489E-05   3.75019925E-06  
  100              7.54164496E+01   2.68119683E+03   8.33470734E-01   1.59804513E-01   3.89920271E-04   5.52703046E-03   6.25938157E-06   5.20769007E-04   5.81324384E-05   3.88000617E-06  
  101              8.15845018E+01   2.72786871E+03   8.32729690E-01   1.59740023E-01   3.89960066E-04   6.33259868E-03   6.16727527E-06   5.20427822E-04   5.79864585E-05   4.02337747E-06  
