# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               H                He               CO               H2O              Mg               N2               Fe              
  80               2.96774111E-01   3.20224441E+03   5.02495288E-01   3.65584947E-01   1.30939038E-01   4.33545735E-04   2.21470325E-04   5.40706763E-05   4.71558413E-05   4.53384654E-05  
  81               3.25708475E-01   3.22831345E+03   4.96592154E-01   3.72006051E-01   1.30424109E-01   4.31840069E-04   2.17194159E-04   5.38337010E-05   4.65214318E-05   4.51568754E-05  
  82               3.57215862E-01   3.25441319E+03   4.90804192E-01   3.78301787E-01   1.29919212E-01   4.30167489E-04   2.12964645E-04   5.36001334E-05   4.58230146E-05   4.49786428E-05  
  83               3.91515717E-01   3.28091231E+03   4.84891292E-01   3.84733339E-01   1.29403404E-01   4.28458634E-04   2.08633981E-04   5.33613993E-05   4.50335648E-05   4.47965197E-05  
  84               4.28847663E-01   3.30746464E+03   4.79093912E-01   3.91039124E-01   1.28897658E-01   4.26782921E-04   2.04357024E-04   5.31260373E-05   4.41596781E-05   4.46177553E-05  
  85               4.69474618E-01   3.33442419E+03   4.73186081E-01   3.97464938E-01   1.28382262E-01   4.25075061E-04   1.99993168E-04   5.28859911E-05   4.31707098E-05   4.44355294E-05  
  86               5.13684921E-01   3.36143228E+03   4.67414027E-01   4.03742924E-01   1.27878693E-01   4.23406138E-04   1.95702977E-04   5.26499765E-05   4.20757605E-05   4.42572620E-05  
  87               5.61796159E-01   3.38883160E+03   4.61563405E-01   4.10106229E-01   1.27368253E-01   4.21714207E-04   1.91352016E-04   5.24103610E-05   4.08413246E-05   4.40764843E-05  
  88               6.14158130E-01   3.41625033E+03   4.55885564E-01   4.16281433E-01   1.26872867E-01   4.20071829E-04   1.87105717E-04   5.21760074E-05   3.94819730E-05   4.39007663E-05  
  89               6.71156241E-01   3.44405644E+03   4.50153780E-01   4.22515145E-01   1.26372757E-01   4.18413466E-04   1.82820536E-04   5.19388557E-05   3.79606981E-05   4.37232670E-05  
  90               7.33213451E-01   3.47190020E+03   4.44600970E-01   4.28553998E-01   1.25888240E-01   4.16806354E-04   1.78650729E-04   5.17070839E-05   3.62981377E-05   4.35509970E-05  
  91               8.00793017E-01   3.50019652E+03   4.38975039E-01   4.34672201E-01   1.25397324E-01   4.15177602E-04   1.74435135E-04   5.14717592E-05   3.44535294E-05   4.33763529E-05  
  92               8.74400710E-01   3.52860951E+03   4.33495977E-01   4.40630463E-01   1.24919202E-01   4.13590706E-04   1.70319721E-04   5.12405804E-05   3.24574699E-05   4.32059530E-05  
  93               9.54589296E-01   3.55757321E+03   4.27905496E-01   4.46709729E-01   1.24431340E-01   4.11970949E-04   1.66138544E-04   5.10044319E-05   3.02717295E-05   4.30320115E-05  
  94               1.04196148E+00   3.58675085E+03   4.22420371E-01   4.52674220E-01   1.23952652E-01   4.10380887E-04   1.62035365E-04   5.07708797E-05   2.79443370E-05   4.28610474E-05  
  95               1.13717651E+00   3.61657367E+03   4.16790750E-01   4.58795719E-01   1.23461343E-01   4.08748193E-04   1.57849620E-04   5.05311450E-05   2.54503136E-05   4.26855340E-05  
  96               1.24095492E+00   3.64669337E+03   4.11236762E-01   4.64834824E-01   1.22976618E-01   4.07136369E-04   1.53726977E-04   5.02928882E-05   2.28640632E-05   4.25120887E-05  
  97               1.35408792E+00   3.67752226E+03   4.05527105E-01   4.71043159E-01   1.22478304E-01   4.05478382E-04   1.49519350E-04   5.00480177E-05   2.01856564E-05   4.23337482E-05  
  98               1.47744496E+00   3.70868139E+03   3.99895864E-01   4.77166168E-01   1.21986828E-01   4.03841732E-04   1.45380830E-04   4.98046462E-05   1.75200706E-05   4.21575455E-05  
  99               1.61198598E+00   3.74055941E+03   3.94132365E-01   4.83433062E-01   1.21483816E-01   4.02165248E-04   1.41177315E-04   4.95554287E-05   1.48931022E-05   4.19771414E-05  
  100              1.75877050E+00   3.77275496E+03   3.88478098E-01   4.89581242E-01   1.20990342E-01   4.00518515E-04   1.37066367E-04   4.93086844E-05   1.24214439E-05   4.17997849E-05  
  101              1.91897087E+00   3.80566204E+03   3.82725529E-01   4.95836501E-01   1.20488307E-01   3.98841115E-04   1.32916589E-04   4.90571995E-05   1.01318674E-05   4.16192334E-05  
