# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               CH4              H2O              NH3              H2S              H                CO              
  67               2.34411942E+01   8.98112383E+02   8.38093410E-01   1.60458039E-01   5.31323955E-04   7.80171869E-04   8.84312346E-05   2.29828780E-05   3.02481203E-11   2.12586924E-09  
  68               2.68796810E+01   9.35686518E+02   8.38097268E-01   1.60457078E-01   5.31317704E-04   7.80180539E-04   8.25041398E-05   2.29947130E-05   8.81818484E-11   5.16604475E-09  
  69               3.07572913E+01   9.73519497E+02   8.38100911E-01   1.60456129E-01   5.31307731E-04   7.80191361E-04   7.67533593E-05   2.30321006E-05   2.44141965E-10   1.19542624E-08  
  70               3.51173076E+01   1.01275314E+03   8.38103876E-01   1.60455187E-01   5.31290496E-04   7.80200343E-04   7.14481585E-05   2.31336046E-05   6.33033098E-10   2.60026870E-08  
  71               4.00049964E+01   1.05213804E+03   8.38106016E-01   1.60454263E-01   5.31259348E-04   7.80187959E-04   6.65653699E-05   2.35567048E-05   1.56232611E-09   5.39793862E-08  
  72               4.54538325E+01   1.09269187E+03   8.38107894E-01   1.60453434E-01   5.31204581E-04   7.80175482E-04   6.22448442E-05   2.39542399E-05   3.62669954E-09   1.05821621E-07  
  73               5.14899635E+01   1.13305323E+03   8.38109885E-01   1.60452729E-01   5.31109346E-04   7.80150584E-04   5.83952595E-05   2.42844499E-05   8.02700771E-09   1.98425292E-07  
  74               5.81409875E+01   1.17425133E+03   8.38112166E-01   1.60452137E-01   5.30952029E-04   7.80107191E-04   5.50785476E-05   2.42842183E-05   1.68084265E-08   3.53296216E-07  
  75               6.54498586E+01   1.21504358E+03   8.38114281E-01   1.60451577E-01   5.30697167E-04   7.79982741E-04   5.21700010E-05   2.42839069E-05   3.38101078E-08   6.05497925E-07  
  76               7.34989438E+01   1.25679740E+03   8.38116262E-01   1.60451040E-01   5.30305259E-04   7.79735653E-04   4.96915954E-05   2.42834785E-05   6.50276360E-08   9.94315181E-07  
  77               8.23551819E+01   1.29832355E+03   8.38118255E-01   1.60450487E-01   5.29714807E-04   7.79304413E-04   4.75301120E-05   2.42828710E-05   1.20919834E-07   1.58080253E-06  
  78               9.20669163E+01   1.34072034E+03   8.38120309E-01   1.60449902E-01   5.28869419E-04   7.78628137E-04   4.57071606E-05   2.42820199E-05   2.16209985E-07   2.42089526E-06  
  79               1.02666507E+02   1.38271668E+03   8.38122569E-01   1.60449243E-01   5.27684668E-04   7.77621255E-04   4.41372620E-05   2.42808186E-05   3.74748019E-07   3.59823428E-06  
  80               1.14206442E+02   1.42532088E+03   8.38125081E-01   1.60448490E-01   5.26098664E-04   7.76218310E-04   4.28347085E-05   2.42791384E-05   6.27678705E-07   5.17386790E-06  
  81               1.26751131E+02   1.46755229E+03   8.38127965E-01   1.60447595E-01   5.24011740E-04   7.74323401E-04   4.17303625E-05   2.42767217E-05   1.02374379E-06   7.24610562E-06  
  82               1.40404884E+02   1.51042356E+03   8.38131211E-01   1.60446535E-01   5.21370632E-04   7.71892594E-04   4.08320760E-05   2.42731246E-05   1.62340800E-06   9.86677906E-06  
  83               1.55248818E+02   1.55309000E+03   8.38134672E-01   1.60445228E-01   5.18086037E-04   7.68849466E-04   4.00907810E-05   2.42673341E-05   2.51511969E-06   1.31229677E-05  
  84               1.71317415E+02   1.59616524E+03   8.38138294E-01   1.60443711E-01   5.14146056E-04   7.65413721E-04   3.95129618E-05   2.42489001E-05   3.79919261E-06   1.70247071E-05  
  85               1.88612499E+02   1.63883220E+03   8.38136655E-01   1.60440887E-01   5.09526460E-04   7.61277875E-04   3.90653331E-05   2.42300169E-05   5.60820500E-06   2.15900616E-05  
  86               2.07108213E+02   1.68137365E+03   8.38129077E-01   1.60437794E-01   5.04027922E-04   7.63155058E-04   3.87484025E-05   2.39358625E-05   8.08215078E-06   2.70194162E-05  
  87               2.26795604E+02   1.72329414E+03   8.38121407E-01   1.60434408E-01   4.97910005E-04   7.64204872E-04   3.85378881E-05   2.36566707E-05   1.13986132E-05   3.30503263E-05  
  88               2.47695300E+02   1.76487928E+03   8.38118808E-01   1.60431848E-01   4.91271715E-04   7.64841572E-04   3.84305256E-05   2.33796846E-05   1.57426146E-05   3.95848892E-05  
  89               2.69874901E+02   1.80589013E+03   8.38121308E-01   1.60429067E-01   4.84396819E-04   7.58609444E-04   3.84075966E-05   2.33777880E-05   2.13728684E-05   4.63321546E-05  
  90               2.93566381E+02   1.84699959E+03   8.38121352E-01   1.60425914E-01   4.77141582E-04   7.52670154E-04   3.84675613E-05   2.33656429E-05   2.85514578E-05   5.34320183E-05  
  91               3.18830256E+02   1.88778715E+03   8.38116783E-01   1.60422173E-01   4.69470358E-04   7.47922573E-04   3.85954793E-05   2.33329017E-05   3.76121352E-05   6.09153286E-05  
  92               3.45622770E+02   1.92850106E+03   8.38104015E-01   1.60417521E-01   4.61367405E-04   7.46018462E-04   3.87935828E-05   2.32629798E-05   4.88592602E-05   6.87941741E-05  
  93               3.74131680E+02   1.96888996E+03   8.38077724E-01   1.60411383E-01   4.52601647E-04   7.49358850E-04   3.90474711E-05   2.31326816E-05   6.26757188E-05   7.72948959E-05  
  94               4.04222257E+02   2.00912159E+03   8.38034015E-01   1.60403581E-01   4.42971671E-04   7.60908071E-04   3.93589150E-05   2.29214420E-05   7.92977120E-05   8.66196955E-05  
  95               4.35660062E+02   2.04840163E+03   8.37979889E-01   1.60395072E-01   4.32634936E-04   7.78264484E-04   3.97152177E-05   2.26648237E-05   9.91505463E-05   9.66120216E-05  
  96               4.68822238E+02   2.08764521E+03   8.37933858E-01   1.60387546E-01   4.23005501E-04   7.89767342E-04   4.01188611E-05   2.24744436E-05   1.22364598E-04   1.05860165E-04  
  97               5.03152974E+02   2.12571997E+03   8.37902551E-01   1.60381718E-01   4.14621952E-04   7.91820673E-04   4.05517306E-05   2.23816316E-05   1.48897034E-04   1.13828868E-04  
  98               5.37390101E+02   2.16182800E+03   8.37882044E-01   1.60377050E-01   4.07677103E-04   7.85332807E-04   4.10122734E-05   2.23699602E-05   1.78534998E-04   1.20327187E-04  
  99               5.72387402E+02   2.19662888E+03   8.37859067E-01   1.60372509E-01   4.01109047E-04   7.79263393E-04   4.14938063E-05   2.23559952E-05   2.11919594E-04   1.26410013E-04  
  100              6.09648278E+02   2.23201540E+03   8.37816965E-01   1.60364969E-01   3.94738449E-04   7.73448788E-04   4.20195723E-05   2.23390489E-05   2.50619019E-04   1.32227170E-04  
  101              6.51262946E+02   2.26925167E+03   8.37756950E-01   1.60354460E-01   3.88388253E-04   7.67701140E-04   4.25794385E-05   2.23197351E-05   2.93585326E-04   1.37966244E-04  
